model,precision,recall,f1,accuracy
GPT-o1-mini-CoTToT,1.0,0.8729999999999999,0.932,0.9013333333333334
GPT-4o-CoTToT,1.0,0.8306666666666667,0.9073333333333333,0.8683333333333333
Phi4-CoTToT,1.0,0.762,0.8646666666666666,0.8146666666666667
Claude-3.5-sonnet-CoTToT,0.9943333333333334,0.9209999999999999,0.956,0.9343333333333333
DeepSeek-V3-CoTToT,0.9886666666666667,0.9209999999999999,0.9533333333333333,0.93
Qwen-QWQ-CoTToT,0.987,0.801,0.8843333333333333,0.8333333333333334
Phi4-NaiveRAG,0.9593333333333334,0.762,0.8490000000000001,0.79
Gemma-2-CoTToT,0.9460000000000001,0.8409999999999999,0.891,0.84
Claude-3.5-sonnet-NaiveRAG,0.9413333333333332,0.9316666666666666,0.9363333333333334,0.9013333333333334
Llama-3.3-NaiveRAG,0.9203333333333333,0.9156666666666666,0.918,0.8726666666666666
DeepSeek-V3-NaiveRAG,0.9193333333333333,0.9049999999999999,0.912,0.8643333333333333
Gemma-2-NaiveRAG,0.918,0.8889999999999999,0.903,0.852
Mixtral-NaiveRAG,0.9156666666666666,0.9209999999999999,0.918,0.8723333333333333
Llama-3.3-CoTToT,0.9113333333333333,0.9209999999999999,0.916,0.8686666666666666
Gemini-1.5-flash-NaiveRAG,0.9053333333333334,0.876,0.8903333333333334,0.831
GPT-4o-NaiveRAG,0.9,0.8569999999999999,0.8776666666666667,0.815
Mistral-CoTToT,0.8889999999999999,0.8889999999999999,0.8889999999999999,0.827
Mixtral-CoTToT,0.8796666666666667,0.968,0.9216666666666667,0.8726666666666666
Zephyr-Beta-CoTToT,0.8770000000000001,0.8329999999999999,0.855,0.779
GPT-o1-mini-NaiveRAG,0.8576666666666667,0.9576666666666668,0.9049999999999999,0.8433333333333334
Mistral-NaiveRAG,0.852,0.8249999999999998,0.839,0.753
Qwen-QWQ-NaiveRAG,0.847,0.9346666666666668,0.8889999999999999,0.8193333333333334
Openchat-3.5-CoTToT,0.8143333333333334,0.9523333333333334,0.878,0.794
Openchat-3.5-NaiveRAG,0.8076666666666666,0.8889999999999999,0.8463333333333333,0.749
Gemini-1.5-flash-CoTToT,0.7993333333333333,0.8263333333333334,0.8106666666666666,0.7423333333333333
Zephyr-Beta-NaiveRAG,0.7913333333333333,0.9356666666666666,0.8569999999999999,0.755
