Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Keywords,Pages,Abstract
Efficient Dynamic Model Based Testing,"Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-031-35355-0_11,P. H. M. van Spaendonck,2023,http://link.springer.com/chapter/10.1007/978-3-031-35355-0_11,Chapter,"efficient testing, model based testing, test case selection",10,"Model-based testing (MBT) provides an automated approach for finding discrepancies between software models and their implementation. If we want to incorporate MBT into the fast and iterative software development process that is Continuous Integration Continuous Deployment, then MBT must be able to test the entire model in as little time as possible. However, current academic MBT tools either traverse models at random, which we show to be ineffective for this purpose, or use precalculated optimal paths which can not be efficiently calculated for large industrial models. We provide a new traversal strategy that provides an improvement in error-detection rate comparable to using precalculated paths. We show that the new strategy is able to be applied efficiently to large models. The benchmarks are performed on a mix of real-world and pseudo-randomly generated models. We observe no significant difference between these two types of models."
Compositionality in Model-Based Testing,Testing Software and Systems,,,,10.1007/978-3-031-43240-8_13,Gijs van CuyckLars van ArragonJan Tretmans,2023,http://link.springer.com/chapter/10.1007/978-3-031-43240-8_13,Chapter,"component-based testing, compositional testing, labelled transition systems, model-based testing, uioco",10,"Model-based testing (MBT) promises a scalable solution to testing large systems, if a model is available. Creating these models for large systems, however, has proven to be difficult. Composing larger models from smaller ones could solve this, but our current MBT conformance relation $$\mathrel {{\textbf {uioco}}}$$ uioco is not compositional, i.e. correctly tested components, when composed into a system, can still lead to a faulty system. To catch these integration problems, we introduce a new relation over component models called mutual acceptance . Mutually accepting components are guaranteed to communicate correctly, which makes MBT compositional. In addition to providing compositionality, mutual acceptance has benefits when retesting systems with updated components, and when diagnosing systems consisting of components."
Model-based Player Experience Testing with Emotion Pattern Verification,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-031-30826-0_9,Saba Gholizadeh AnsariI. S. W. B. PrasetyaDavide PrandiFitsum Meshesha KifetewMehdi DastaniFrank DignumGabriele Keller,2023,http://link.springer.com/chapter/10.1007/978-3-031-30826-0_9,Chapter,"agent-based testing, automated player experience testing, model-based testing, models of emotion",10,"Player eXperience (PX) testing has attracted attention in the game industry as video games become more complex and widespread. Understanding players’ desires and their experience are key elements to guarantee the success of a game in the highly competitive market. Although a number of techniques have been introduced to measure the emotional aspect of the experience, automated testing of player experience still needs to be explored. This paper presents a framework for automated player experience testing by formulating emotion patterns’ requirements and utilizing a computational model of players’ emotions developed based on a psychological theory of emotions along with a model-based testing approach for test suite generation. We evaluate the strength of our framework by performing mutation test. The paper also evaluates the performance of a search-based generated test suite and LTL model checking-based test suite in revealing various variations of temporal and spatial emotion patterns. Results show the contribution of both algorithms in generating complementary test cases for revealing various emotions in different locations of a game level."
Towards a Dynamic Testing Approach for Checking the Correctness of Ethereum Smart Contracts,Risks and Security of Internet and Systems,,,,10.1007/978-3-031-31108-6_7,Mohamed Amin HammamiMariam LahamiAfef Jmal Maâlej,2023,http://link.springer.com/chapter/10.1007/978-3-031-31108-6_7,Chapter,"Blockchain, Dynamic Testing, Ethereum, Model-based testing, Smart contracts, UPPAAL Timed automata, Validation, Verification",10,"One of the most essential concepts related to the development of Blockchain oriented software is smart contracts. Once deployed on the blockchain, these pieces of code cannot be altered due to the immutability feature of the blockchain technology. Therefore, it is necessary to verify and validate smart contracts before their deployment. This paper presents a model-based testing approach for validating and checking the correctness of Ethereum smart contracts. The adopted process comprises essentially four steps: (1) modelling the smart contract and its blockchain environment as UPPAAL Timed Automata, (2) generating abstract test cases by UPPAAL CO $$\surd $$ √ ER tool, (3) executing in a dynamic manner the generated test cases, and finally (4) analyzing the obtained test results and generating test reports. To illustrate our proposal, we apply it on Ethereum Blockchain and especially on the electronic voting case study."
Towards Online Testing Under Uncertainty Using Model-Based Reinforcement Learning,Software Architecture. ECSA 2022 Tracks and Workshops,,,,10.1007/978-3-031-36889-9_17,Matteo CamilliRaffaela MirandolaPatrizia ScandurraCatia Trubiani,2023,http://link.springer.com/chapter/10.1007/978-3-031-36889-9_17,Chapter,"Bayesian Reinforcement Learning, Markov Decision Processes, Model-based Testing, Uncertainty quantification",10,"Modern software operates in complex ecosystems and is exposed to multiple sources of uncertainty that emerge in different phases of the development lifecycle, such as early requirement analysis or late testing and in-field monitoring. This paper envisions a novel methodology to deal with uncertainty in online model-based testing. We make use of model-based reinforcement learning to gather runtime evidence, spot and quantify existing uncertainties of the system under test. Preliminary experiments show that our novel testing approach has the potential of overcoming the major weaknesses of existing online testing techniques tailored to uncertainty quantification."
Conformance in the Railway Industry: Single-Input-Change Testing a EULYNX Controller,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-031-43681-9_14,Djurre van der WalMarcus GerholdMariëlle Stoelinga,2023,http://link.springer.com/chapter/10.1007/978-3-031-43681-9_14,Chapter,"Conformance testing, Model-based testing, Programmable logic controllers, Railways, Safety-critical systems, Single-Input-Change",10,"We propose a novel framework for model-based testing against specifications from EULYNX , a SysML-based standard from the railway industry for the controllers of systems such as points, signals, sensors, and crossings. The main challenge here is the sheer complexity: with state spaces exceeding $$10^{10}$$ states, it is hard to derive test suites that achieve a meaningful type of coverage. We tackle this problem by moving away from the traditional interleaving semantics for SysML. Instead, we propose a synchronous semantics in terms of Finite State Machines (FSMs), leveraging the fact that EULYNX is implemented on Programmable Logic Controllers (PLCs). Then, we deploy Single-Input-Change Deterministic Finite State Machines (SIC-DFSMs), which ensures fully deterministic tests thus minimizing scalability issues. Our focus lies on the EULYNX specification for point controllers . The generated test suite achieves maximal transition coverage, but test execution time remains substantial. We introduce an additional test suite that achieves maximal transition label coverage. Remarkably, this smaller suite successfully identifies the same four faults as the larger suite."
Towards Automated Load Testing Through the User Interface,Human-Computer Interaction – INTERACT 2023,,,,10.1007/978-3-031-42283-6_28,Bruno TeixeiraJosé Creissac Campos,2023,http://link.springer.com/chapter/10.1007/978-3-031-42283-6_28,Chapter,"capture and replay, load testing, Model-based testing",10,"Slight variations in user interface response times can significantly impact the user experience provided by an interface. Load testing is used to evaluate how an application behaves under increasing loads. For interactive applications, load testing can be done by directly calling services at the business logic or through the user interface. In modern web applications, there is a considerable amount of control logic on the browser side. The impact of this logic on applications’ behaviour is only fully considered if the tests are done through the user interface. Capture reply tools are used for this, but their use can become costly. Leveraging an existing model-based testing tool, we propose an approach to automate load testing done through the user interface."
A Systematic Literature Review on Prioritizing Software Test Cases Using Markov Chains,Testing Software and Systems,,,,10.1007/978-3-031-43240-8_20,G. BarbosaÉ. SouzaL. RebeloM. SilvaJ. BaleraN. Vijaykumar,2023,http://link.springer.com/chapter/10.1007/978-3-031-43240-8_20,Chapter,,10,"Software Testing is a costly activity since the size of the test case set tends to increase as the construction of the software evolves. Test Case Prioritization (TCP) can reduce the effort and cost of software testing. TCP is an activity where a subset of the existing test cases is selected in order to maximize the possibility of finding defects. On the other hand, Markov chains representing a system, when solved, can present the occupation time of each of their states. The idea is to use such information and associate priority to those test cases that consist of states with the highest probabilities. This journal-first paper provides an overview of a systematic survey of the state-of-the-art to identify and understand key initiatives for using Markov chains in TCP."
Using GUI Change Detection for Delta Testing,Research Challenges in Information Science: Information Science and the Connected World,,,,10.1007/978-3-031-33080-3_32,Fernando Pastor RicósRick NeeftBeatriz MarínTanja E. J. VosPekka Aho,2023,http://link.springer.com/chapter/10.1007/978-3-031-33080-3_32,Chapter,"Delta testing, GUI change detection, Scriptless testing, State-model inference",10,"Current software development processes in the industry are designed to respond to rapid modification or changes in software features. Delta testing is a technique used to check that the identified changes are deliberate and neither compromise existing functionality nor result in introducing new defects. This paper proposes a technique for delta testing at the Graphical User Interface (GUI) level. We employ scriptless testing and state-model inference to automatically detect and visualize GUI changes between different versions of the same application. Our proposed offline change detection algorithm compares two existing GUI state models to detect changes. We present a proof of concept experiment with the open-source application Notepad ++ , which allows automatic inference and highlights GUI changes. The results show that our technique is a valuable amplification of scriptless testing tools for delta testing."
Protocol Conformance with Choreographic PlusCal,Theoretical Aspects of Software Engineering,,,,10.1007/978-3-031-35257-7_8,Darius FooAndreea CosteaWei-Ngan Chin,2023,http://link.springer.com/chapter/10.1007/978-3-031-35257-7_8,Chapter,,10,"Distributed protocols, an essential part of modern computing infrastructure, are well-known to be difficult to implement correctly. While lightweight formal methods such as TLA $$^{+}$$ +  can be effectively used to verify abstract protocols, end-to-end validation of real-world protocol implementations remains challenging due to their complexity. To address this problem, we extend the TLA $$^{+}$$ +  toolset along two fronts. We propose several extensions to PlusCal – an algorithm language which compiles to TLA $$^{+}$$ +  – to allow writing distributed protocols as choreographies. This enables more structured and succinct specifications for role-based protocols. We also provide a methodology and toolchain for compiling TLA $$^{+}$$ +  models into monitors, allowing them to be used to test existing systems for conformance. The result is a lightweight testing method that bridges specification and implementation. We demonstrate its benefits with case studies of both classic and recent protocols and show it to be readily applicable to existing systems with low runtime overhead."
