index,previous_filename,filename,base_tag,head_tag,base_tag_lines_txt,head_tag_lines_txt,edit_classification_truth,new_ct,obsolete_ct,reusable_ct,affected_cts,total_ct,edit_classification,decision_rationale,elapsed_time_ms
0,,src/RF001 - Autenticar Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 sysUser ""inicia a tela de login atraves da opcao de login no canto superior direito""
","+    step 1 sysUser ""inicia a tela de login atraves da opcao de Login no canto superior direito""
",LOW,0,14,0,"{'TC8', 'TC7', 'TC9', 'TC12', 'TC6', 'TC3', 'TC14', 'TC13', 'TC1', 'TC5', 'TC11', 'TC10', 'TC4', 'TC2'}",14,LOW,"The change is a capitalization adjustment, affecting only formatting and not the semantic content or functionality of the use case.",28709
1,,src/RF002 - Realizar logout.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 sysUser ""clica na opcao de logout atraves da opcao disponivel no canto superior direito""
","+    step 1 sysUser ""clica na opcao de Logout atraves da opcao disponivel no canto superior direito""
",LOW,0,1,0,{'TC1'},1,LOW,"The change involves capitalizing a word, which is a stylistic adjustment and does not affect the system's functionality, design, or implementation. Thus, it is classified as a low-impact edit.",17214
2,,src/RF003 - Visualizar Permissoes do Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 2 system ""exibe a tela com a tabela das permissoes concedidas ao seu usuario""
","+    step 2 system ""exibe a tela com a tabela das Permissoes concedidas ao seu usuario""
",LOW,0,1,0,{'TC1'},1,LOW,"The change is a capitalization adjustment, which is a formatting change and does not affect system functionality, design, or operation.",13873
3,,src/RF003 - Visualizar Permissoes do Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  postCondition ""Usuario visualiza a tabela das permissoes concedidas ao seu usuario""
","+  postCondition ""Usuario visualiza a tabela das Permissoes concedidas ao seu usuario""
",LOW,0,1,0,{'TC1'},1,LOW,"The change involves capitalization, which is a formatting and punctuation adjustment. Such edits are classified as low-impact as they do not require reevaluation of system design, development effort, or testing.",15215
4,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				tem permissao para gerenciar perfis de competencias.""
","+				tem permissao para gerenciar Perfis de Competencias.""
",LOW,0,11,0,"{'TC8', 'TC7', 'TC9', 'TC3', 'TC6', 'TC1', 'TC5', 'TC11', 'TC10', 'TC4', 'TC2'}",11,LOW,"The change is a capitalization adjustment, which is categorized under formatting and punctuation, thus classified as a low-impact edit.",16117
5,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 lider ""acessa a funcionalidade de gestao de perfis de competencias a partir do menu inicial"" af[4]
-    step 2 system ""exibe a listagem dos perfis de competencias cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
-    step 3 lider ""clica na opcao 'Novo' para criar um novo perfil"" af[1,2,3]
","+    step 1 lider ""acessa a funcionalidade de gestao de Perfis de Competencias a partir do menu inicial"" af[4]
+    step 2 system ""exibe a listagem dos Perfis de Competencias cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
+    step 3 lider ""clica na opcao 'Novo' para criar um Novo Perfil de Competencias"" af[1,2,3]
",LOW,0,4,7,"{'TC11', 'TC10', 'TC9', 'TC8'}",11,LOW,"The changes are primarily related to capitalization and adding specific terms for clarity, which are considered low-impact as they do not affect system functionality or require additional resources.",17951
6,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				   retorna feedback correspondente"" ef[1,2,3]
","+				   retorna feedback correspondente"" ef[1,2]
",HIGH,0,2,9,"{'TC11', 'TC7'}",11,HIGH,"The update removes a functionality (ef[3]), which could affect system behavior and requirements, necessitating reevaluation of system design, potential additional development effort, and testing.",17113
7,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 6 system ""exibe a listagem dos perfis de competencias sem o perfil de competencias excluido""
","+    step 6 system ""exibe a listagem dos Perfis de Competencias sem o perfil de competencias excluido"" ef[3]
",HIGH,0,1,10,{'TC3'},11,LOW,"The change involves capitalization and a non-functional addition, resembling formatting or stylistic updates rather than substantial functional changes.",19201
8,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 6 system ""exibe a listagem dos perfis de competencias com o perfil de competencias excluido""
","+    step 6 system ""exibe a listagem dos Perfis de Competencias com o perfil de competencias excluido""
",LOW,0,1,10,{'TC2'},11,LOW,"The change is a formatting adjustment involving capitalization, which is categorized as a low-impact edit according to the rules governing formatting and punctuation changes.",17158
9,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  	step 1 usuarioNA ""acessa a funcionalidade de gestao de perfis de competencias a partir do menu inicial""
-  	step 2 system ""exibe a listagem dos perfis de competencias cadastrados apenas para visualizacao com a opcao 'Ajuda'""
","+  	step 1 usuarioNA ""acessa a funcionalidade de gestao de Perfis de Competencias a partir do menu inicial""
+  	step 2 system ""exibe a listagem dos Perfis de Competencias cadastrados apenas para visualizacao com a opcao 'Ajuda'""
",LOW,0,1,10,{'TC1'},11,LOW,The changes are purely capitalization adjustments for stylistic reasons and do not affect system functionality or requirements.,15343
10,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 1 ""Falha ao Salvar o Novo Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar salvar o novo perfil, informando o campo ou a validacao que falhou""
","+  exception 1 ""Falha ao Salvar o Novo Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar salvar o novo Perfil de Competencias, informando o campo ou a validacao que falhou""
",LOW,0,2,9,"{'TC8', 'TC4'}",11,LOW,"The change involves a semantic update to clarify the description, aligning with rephrasing for clarity, and does not impact system functionality or require additional development or testing efforts.",18188
11,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 2 ""Erro ao Editar Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar editar o perfil, informando o campo ou a validacao que falhou""
","+  exception 2 ""Erro ao Editar Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar editar o Perfil de Competencias, informando o campo ou a validacao que falhou""
",LOW,0,2,9,"{'TC9', 'TC5'}",11,LOW,"The change involves only a rephrasing for clarity, changing 'Perfil' to 'Perfil de Competencias'. It does not impact system design, development effort, or project timelines, hence it is a low-impact edit.",16991
12,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 3 ""Falha na Exclusao do Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar excluir o perfil""
","+  exception 3 ""Falha na Exclusao do Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar excluir o Perfil de Competencias""
",LOW,0,2,9,"{'TC6', 'TC10'}",11,LOW,"The change involves minor textual adjustments by specifying 'Perfil de Competencias,' which is akin to rephrasing for clarity without impacting the system's functionality or requirements.",20665
13,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  postCondition ""A gestao de perfis de competencias e realizada com sucesso.""
","+  postCondition ""A gestao de Perfis de Competencias e realizada com sucesso.""
",LOW,0,2,9,"{'TC11', 'TC7'}",11,LOW,"The change involves capitalization for style, which is a formatting update, generally considered low-impact.",12810
14,,src/RF007 - Gerenciar Avaliacoes.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,,"+systemName ""GTI-Competencias""
+
+usecase ""RF007 - Gerenciar Avaliacoes"" {
+  version ""1.0"" type ""Criacao"" user ""Aislan Fernandes"" date ""03/08/2020""
+  actor lider ""Lider de Pessoas""
+  preCondition ""Lider de Pessoas esta autenticado no sistema; 
+				tem permissao para gerenciar Avaliacoes""
+
+  basic {
+    step 1 lider ""acessa a funcionalidade de gestao de Avaliacoes a partir do menu inicial""
+    step 2 system ""exibe a listagem dos Avaliacoes cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
+    step 3 lider ""clica na opcao 'Novo' para criar uma nova Avaliacao"" af[1,2,3]
+    step 4 system ""apresenta o formulario para cadastro e alteracao de Avaliacao""
+    step 5 lider  ""seleciona o 'Periodo Avaliativo' da Avaliacao""
+    step 6 system ""apresenta o campo 'Periodo Avaliativo' preenchido corretamente""
+    step 7 lider ""seleciona o 'Perfil' de competencias da Avaliacao""
+    step 8 system ""apresenta o campo 'Perfil' de competencias preenchido corretamente e
+                   apresenta o campo 'Metas' com as respectivas competencias, cada uma preenchida com nivel igual 1 (um)""
+    step 9 lider ""seleciona o colaborador a ser 'Avaliado' na Avaliacao""
+    step 10 system ""apresenta o campo 'Avaliado' preenchido corretamente""
+    step 11 lider ""Em 'Metas', insere o 'Nivel' esperado para cada competencia do perfil selecionado na Avaliacao""
+    step 12 system ""apresenta em 'Metas' os campos 'Nivel' preenchido corretamente""              
+    step 13 lider ""seleciona 'Avaliadores' da Avaliacao""
+    step 14 system ""apresenta a lista de 'Avaliadores' preenchida corretamente""
+	step 15 lider ""clica na opcao 'Salvar'""
+    step 16 system ""realiza a acao conforme a opcao selecionada pelo usuario e 
+				   retorna feedback correspondente"" ef[1,2]
+  }
+
+  alternative 1 ""Editar Avaliacao Existente"" {
+    step 1 lider ""seleciona uma Avaliacao da listagem""
+    step 2 system ""destaca a Avaliacao selecionada na listagem""
+    step 3 lider ""clica na opcao 'Editar' para modificar a Avaliacao selecionada""
+    step 4 system ""apresenta o formulario para e alteracao de Avaliacao""
+    step 5 lider ""verifica que os campos 'Periodo Avaliativo', 'Perfil' e 'Avaliado' somente leitura"" bs 11
+  }
+  
+  alternative 2 ""Confirmar Exclusao do Avaliacao"" {
+  	step 1 lider ""seleciona uma Avaliacao da listagem""
+    step 2 system ""destaca a Avaliacao selecionada na listagem""
+    step 3 lider ""clica na opcao 'Excluir' para excluir a Avaliacao selecionada"" 
+    step 4 system ""solicita confirmacao de exclusao da Avaliacao""
+    step 5 lider ""confirma a exclusao do Avaliacao""
+    step 6 system ""exibe a listagem dos Avaliacoes sem o Avaliacao excluido"" ef[3,4]
+  }
+
+  alternative 3 ""Negar Exclusao do Avaliacao"" {
+  	step 1 lider ""seleciona uma Avaliacao da listagem""
+    step 2 system ""destaca a Avaliacao selecionada na listagem""
+    step 3 lider ""clica na opcao 'Excluir' para excluir a Avaliacao selecionada""
+    step 4 system ""solicita confirmacao de exclusao da Avaliacao""
+    step 5 lider ""nao confirma a exclusao do Avaliacao""
+    step 6 system ""exibe a listagem dos Avaliacoes com o Avaliacao excluido""
+  }
+
+  exception 1 ""Falha ao Salvar a nova Avaliacao"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar salvar a nova Avaliacao, informando o campo ou a validacao que falhou""
+  }
+
+  exception 2 ""Erro ao Editar Avaliacao"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar editar a Avaliacao, informando o campo ou a validacao que falhou""
+  }
+
+  exception 3 ""Falha na Exclusao do Avaliacao"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar excluir a Avaliacao""
+  }
+  
+  exception 4 ""Falha na Exclusao do Avaliacao: nao e o lider"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar excluir a Avaliacao informando que o usuario nao e o lider""
+  }
+
+  postCondition ""A gestao de Avaliacoes e realizada com sucesso.""
+}
",HIGH,10,0,0,"{'TC8', 'TC7', 'TC9', 'TC3', 'TC6', 'TC1', 'TC5', 'TC10', 'TC4', 'TC2'}",10,HIGH,"The change introduces a comprehensive new use case, requiring system design adjustments, development efforts, potential regression testing, and updates to documentation, affecting project timelines and resource allocation.",20131
15,,src/RF010 - Gerenciar Periodos Avaliativos.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				tem permissao para gerenciar perfis de competencias.""
","+				tem permissao para gerenciar Periodos Avaliativos.""
",LOW,0,11,0,"{'TC8', 'TC7', 'TC9', 'TC3', 'TC6', 'TC1', 'TC5', 'TC11', 'TC10', 'TC4', 'TC2'}",11,HIGH,"The change involves a shift in functionality from managing 'competency profiles' to 'evaluation periods,' which likely requires system design reevaluation, additional development effort, regression testing, and updates to user documentation, impacting project timelines and resource allocation.",22084
16,,src/RF010 - Gerenciar Periodos Avaliativos.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 lider ""acessa a funcionalidade de gestao de perfis de competencias a partir do menu inicial"" af[4]
-    step 2 system ""exibe a listagem dos perfis de competencias cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
","+    step 1 lider ""acessa a funcionalidade de gestao de Periodos Avaliativos a partir do menu inicial"" af[4]
+    step 2 system ""exibe a listagem dos Periodos Avaliativos cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
",LOW,0,10,1,"{'TC8', 'TC7', 'TC9', 'TC3', 'TC6', 'TC5', 'TC11', 'TC10', 'TC4', 'TC2'}",11,HIGH,"The changes involve a shift in functionality from managing competency profiles to managing evaluation periods, necessitating reevaluation of system design, additional development effort, regression testing, and updates to user documentation. These changes may also affect project timelines and resource allocation.",22238
17,,src/RF010 - Gerenciar Periodos Avaliativos.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 7 lider ""preenche o campo 'Data Inicial e Data Final' selecionando um lider da lista""
","+    step 7 lider ""preenche o campo 'Data Inicial e Data Final' informando as respectivas datas referente ao periodo""
",LOW,0,8,3,"{'TC8', 'TC7', 'TC6', 'TC5', 'TC11', 'TC10', 'TC4', 'TC9'}",11,HIGH,"The change from selecting a leader to entering dates fundamentally alters the user interaction and likely requires system design reevaluation, additional development, and updated documentation.",13552
18,,src/RF010 - Gerenciar Periodos Avaliativos.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				   retorna feedback correspondente"" ef[1,2,3]
","+				   retorna feedback correspondente"" ef[1,2]
",HIGH,0,2,9,"{'TC11', 'TC7'}",11,HIGH,"The change in the feedback entity range from ef[1,2,3] to ef[1,2] could alter system behavior and output, necessitating reevaluation of system design, additional testing, and potential updates to documentation.",19274
19,,src/RF010 - Gerenciar Periodos Avaliativos.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 6 system ""exibe a listagem dos perfis de competencias sem o Periodo Avaliativo excluido""
","+    step 6 system ""exibe a listagem dos Periodos Avaliativos sem o Periodo Avaliativo excluido"" ef[3]
",HIGH,0,1,10,{'TC3'},11,HIGH,"The change alters the data being displayed from competency profiles to evaluation periods. This necessitates a reevaluation of the system design, likely involving changes to data handling and UI logic, as well as additional development and testing efforts.",20776
20,,src/RF010 - Gerenciar Periodos Avaliativos.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 6 system ""exibe a listagem dos perfis de competencias com o Periodo Avaliativo excluido""
","+    step 6 system ""exibe a listagem dos Periodos Avaliativos com o Periodo Avaliativo excluido""
",LOW,0,1,10,{'TC2'},11,HIGH,"The change alters the system's functionality by switching the focus from competency profiles to evaluation periods, requiring reevaluation of design, potential modifications to data handling, regression testing, and updates to user documentation.",17949
21,,src/RF010 - Gerenciar Periodos Avaliativos.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  	step 1 usuarioNA ""acessa a funcionalidade de gestao de perfis de competencias a partir do menu inicial""
-  	step 2 system ""exibe a listagem dos perfis de competencias cadastrados apenas para visualizacao com a opcao 'Ajuda'""
","+  	step 1 usuarioNA ""acessa a funcionalidade de gestao de Periodos Avaliativos a partir do menu inicial""
+  	step 2 system ""exibe a listagem dos Periodos Avaliativos cadastrados apenas para visualizacao com a opcao 'Ajuda'""
",LOW,0,1,10,{'TC1'},11,HIGH,"The change shifts the functionality from managing competency profiles to managing assessment periods, requiring significant updates to system design, development, and testing.",19538
22,,src/RF010 - Gerenciar Periodos Avaliativos.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  postCondition ""A gestao de perfis de competencias e realizada com sucesso.""
","+  postCondition ""A gestao de Periodos Avaliativos e realizada com sucesso.""
",LOW,0,2,9,"{'TC11', 'TC7'}",11,HIGH,"The change shifts the focus from 'gestao de perfis de competencias' to 'gestao de Periodos Avaliativos', potentially affecting system design, user requirements, and necessitating updates in multiple areas such as development, testing, and documentation.",16160
23,,src/RF011 - Gerenciar Competencias Portfolio.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				tem permissao para gerenciar competencias (portfolio).""
","+				tem permissao para gerenciar Competencias (Portfolio).""
",LOW,0,35,0,"{'TC7', 'TC29', 'TC30', 'TC23', 'TC6', 'TC21', 'TC31', 'TC26', 'TC22', 'TC20', 'TC34', 'TC4', 'TC16', 'TC3', 'TC18', 'TC13', 'TC9', 'TC2', 'TC25', 'TC33', 'TC24', 'TC11', 'TC32', 'TC17', 'TC14', 'TC1', 'TC10', 'TC8', 'TC19', 'TC5', 'TC27', 'TC35', 'TC12', 'TC28', 'TC15'}",35,LOW,"The change involves capitalization adjustments for stylistic consistency, resembling low-impact edits like formatting or punctuation changes, which do not affect system design, development, or functionality.",13793
24,,src/RF011 - Gerenciar Competencias Portfolio.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 lider ""acessa a funcionalidade de gestao de competencias (portfolio) a partir do menu inicial"" af[4]
-    step 2 system ""exibe a listagem dos competencias (portfolio) cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
","+    step 1 lider ""acessa a funcionalidade de gestao de Competencias (Portfolio) a partir do menu inicial"" af[4]
+    step 2 system ""exibe a listagem dos Competencias (Portfolio) cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
",LOW,0,34,1,"{'TC7', 'TC29', 'TC30', 'TC23', 'TC6', 'TC21', 'TC31', 'TC26', 'TC22', 'TC20', 'TC34', 'TC4', 'TC16', 'TC3', 'TC18', 'TC13', 'TC9', 'TC2', 'TC25', 'TC33', 'TC24', 'TC11', 'TC32', 'TC17', 'TC14', 'TC10', 'TC8', 'TC19', 'TC5', 'TC27', 'TC35', 'TC12', 'TC28', 'TC15'}",35,LOW,"The change involves capitalization of specific terms, which is considered a formatting/punctuation adjustment. It does not affect the system's functionality, design, or require significant additional development or testing efforts.",19204
