index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,SorensenDice distance [0.47]: 0.017241379310344862 ,1
1,LOW,SorensenDice distance [0.47]: 0.02400000000000002 ,0
2,LOW,SorensenDice distance [0.47]: 0.036363636363636376 ,0
3,LOW,SorensenDice distance [0.47]: 0.036363636363636376 ,0
4,LOW,SorensenDice distance [0.47]: 0.10769230769230764 ,0
5,LOW,SorensenDice distance [0.47]: 0.050420168067226934 ,0
6,LOW,SorensenDice distance [0.47]: 0.016949152542372836 ,0
7,LOW,SorensenDice distance [0.47]: 0.07407407407407407 ,0
8,LOW,SorensenDice distance [0.47]: 0.04761904761904767 ,0
9,LOW,SorensenDice distance [0.47]: 0.030303030303030276 ,0
10,LOW,SorensenDice distance [0.47]: 0.0680628272251309 ,0
11,LOW,SorensenDice distance [0.47]: 0.07692307692307687 ,0
12,LOW,SorensenDice distance [0.47]: 0.09219858156028371 ,0
13,LOW,SorensenDice distance [0.47]: 0.04672897196261683 ,0
14,HIGH,SorensenDice distance [0.47]: 0.9870967741935484 ,0
15,LOW,SorensenDice distance [0.47]: 0.37142857142857144 ,0
16,LOW,SorensenDice distance [0.47]: 0.07766990291262132 ,0
17,LOW,SorensenDice distance [0.47]: 0.264 ,0
18,LOW,SorensenDice distance [0.47]: 0.016949152542372836 ,0
19,LOW,SorensenDice distance [0.47]: 0.1711711711711712 ,0
20,LOW,SorensenDice distance [0.47]: 0.13761467889908252 ,0
21,LOW,SorensenDice distance [0.47]: 0.07614213197969544 ,1
22,LOW,SorensenDice distance [0.47]: 0.23529411764705888 ,0
23,LOW,SorensenDice distance [0.47]: 0.11111111111111116 ,0
24,LOW,SorensenDice distance [0.47]: 0.03703703703703709 ,0
25,LOW,SorensenDice distance [0.47]: 0.07563025210084029 ,0
26,LOW,SorensenDice distance [0.47]: 0.016949152542372836 ,0
27,LOW,SorensenDice distance [0.47]: 0.06382978723404253 ,0
28,LOW,SorensenDice distance [0.47]: 0.05820105820105825 ,0
29,LOW,SorensenDice distance [0.47]: 0.12380952380952381 ,0
30,LOW,SorensenDice distance [0.47]: 0.06451612903225812 ,0
31,LOW,SorensenDice distance [0.47]: 0.08737864077669899 ,0
32,LOW,SorensenDice distance [0.47]: 0.040000000000000036 ,0
33,LOW,SorensenDice distance [0.47]: 0.04587155963302747 ,0
34,HIGH,SorensenDice distance [0.47]: 0.9836734693877551 ,1
35,HIGH,SorensenDice distance [0.47]: 0.9867549668874173 ,2
36,HIGH,SorensenDice distance [0.47]: 0.982532751091703 ,0
37,HIGH,SorensenDice distance [0.47]: 0.9855595667870036 ,1
