index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,Levenshtein distance [0.59]: 0.014705882352941176 ,1
1,LOW,Levenshtein distance [0.59]: 0.4552238805970149 ,17
2,LOW,Levenshtein distance [0.59]: 0.2425 ,37
3,HIGH,Levenshtein distance [0.59]: 0.8829268292682927 ,2
4,HIGH,Levenshtein distance [0.59]: 0.9797297297297297 ,0
5,HIGH,Levenshtein distance [0.59]: 0.9981606376456161 ,2
6,HIGH,Levenshtein distance [0.59]: 0.9973935708079931 ,1
7,HIGH,Levenshtein distance [0.59]: 0.9989150090415914 ,5
8,HIGH,Levenshtein distance [0.59]: 0.9983940042826552 ,2
9,HIGH,Levenshtein distance [0.59]: 0.7606382978723404 ,1
10,LOW,Levenshtein distance [0.59]: 0.21292775665399238 ,16
11,LOW,Levenshtein distance [0.59]: 0.014705882352941176 ,0
12,HIGH,Levenshtein distance [0.59]: 0.9732142857142857 ,0
13,LOW,Levenshtein distance [0.59]: 0.09523809523809523 ,1
14,LOW,Levenshtein distance [0.59]: 0.5056179775280899 ,0
15,LOW,Levenshtein distance [0.59]: 0.017543859649122806 ,1
16,HIGH,Levenshtein distance [0.59]: 0.9811320754716981 ,0
17,LOW,Levenshtein distance [0.59]: 0.031914893617021274 ,2
18,HIGH,Levenshtein distance [0.59]: 0.9841269841269841 ,0
19,LOW,Levenshtein distance [0.59]: 0.06 ,0
20,HIGH,Levenshtein distance [0.59]: 0.9859154929577465 ,0
21,LOW,Levenshtein distance [0.59]: 0.4158415841584158 ,1
22,LOW,Levenshtein distance [0.59]: 0.38738738738738737 ,1
23,LOW,Levenshtein distance [0.59]: 0.42 ,1
24,LOW,Levenshtein distance [0.59]: 0.47393364928909953 ,7
25,LOW,Levenshtein distance [0.59]: 0.5 ,4
26,LOW,Levenshtein distance [0.59]: 0.056179775280898875 ,2
27,LOW,Levenshtein distance [0.59]: 0.02857142857142857 ,1
28,LOW,Levenshtein distance [0.59]: 0.05 ,0
29,LOW,Levenshtein distance [0.59]: 0.05263157894736842 ,0
30,LOW,Levenshtein distance [0.59]: 0.04081632653061224 ,0
31,LOW,Levenshtein distance [0.59]: 0.03365384615384615 ,11
32,LOW,Levenshtein distance [0.59]: 0.05 ,0
33,LOW,Levenshtein distance [0.59]: 0.044444444444444446 ,0
34,LOW,Levenshtein distance [0.59]: 0.03459119496855346 ,25
35,LOW,Levenshtein distance [0.59]: 0.011111111111111112 ,2
36,LOW,Levenshtein distance [0.59]: 0.0273972602739726 ,1
37,LOW,Levenshtein distance [0.59]: 0.047619047619047616 ,1
38,LOW,Levenshtein distance [0.59]: 0.061946902654867256 ,3
39,LOW,Levenshtein distance [0.59]: 0.0273224043715847 ,8
40,HIGH,Levenshtein distance [0.59]: 0.9393939393939394 ,0
41,LOW,Levenshtein distance [0.59]: 0.015384615384615385 ,0
42,LOW,Levenshtein distance [0.59]: 0.18181818181818182 ,1
43,LOW,Levenshtein distance [0.59]: 0.0 ,0
44,LOW,Levenshtein distance [0.59]: 0.0 ,0
45,LOW,Levenshtein distance [0.59]: 0.0 ,0
46,LOW,Levenshtein distance [0.59]: 0.013888888888888888 ,1
47,LOW,Levenshtein distance [0.59]: 0.0 ,0
48,LOW,Levenshtein distance [0.59]: 0.0 ,0
49,LOW,Levenshtein distance [0.59]: 0.014925373134328358 ,2
50,LOW,Levenshtein distance [0.59]: 0.014492753623188406 ,1
51,LOW,Levenshtein distance [0.59]: 0.17796610169491525 ,2
52,LOW,Levenshtein distance [0.59]: 0.01282051282051282 ,0
53,LOW,Levenshtein distance [0.59]: 0.0 ,0
54,LOW,Levenshtein distance [0.59]: 0.015384615384615385 ,0
55,LOW,Levenshtein distance [0.59]: 0.0 ,0
56,LOW,Levenshtein distance [0.59]: 0.0 ,0
57,LOW,Levenshtein distance [0.59]: 0.028089887640449437 ,8
58,LOW,Levenshtein distance [0.59]: 0.0 ,0
59,LOW,Levenshtein distance [0.59]: 0.017241379310344827 ,0
60,LOW,Levenshtein distance [0.59]: 0.02247191011235955 ,1
61,LOW,Levenshtein distance [0.59]: 0.015384615384615385 ,2
62,LOW,Levenshtein distance [0.59]: 0.008695652173913044 ,3
63,LOW,Levenshtein distance [0.59]: 0.0 ,0
64,LOW,Levenshtein distance [0.59]: 0.015384615384615385 ,1
65,LOW,Levenshtein distance [0.59]: 0.02 ,48
66,LOW,Levenshtein distance [0.59]: 0.0 ,0
67,LOW,Levenshtein distance [0.59]: 0.015384615384615385 ,1
68,LOW,Levenshtein distance [0.59]: 0.019417475728155338 ,3
69,LOW,Levenshtein distance [0.59]: 0.012048192771084338 ,1
70,LOW,Levenshtein distance [0.59]: 0.015384615384615385 ,1
71,LOW,Levenshtein distance [0.59]: 0.0 ,0
72,LOW,Levenshtein distance [0.59]: 0.02717391304347826 ,8
73,LOW,Levenshtein distance [0.59]: 0.0 ,0
74,LOW,Levenshtein distance [0.59]: 0.012195121951219513 ,0
75,LOW,Levenshtein distance [0.59]: 0.015384615384615385 ,0
76,LOW,Levenshtein distance [0.59]: 0.0 ,0
77,LOW,Levenshtein distance [0.59]: 0.014084507042253521 ,6
78,LOW,Levenshtein distance [0.59]: 0.0 ,0
79,LOW,Levenshtein distance [0.59]: 0.030303030303030304 ,0
80,HIGH,Levenshtein distance [0.59]: 0.9838709677419355 ,0
