Name,Provider,Provider Id,Model Architecture,Parameters,Context Length (Tokens),Max Embedding Length (Dimensions),Impact Threshold,Global Strategy,URL
Levenshtein,distance_function,,,,,,"0,59",DF,https://github.com/luozhouyang/python-string-similarity
NGram,distance_function,,,,,,"0,58",DF,https://github.com/luozhouyang/python-string-similarity
SorensenDice,distance_function,,,,,,"0,47",DF,https://github.com/luozhouyang/python-string-similarity
Jaccard,distance_function,,,,,,"0,33",DF,https://github.com/luozhouyang/python-string-similarity
Cosine,distance_function,,,,,,"0,13",DF,https://github.com/luozhouyang/python-string-similarity
DeepSeek-V3,together,deepseek-ai/DeepSeek-V3,DeepSeekMoE,671B,128K,12K,,CoTToT,https://arxiv.org/abs/2412.19437
Llama-3.3,together,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,70B,128K,8K,,CoTToT,https://github.com/meta-llama/llama-models/blob/main/models/llama3_3/MODEL_CARD.md
Qwen-QWQ,together,Qwen/QwQ-32B-Preview,qwen2,32B,32K,4K,,CoTToT,https://arxiv.org/abs/2407.10671
Gemma-2,together,google/gemma-2-27b-it,gemma2,32B,8K,4K,,CoTToT,https://ai.google.dev/gemma?hl=pt-br#gemma-2
Mixtral,together,mistralai/Mixtral-8x22B-Instruct-v0.1,llama,46B,32K,4K,,CoTToT,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1/tree/main
Mistral,together,mistralai/Mistral-7B-Instruct-v0.3,llama,7B,32K,4K,,CoTToT,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3/tree/main
GPT-4o,openai,gpt-4o,gpt-4,-,128K,8K,,CoTToT,https://platform.openai.com/docs
GPT-o1-mini,openai,o1-mini,gtp-4,-,128K,8K,,CoTToT,https://platform.openai.com/docs
Claude-3.5-sonnet,anthropic,claude-3-5-sonnet-20241022,claude,-,200K,32K,,CoTToT,https://docs.anthropic.com/
Zephyr-Beta,huggingface,HuggingFaceH4/zephyr-7b-beta,llama,7B,32K,4K,,CoTToT,https://arxiv.org/abs/2310.16944
Gemini-2.0-flash,google,gemini-2.0-flash,gemini,-,1M,2K,,CoTToT,https://ai.google.dev/gemini-api/docs
DeepSeek-V3,together,deepseek-ai/DeepSeek-V3,DeepSeekMoE,671B,128K,12K,,NaiveRAG,
Llama-3.3,together,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,70B,128K,8K,,NaiveRAG,
Qwen-QWQ,together,Qwen/QwQ-32B-Preview,qwen2,32B,32K,4K,,NaiveRAG,
Gemma-2,together,google/gemma-2-27b-it,gemma2,32B,8K,4K,,NaiveRAG,
Mixtral,together,mistralai/Mixtral-8x22B-Instruct-v0.1,llama,46B,32K,4K,,NaiveRAG,
Mistral,together,mistralai/Mistral-7B-Instruct-v0.3,llama,7B,32K,4K,,NaiveRAG,
GPT-4o,openai,gpt-4o,gpt-4,-,128K,8K,,NaiveRAG,
GPT-o1-mini,openai,o1-mini,gtp-4,-,128K,8K,,NaiveRAG,
Claude-3.5-sonnet,anthropic,claude-3-5-sonnet-20241022,claude,-,200K,32K,,NaiveRAG,
Zephyr-Beta,huggingface,HuggingFaceH4/zephyr-7b-beta,llama,7B,32K,4K,,NaiveRAG,
Gemini-2.0-flash,google,gemini-2.0-flash,gemini,-,1M,2K,,NaiveRAG,
Openchat-3.5,huggingface,https://nt1ukh0vf74ulq8t.us-east-1.aws.endpoints.huggingface.cloud,llama,7B,8K,4K,,CoTToT,https://arxiv.org/abs/2309.11235
Openchat-3.5,huggingface,https://nt1ukh0vf74ulq8t.us-east-1.aws.endpoints.huggingface.cloud,llama,7B,8K,4K,,NaiveRAG,
Phi4,huggingface,https://o3vl3zyqiccifg10.us-east-1.aws.endpoints.huggingface.cloud,phi3,14B,16K,4K,,CoTToT,https://huggingface.co/microsoft/phi-4/tree/main
Phi4,huggingface,https://o3vl3zyqiccifg10.us-east-1.aws.endpoints.huggingface.cloud,phi3,14B,16K,4K,,NaiveRAG,
