model,average_precision
Claude-3.5-sonnet-CoTToT,1.0
GPT-4o-CoTToT,1.0
DeepSeek-V3-CoTToT,1.0
GPT-o1-mini-CoTToT,1.0
Qwen-QWQ-CoTToT,1.0
Phi4-CoTToT,0.99
Phi4-NaiveRAG,0.97
Claude-3.5-sonnet-NaiveRAG,0.97
Mistral-NaiveRAG,0.96
Gemma-2-CoTToT,0.96
GPT-o1-mini-NaiveRAG,0.95
GPT-4o-NaiveRAG,0.95
Llama-3.3-CoTToT,0.95
Llama-3.3-NaiveRAG,0.94
Mistral-CoTToT,0.93
Gemma-2-NaiveRAG,0.92
Cosine-DF,0.92
DeepSeek-V3-NaiveRAG,0.92
Jaccard-DF,0.91
Levenshtein-DF,0.91
Qwen-QWQ-NaiveRAG,0.91
Gemini-2.0-flash-NaiveRAG,0.91
SorensenDice-DF,0.9
NGram-DF,0.9
Openchat-3.5-CoTToT,0.9
Zephyr-Beta-CoTToT,0.89
Mixtral-CoTToT,0.86
Openchat-3.5-NaiveRAG,0.83
Mixtral-NaiveRAG,0.83
Zephyr-Beta-NaiveRAG,0.82
Gemini-2.0-flash-CoTToT,0.76
