model,average_f1
DeepSeek-V3-CoTToT,0.92
Claude-3.5-sonnet-CoTToT,0.92
Openchat-3.5-CoTToT,0.91
Gemma-2-NaiveRAG,0.9
GPT-4o-NaiveRAG,0.9
GPT-4o-CoTToT,0.9
DeepSeek-V3-NaiveRAG,0.9
Claude-3.5-sonnet-NaiveRAG,0.89
Gemini-2.0-flash-NaiveRAG,0.89
Gemma-2-CoTToT,0.89
Mixtral-CoTToT,0.88
GPT-o1-mini-NaiveRAG,0.88
Llama-3.3-CoTToT,0.88
GPT-o1-mini-CoTToT,0.88
Openchat-3.5-NaiveRAG,0.88
Phi4-NaiveRAG,0.87
Llama-3.3-NaiveRAG,0.87
Zephyr-Beta-NaiveRAG,0.87
Mixtral-NaiveRAG,0.87
Mistral-CoTToT,0.86
Qwen-QWQ-NaiveRAG,0.84
Phi4-CoTToT,0.84
Qwen-QWQ-CoTToT,0.83
Zephyr-Beta-CoTToT,0.78
Gemini-2.0-flash-CoTToT,0.7
Mistral-NaiveRAG,0.67
