filename,base_tag,head_tag,new_cts,obsolete_cts_low_low,obsolete_cts_low_high,obsolete_cts_high,obsolete_cts_low_low_size,obsolete_cts_low_high_size,obsolete_cts_high_size,new_cts_size,obsolete_cts_size,reusable_cts_size,total_cts_size,low_impacted_size,high_impacted_size,mixed_impacted_size
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v0.1,exp01_rgp-diarias_v0.2,,"{'TC98', 'TC92', 'TC91', 'TC58', 'TC32', 'TC97', 'TC63', 'TC25', 'TC33', 'TC23', 'TC66', 'TC65', 'TC94', 'TC95', 'TC64', 'TC60', 'TC29', 'TC96', 'TC27', 'TC30', 'TC26', 'TC31', 'TC57', 'TC28', 'TC59', 'TC90', 'TC100', 'TC56', 'TC61', 'TC93', 'TC99', 'TC62', 'TC24'}","{'TC91', 'TC44', 'TC85', 'TC36', 'TC32', 'TC97', 'TC63', 'TC89', 'TC12', 'TC47', 'TC25', 'TC41', 'TC23', 'TC45', 'TC64', 'TC94', 'TC1', 'TC11', 'TC7', 'TC18', 'TC83', 'TC30', 'TC81', 'TC42', 'TC82', 'TC55', 'TC57', 'TC80', 'TC78', 'TC37', 'TC90', 'TC51', 'TC100', 'TC56', 'TC5', 'TC43', 'TC13', 'TC86', 'TC93', 'TC10', 'TC19', 'TC4', 'TC60', 'TC24', 'TC62', 'TC16', 'TC98', 'TC69', 'TC92', 'TC54', 'TC58', 'TC79', 'TC72', 'TC9', 'TC20', 'TC33', 'TC15', 'TC53', 'TC52', 'TC65', 'TC66', 'TC29', 'TC87', 'TC96', 'TC3', 'TC76', 'TC27', 'TC26', 'TC49', 'TC31', 'TC77', 'TC35', 'TC8', 'TC46', 'TC21', 'TC38', 'TC59', 'TC71', 'TC88', 'TC70', 'TC68', 'TC74', 'TC40', 'TC2', 'TC22', 'TC48', 'TC34', 'TC14', 'TC99', 'TC75'}","{'TC91', 'TC44', 'TC85', 'TC36', 'TC32', 'TC97', 'TC63', 'TC89', 'TC12', 'TC47', 'TC25', 'TC41', 'TC23', 'TC45', 'TC64', 'TC94', 'TC1', 'TC11', 'TC7', 'TC18', 'TC83', 'TC30', 'TC81', 'TC42', 'TC82', 'TC55', 'TC57', 'TC80', 'TC78', 'TC37', 'TC90', 'TC51', 'TC100', 'TC56', 'TC5', 'TC61', 'TC43', 'TC13', 'TC86', 'TC93', 'TC10', 'TC50', 'TC19', 'TC4', 'TC60', 'TC24', 'TC62', 'TC16', 'TC98', 'TC69', 'TC92', 'TC54', 'TC73', 'TC58', 'TC79', 'TC72', 'TC9', 'TC6', 'TC39', 'TC20', 'TC33', 'TC15', 'TC53', 'TC52', 'TC65', 'TC66', 'TC95', 'TC29', 'TC87', 'TC96', 'TC3', 'TC76', 'TC27', 'TC26', 'TC49', 'TC31', 'TC77', 'TC35', 'TC8', 'TC46', 'TC21', 'TC28', 'TC38', 'TC59', 'TC17', 'TC71', 'TC88', 'TC70', 'TC68', 'TC74', 'TC40', 'TC2', 'TC84', 'TC22', 'TC48', 'TC34', 'TC14', 'TC99', 'TC75'}",33,90,99,0,99,1,100,0,6,93
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v0.2,exp01_rgp-diarias_v1.0.1,,,"{'TC41', 'TC5', 'TC15', 'TC46', 'TC20', 'TC36', 'TC10', 'TC30', 'TC25'}",,0,9,0,0,9,37,46,0,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.0.2,exp01_rgp-diarias_v1.0.3,,,,"{'TC35', 'TC44', 'TC46', 'TC36', 'TC28', 'TC32', 'TC17', 'TC12', 'TC20', 'TC26', 'TC2', 'TC33', 'TC43', 'TC13', 'TC45', 'TC15', 'TC5', 'TC1', 'TC18', 'TC11', 'TC34', 'TC29', 'TC14', 'TC19', 'TC4', 'TC27', 'TC3', 'TC30', 'TC42', 'TC16'}",0,0,30,0,30,16,46,0,30,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1,exp01_rgp-diarias_v1.1.1,,,"{'TC31', 'TC5', 'TC15', 'TC20', 'TC26', 'TC10'}",,0,6,0,0,6,25,31,0,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,,,,"{'TC31', 'TC8', 'TC28', 'TC17', 'TC9', 'TC12', 'TC6', 'TC20', 'TC25', 'TC2', 'TC23', 'TC5', 'TC15', 'TC13', 'TC22', 'TC1', 'TC16', 'TC10', 'TC11', 'TC7', 'TC29', 'TC27', 'TC14', 'TC3', 'TC18', 'TC19', 'TC30', 'TC4', 'TC26', 'TC24'}",0,0,30,0,30,1,31,0,30,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,"{'TC13', 'TC7', 'TC19', 'TC1', 'TC26', 'TC32'}",,,,0,0,0,6,0,31,37,0,6,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,,,,"{'TC36', 'TC32', 'TC9', 'TC12', 'TC6', 'TC20', 'TC33', 'TC23', 'TC15', 'TC1', 'TC11', 'TC7', 'TC29', 'TC3', 'TC18', 'TC27', 'TC30', 'TC26', 'TC31', 'TC35', 'TC8', 'TC21', 'TC28', 'TC17', 'TC37', 'TC2', 'TC5', 'TC13', 'TC22', 'TC10', 'TC34', 'TC14', 'TC19', 'TC24', 'TC4', 'TC16'}",0,0,36,0,36,1,37,0,36,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,"{'TC44', 'TC36', 'TC32', 'TC12', 'TC63', 'TC47', 'TC25', 'TC41', 'TC23', 'TC64', 'TC1', 'TC11', 'TC7', 'TC18', 'TC30', 'TC42', 'TC55', 'TC57', 'TC67', 'TC37', 'TC51', 'TC56', 'TC43', 'TC61', 'TC5', 'TC13', 'TC10', 'TC50', 'TC19', 'TC4', 'TC60', 'TC16', 'TC62', 'TC24', 'TC54', 'TC58', 'TC9', 'TC6', 'TC39', 'TC20', 'TC33', 'TC15', 'TC66', 'TC52', 'TC53', 'TC65', 'TC29', 'TC3', 'TC27', 'TC26', 'TC49', 'TC31', 'TC35', 'TC8', 'TC46', 'TC21', 'TC38', 'TC28', 'TC59', 'TC17', 'TC40', 'TC2', 'TC22', 'TC48', 'TC34', 'TC14'}",,,,0,0,0,66,0,1,67,0,66,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.4,exp01_rgp-diarias_v1.2.5,,"{'TC44', 'TC36', 'TC32', 'TC12', 'TC63', 'TC47', 'TC25', 'TC41', 'TC23', 'TC45', 'TC64', 'TC1', 'TC11', 'TC7', 'TC18', 'TC30', 'TC42', 'TC55', 'TC57', 'TC67', 'TC37', 'TC51', 'TC56', 'TC43', 'TC61', 'TC5', 'TC13', 'TC10', 'TC50', 'TC19', 'TC4', 'TC60', 'TC16', 'TC62', 'TC24', 'TC54', 'TC58', 'TC9', 'TC6', 'TC39', 'TC20', 'TC33', 'TC15', 'TC66', 'TC52', 'TC53', 'TC65', 'TC29', 'TC3', 'TC27', 'TC26', 'TC49', 'TC31', 'TC35', 'TC8', 'TC46', 'TC21', 'TC38', 'TC28', 'TC59', 'TC17', 'TC40', 'TC2', 'TC22', 'TC48', 'TC34', 'TC14'}","{'TC17', 'TC62', 'TC51', 'TC6', 'TC39', 'TC28'}","{'TC5', 'TC61', 'TC22', 'TC44', 'TC67', 'TC38', 'TC16', 'TC11', 'TC50', 'TC27', 'TC33', 'TC56'}",67,6,12,0,67,0,67,49,0,12
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.5,exp01_rgp-diarias_v1.3,,,,"{'TC54', 'TC44', 'TC36', 'TC32', 'TC9', 'TC20', 'TC25', 'TC33', 'TC15', 'TC66', 'TC65', 'TC11', 'TC3', 'TC27', 'TC26', 'TC42', 'TC49', 'TC31', 'TC55', 'TC67', 'TC21', 'TC38', 'TC59', 'TC37', 'TC56', 'TC43', 'TC61', 'TC5', 'TC22', 'TC48', 'TC10', 'TC14', 'TC50', 'TC4', 'TC60', 'TC16'}",0,0,36,0,36,31,67,0,36,0
