index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,Jaccard distance [0.33]: 0.03389830508474578 ,0
1,LOW,Jaccard distance [0.33]: 0.046875 ,0
2,LOW,Jaccard distance [0.33]: 0.07017543859649122 ,0
3,LOW,Jaccard distance [0.33]: 0.07017543859649122 ,0
4,LOW,Jaccard distance [0.33]: 0.19444444444444442 ,0
5,LOW,Jaccard distance [0.33]: 0.09599999999999997 ,0
6,LOW,Jaccard distance [0.33]: 0.033333333333333326 ,0
7,LOW,Jaccard distance [0.33]: 0.13793103448275867 ,0
8,LOW,Jaccard distance [0.33]: 0.09090909090909094 ,0
9,LOW,Jaccard distance [0.33]: 0.05882352941176472 ,0
10,LOW,Jaccard distance [0.33]: 0.12745098039215685 ,0
11,LOW,Jaccard distance [0.33]: 0.1428571428571429 ,0
12,LOW,Jaccard distance [0.33]: 0.16883116883116878 ,0
13,LOW,Jaccard distance [0.33]: 0.0892857142857143 ,0
14,HIGH,Jaccard distance [0.33]: 0.9935064935064936 ,1
15,HIGH,Jaccard distance [0.33]: 0.5416666666666667 ,0
16,LOW,Jaccard distance [0.33]: 0.14414414414414412 ,0
17,HIGH,Jaccard distance [0.33]: 0.4177215189873418 ,0
18,LOW,Jaccard distance [0.33]: 0.033333333333333326 ,0
19,LOW,Jaccard distance [0.33]: 0.29230769230769227 ,0
20,LOW,Jaccard distance [0.33]: 0.24193548387096775 ,0
21,LOW,Jaccard distance [0.33]: 0.14150943396226412 ,0
22,HIGH,Jaccard distance [0.33]: 0.38095238095238093 ,0
23,LOW,Jaccard distance [0.33]: 0.19999999999999996 ,0
24,LOW,Jaccard distance [0.33]: 0.0714285714285714 ,0
25,LOW,Jaccard distance [0.33]: 0.140625 ,0
26,LOW,Jaccard distance [0.33]: 0.033333333333333326 ,0
27,LOW,Jaccard distance [0.33]: 0.12 ,1
28,LOW,Jaccard distance [0.33]: 0.10999999999999999 ,0
29,LOW,Jaccard distance [0.33]: 0.22033898305084743 ,0
30,LOW,Jaccard distance [0.33]: 0.12121212121212122 ,0
31,LOW,Jaccard distance [0.33]: 0.1607142857142857 ,0
32,LOW,Jaccard distance [0.33]: 0.07692307692307687 ,0
33,LOW,Jaccard distance [0.33]: 0.08771929824561409 ,0
34,HIGH,Jaccard distance [0.33]: 0.9917695473251029 ,1
35,HIGH,Jaccard distance [0.33]: 0.9933333333333333 ,1
36,HIGH,Jaccard distance [0.33]: 0.9911894273127754 ,0
37,HIGH,Jaccard distance [0.33]: 0.9927272727272727 ,1
38,HIGH,Jaccard distance [0.33]: 0.9920948616600791 ,0
39,LOW,Jaccard distance [0.33]: 0.02564102564102566 ,0
40,LOW,Jaccard distance [0.33]: 0.13580246913580252 ,0
41,LOW,Jaccard distance [0.33]: 0.11842105263157898 ,0
42,LOW,Jaccard distance [0.33]: 0.13793103448275867 ,0
