Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Keywords,Pages
Häser F.; Felderer M.; Breu R.,"Häser, Florian (56310077200); Felderer, Michael (24832720900); Breu, Ruth (55885332900)",56310077200; 24832720900; 55885332900,"Software paradigms, assessment types and non-functional requirements in model-based integration testing: A systematic literature review",2014,ACM International Conference Proceeding Series,,,a29,,,,10,10.1145/2601248.2601257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905489438&doi=10.1145%2f2601248.2601257&partnerID=40&md5=65606243f2c7ff6b56b102a2bc4360a2,"Context: In modern systems, like cyber-physical systems, where software and physical services are interacting, safety, security or performance play an important role. In order to guarantee the correct interoperability of such systems, with respect to functional and non-functional requirements, integration testing is an effective measure to achieve this. Model-based testing moreover not only enables early definition and validation, but also test automation. This makes it a good choice to overcome urgent challenges of integration testing. Objective: Many publications on model-based integration testing (MBIT) approaches can be found. Nevertheless, a study giving a systematic overview on the underlying software paradigms, measures for guiding the integration testing process as well as non-functional requirements they are suitable for, is missing. The aim of this paper is to find and synthesize the relevant primary studies to gain a comprehensive understanding of the current state of model-based integration testing. Method: For synthesizing the relevant studies, we conducted a systematic literature review (SLR) according to the guidelines of Kitchenham. Results: The systematic search and selection retrieved 83 relevant studies from which data has been extracted. Our review identified three assessment criteria for guiding the testing process, namely static metrics, dynamic metrics and stochastic &random. In addition it shows that just a small fraction considers non-functional requirements. Most approaches are for component-oriented systems. Conclusion: Results from the SLR show that there are two major research gaps. First, there is an accumulated need for approaches in the MBIT field that support non-functional requirements, as they are gaining importance. Second, means for steering the integration testing process, especially together with automation, need to evolve. Copyright 2014 ACM.",Assessment types; Model-based integration testing; Non-functional requirements; Systematic literature review,Embedded systems; Integration testing; Search engines; Software engineering; Stochastic systems; Assessment types; Cyber physical systems (CPSs); Model based testing; Model-based integrations; Non-functional requirements; Systematic literature review; Systematic literature review (SLR); Systematic searches; Interoperability,Conference paper,Final,,Scopus,2-s2.0-84905489438,,
Albahli A.; Andrews A.,"Albahli, Afnan (57796062700); Andrews, Anneliese (55667024000)",57796062700; 55667024000,Model-Based Testing of Smart Home Systems Using EFSM and CEFSM,2021,"Proceedings - 2021 International Conference on Computational Science and Computational Intelligence, CSCI 2021",,,,1824,1829,5.0,1,10.1109/CSCI54926.2021.00345,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133898919&doi=10.1109%2fCSCI54926.2021.00345&partnerID=40&md5=f054a684986d21b30dba61909df7b959,The Internet of Things (IoT) is the future of communication. The number of devices connected to the Internet has been growing dramatically and is expected to continue to grow. This increase causes a huge challenge for software quality. New testing approaches need to be developed and investigated to assure quality and efficiency of such systems. The main challenge with IoT devices is that their functionality varies greatly depending on the device type and how it is connected. In order to maintain feasibility of these functionality systems need to be modeled. This paper proposes a testing approach for a smart home system (SHS) modeled by Extended Finite State Machines (EFSMs) and Communicating Extended Finite State Machines (CEFSMs). We generate tests for individual devices in the SHS as well as the interaction between devices.,Black box testing; Communicating Extended Finite State Machines(CEFSM); Extended Finite State Machines(EFSM); Internet of Things(IoT); Model-Based Testing(MBT); Smart Homes,Automation; Black-box testing; Computer software selection and evaluation; Intelligent buildings; Model checking; Software reliability; Communicating extended finite state machine; Extended finite state machine; Individual devices; Model based testing; Smart homes; Smart-home system; Software Quality; Internet of things,Conference paper,Final,,Scopus,2-s2.0-85133898919,"Black box testing, Communicating Extended Finite State Machines(CEFSM), Extended Finite State Machines(EFSM), Internet of Things(IoT), Model-Based Testing(MBT), Smart Homes",6.0
Galvis-Holguin S.; Sierra-Del Rio J.; Hincapié-Zuluaga D.,"Galvis-Holguin, Steven (57219312021); Sierra-Del Rio, Jorge (57219358882); Hincapié-Zuluaga, D. (57195674148)",57219312021; 57219358882; 57195674148,ENHANCEMENT EFFICIENCY OF MICHELL-BANKI TURBINE USING NACA 6512 MODIFIED BLADE PROFILE VIA CFD,2022,"EUREKA, Physics and Engineering",2022,2,,55,67,12.0,2,10.21303/2461-4262.2022.002351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128616829&doi=10.21303%2f2461-4262.2022.002351&partnerID=40&md5=00e745fc533e4a55400497b7f7301469,"The small hydroelectric power plants (SHPP) are implemented in non-interconnected zones (NIZ) of developing countries. In which, the provision of electrical energy from the national interconnected system is not economically feasible. Therefore, in the literature, hydroelectric generation technologies have been implemented taking advantage of the energy available in the rivers. One of these technologies is the Michell-Banki type cross-flow turbines (MBT), which, despite having lower efficiencies than turbines such as Pelton and Francis, maintain their efficiency although fluctuations in site conditions. For this reason, different studies have been made to increase the efficiency of the MBT by making geometric modifications to both the nozzle and the rotor. The purpose of this study is to determine numerically the effect of the geometry of the blades that form the runner on the efficiency of Michell-Banki Turbine (MBT). For this, two (2) geometries were studied corresponding to a circular sector of a standard tubular profile and an airfoil NACA 6512 modified in curvature profile and chord length, according to the profile of the standard tubular blade. For this study, transient simulations for multiphase water-air flow were implemented using a k–ε turbulence model in the Ansys 2020R1® CFX software. The two (2) turbine models were configured to the same hydraulic conditions of head and volumetric flow corresponding to 0.5 m and 16.27 L/s, respectively. Variations in rotational speed were configured between 100 and 200 RPM with 20 RPM steps. It was found that using the modified 6512 hydrodynamic profile, at 140 RPM increased efficiency by 6 %, compared to the conventional tubular type blade geometry.",computational fluids dynamics; cross-flow turbine; efficiency; micro hydropower,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85128616829,"computational fluids dynamics, cross-flow turbine, efficiency, micro hydropower",13.0
Paiva A.C.R.; Flores N.H.; Faria J.P.; Marques J.M.G.,"Paiva, Ana C.R. (7102683763); Flores, Nuno H. (14051921200); Faria, João P. (35219959000); Marques, José M.G. (57203317333)",7102683763; 14051921200; 35219959000; 57203317333,End-to-end Automatic Business Process Validation,2018,Procedia Computer Science,130,,,999,1004,5.0,12,10.1016/j.procs.2018.04.104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051251425&doi=10.1016%2fj.procs.2018.04.104&partnerID=40&md5=76f084499c964793bf3e4277884e0591,"Business Process Testing is the act of validating that end-to-end transactions through enterprise systems continue to work correctly as the underlying packaged applications evolve. End-to-end automatic business process validation can be a challenging task, but an important way to check that business rules continue to work properly and that problems are detected and corrected as soon as possible. This paper presents the design of a test automation platform, ETAP-Pro, to test end-to-end business processes that aims to overcome some challenges in validating business processes.",Business Process Testing; End-to-end Process Testing; Model Based Testing; Software Testing,Model checking; Business Process; Business rules; End to end; End-to-end process; Enterprise system; Model based testing; Test Automation; Software testing,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85051251425,"Business Process Testing, End-to-end Process Testing, Model Based Testing, Software Testing",6.0
Leal L.; Ceccarelli A.; Martins E.,"Leal, Lucas (57211116981); Ceccarelli, Andrea (18041935700); Martins, Eliane (7103315128)",57211116981; 18041935700; 7103315128,The SAMBA approach for self-adaptive model-based online testing of services orchestrations,2019,Proceedings - International Computer Software and Applications Conference,1,,8753930,495,500,5.0,4,10.1109/COMPSAC.2019.00076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072691171&doi=10.1109%2fCOMPSAC.2019.00076&partnerID=40&md5=683624a37db42e4cc8371164eeda1a72,"Service Oriented Architecture (SOA) is a popular design pattern that allows building applications composed of loosely-coupled and autonomous services. Such services may evolve and change at runtime, often outside the control of the owner of the application. Consequently, typical validation approaches, like offline testing performed before services deployment, are necessary but not sufficient: offline testing cannot assure the correct behavior of the SOA during its execution. To cope with the evolution of services and their orchestrations, in this paper we present a Self-Adaptive Model-BAsed online testing framework called SAMBA. SAMBA aims to assess the proper behavior of a SOA during its lifecycle executing model-based online testing at runtime, under the coordination of a MAPE-K control loop. SAMBA is assessed in a case study, where its detection capability are proved through functional, mutation and fault injection tests.",Model-based testing; Online testing; Self-adaptive; Service Oriented Architecture,Application programs; Information services; Life cycle; Model checking; Building applications; Detection capability; Model based testing; Offline testing; On-line testing; Self-adaptive; Self-adaptive models; Validation approach; Service oriented architecture (SOA),Conference paper,Final,,Scopus,2-s2.0-85072691171,"Model-based testing, Online testing, Self-adaptive, Service Oriented Architecture",6.0
Rodrigues E.M.; Zorzo A.F.; Marchezan L.,"Rodrigues, Elder M. (36476479800); Zorzo, Avelino F. (55884766600); Marchezan, Luciano (57195371669)",36476479800; 55884766600; 57195371669,PLeTs: A software product line for testing tools,2023,UML-Based Software Product Line Engineering with SMarty,,,,315,334,19.0,0,10.1007/978-3-031-18556-4_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160489594&doi=10.1007%2f978-3-031-18556-4_14&partnerID=40&md5=c46e4ba69b18dc6a10343251d8827b8e,"Software testing is a fundamental activity to improve software quality. However, software testing is one of the most time-consuming and expensive activities of the software development process. Therefore, several testing tools have already been developed to support software testing, including tools for model-based testing (MBT), which is a testing technique to automatically generate testing artifacts from the system model. Some of the advantages of MBT include lower cost and less effort to generate test cases. Therefore, in the last years, a diversity of commercial, academic, and open-source tools to support MBT has been developed to better explore these advantages. Although several testing tools to support MBT were produced in the past years, most of them have been individually and independently developed based on a single architecture. Therefore, it is difficult to integrate, evolve, maintain, and reuse them. One strategy that could minimize those problems would be to use software product lines (SPL), which allows to systematically generating software products at lower costs, in a shorter time, and with higher quality. Therefore, this chapter presents an SPL for testing tools that support MBT (PLeTs (This chapter is an expanded version of previously published paper Rodrigues et al. (PLeTs - Test Automation using Software Product Lines and Model-Based Testing. In: Proceedings of the 22th International Conference on Software Engineering and Knowledge Engineering, pp. 483-488, 2010.))) and how we applied the Stereotype-based Management of Variability (SMarty) approach to manage and resolve the dependencies among components and to represent the variability in PLeTs architecture. PLeTs is a component-based SPL developed to automatically generate MBT tools. The PLeTs MBT tools aim to automate any of the test activities of MBT, for example, the generation of test cases and/or test scripts based on the system model. Basically, PLeTs MBT tools receive, as input, a system model, generate the test cases/scripts, execute the test scripts, and then compare the produced results. Since PLeTs can generate tools that connect to any commercial testing tool, a software testing team can incorporate their own testing tools, hence reducing effort and investment. In a nutshell, the main PLeTs goal is to reuse SPL artifacts and use existing testing tools to ease the development of new MBT tools.",,,Book chapter,Final,,Scopus,2-s2.0-85160489594,N/A,20.0
Gao Z.,"Gao, Zhenhua (58209911400)",58209911400,Comparative study on model based test of automotive automatic control system,2023,"2023 IEEE 2nd International Conference on Electrical Engineering, Big Data and Algorithms, EEBDA 2023",,,,1628,1632,4.0,0,10.1109/EEBDA56825.2023.10090694,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154546903&doi=10.1109%2fEEBDA56825.2023.10090694&partnerID=40&md5=2e78da9fe6dc042367b65a006ed64ab4,"In today's automotive industry, due to the increasingly complex nature of ECUs, there is a great need to create a model that can be tested early to maintain functional functioning. However, there are not many solutions that teach us how to organize and run these tests for maximum coverage. This article evaluates prototype CANoe+, which maximizes the coverage of test cases generated using the CANoe and GraphWalker tools from the perspective of software developers and software testers. CANoe+ was significantly more effective than CANOE alone when the Mann-Whitney Wilcoxon statistical test was used in the experiment. Such experimental results add to the existing evidence and demonstrate the irreplaceable advantages of using model-based testing techniques such as C..",CANoe; EUC; GraphWalker Tools; Maximum coverage,Automation; Model checking; Software testing; Automatic control systems; Automotives; CANoe; Comparatives studies; Complex nature; EUC; Graphwalker tool; Maximum coverage; Model-based test; Study on models; Automotive industry,Conference paper,Final,,Scopus,2-s2.0-85154546903,"CANoe, EUC, GraphWalker Tools, Maximum coverage",5.0
Shivapuji A.M.; Dasappa S.,"Shivapuji, Anand M. (55803865800); Dasappa, S. (6603068560)",55803865800; 6603068560,Quasi dimensional numerical investigation of syngas fuelled engine operation: MBT operation and parametric sensitivity analysis,2017,Applied Thermal Engineering,124,,,911,928,17.0,13,10.1016/j.applthermaleng.2017.06.086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021117310&doi=10.1016%2fj.applthermaleng.2017.06.086&partnerID=40&md5=a405cad69c2fbd6a868cc2a162806ba4,"The formulation, validation and application of a thermodynamic quasi dimensional SI engine simulation model for syngas fuelled operation is reported. The QD approach establishes the dependence of turbulent combustion on mixture thermo-physical properties and fluid domain average turbulent parameters, eliminating the need for domain discretization (unlike in multi-dimensional models). Turbulent combustion is formulated along the Eddy Entrainment Laminar Burn-up concept (Williams-Klimov criterion) with non-linear dependence of mixture burn rate on local laminar flame speed and turbulent intensity. Simulations are reported for syngas fuelled operation of a six cylinder engine and compared with experimental pressure and heat release traces. Maximum brake torque stoichiometric operation pressure and heat release simulation traces evolve closely with corresponding experimental traces. The simulation peak pressure and IMEP deviations remain within 5% and 2% of experimental traces respectively while the position of peak pressure overlaps within ±0.5 deg. Parametric sensitivity analysis for load, mixture quality and ignition timing are also addressed. Overall, the simulation results are in accordance within 5% of experimental results as long as the parametric variations are within the regimes of tuning of empirical correlations. In general, the versatility and robustness of quasi dimensional approach to simulate non-regular bio-derived alternative fuels is established.",Engine simulation; Non-regular fuel; Quasi-dimensional model; Syngas; Turbulent combustion; Williams-Klimov criterion,Alternative fuels; Combustion; Engine cylinders; Engines; Mixtures; Quality control; Synthesis gas; Engine simulation; Quasi-dimensional model; Syn-gas; Turbulent combustion; Williams; Sensitivity analysis,Article,Final,,Scopus,2-s2.0-85021117310,"Engine simulation, Non-regular fuel, Quasi-dimensional model, Syngas, Turbulent combustion, Williams-Klimov criterion",18.0
Tan C.,"Tan, Chao (57209500799)",57209500799,A model-based approach to generate dynamic synthetic test data,2019,"Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019",,,8730199,495,497,2.0,4,10.1109/ICST.2019.00063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067963763&doi=10.1109%2fICST.2019.00063&partnerID=40&md5=7a95a9917072dac53522b8a7a4a43f8e,"Having access to high-quality test data is an important requirement to ensure effective cross-organizational integration testing in the Norwegian public sector. Evogent is a PhD project that aims to provide model-based solutions for generating synthetic test data that is statistically representative of real (reference) population, and is dynamic in the same way that the actual population is. This project is carried out in collaboration with the Modernization of the National Registry project (MF) within the Norwegian Tax Department, which serves as our case study. In this paper, we present a conceptual model and related algorithms for event generation.",Machine learning; Model-based testing; Test data generation,Learning systems; Machine learning; Model checking; Testing; Cross-organizational integration; High Quality Test; Industrial partners; Machine learning techniques; Model based approach; Model based testing; Systems under tests; Test data generation; Integration testing,Conference paper,Final,,Scopus,2-s2.0-85067963763,"Machine learning, Model-based testing, Synthetic data generation",4.0
Essebaa I.; Chantit S.,"Essebaa, Imane (57191406520); Chantit, Salima (57191413214)",57191406520; 57191413214,Scrum and V lifecycle combined with model-based testing and model driven architecture to deal with evolutionary system issues,2018,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11163 LNCS,,,77,91,14.0,3,10.1007/978-3-030-00856-7_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055775838&doi=10.1007%2f978-3-030-00856-7_5&partnerID=40&md5=066467c4f2ecfdae968ac812c45d9db5,"Model Driven Engineering (MDE) and Agile Methods (AM) are two principal domains that are in the way of improvement and evolution in order to facilitate the realisation of IT projects. However, these areas evolve separately despite the great number of researches that focus on improving realisation project’ techniques. Thus, our approach aims to provide an approach that combines two variants of MDE, Model Driven Architecture approach and Model-Based Testing with the V development lifecycle used in every scrum Agile Methodology sprint to deal with system evolution. In order to well illustrate this approach, we apply it on Rental Car Agency System realisation using Scrum methodology with some requirements’ evolution.",Evolutionary system; Model Driven Architecture; Model transformations; Model-Based Testing; Scrum agile methodology; Test generation; V incremental lifecycle,Agile manufacturing systems; Architecture; Life cycle; Model checking; Software architecture; Software design; Agile Methodologies; Evolutionary system; Model based testing; Model driven architectures; Model transformation; Test generations; Computer architecture,Conference paper,Final,,Scopus,2-s2.0-85055775838,"Evolutionary system, Model Driven Architecture, Model transformations, Model-Based Testing, Scrum agile methodology, Test generation, V incremental lifecycle",15.0
