index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,Cosine distance [0.13]: 0.010526315789473495 ,0
1,LOW,Cosine distance [0.13]: 0.1215371640538151 ,0
2,LOW,Cosine distance [0.13]: 0.03694907578776019 ,0
3,HIGH,Cosine distance [0.13]: 0.5427995427993142 ,0
4,HIGH,Cosine distance [0.13]: 0.8789298531593107 ,0
5,HIGH,Cosine distance [0.13]: 0.9390011508755924 ,0
6,HIGH,Cosine distance [0.13]: 0.9670395735810856 ,1
7,HIGH,Cosine distance [0.13]: 0.9094321392881533 ,1
8,HIGH,Cosine distance [0.13]: 0.9089457776644598 ,0
9,HIGH,Cosine distance [0.13]: 0.45845821538100096 ,0
10,LOW,Cosine distance [0.13]: 0.026113391175802914 ,0
11,LOW,Cosine distance [0.13]: 0.005277081690319929 ,0
12,HIGH,Cosine distance [0.13]: 0.8456966500379081 ,0
13,LOW,Cosine distance [0.13]: 0.0760349897284065 ,0
14,HIGH,Cosine distance [0.13]: 0.15035570687693012 ,0
15,LOW,Cosine distance [0.13]: 0.006600732201217263 ,0
16,HIGH,Cosine distance [0.13]: 0.8657687889571951 ,0
17,LOW,Cosine distance [0.13]: 0.006265464129640352 ,0
18,HIGH,Cosine distance [0.13]: 1.0 ,0
19,LOW,Cosine distance [0.13]: 0.018693237074683733 ,0
20,HIGH,Cosine distance [0.13]: 0.9239469810154909 ,0
21,LOW,Cosine distance [0.13]: 0.12102099588371262 ,0
22,HIGH,Cosine distance [0.13]: 0.13870107740178617 ,0
23,HIGH,Cosine distance [0.13]: 0.1617192785603575 ,0
24,LOW,Cosine distance [0.13]: 0.10361134789012727 ,0
25,LOW,Cosine distance [0.13]: 0.09759339575012083 ,0
26,LOW,Cosine distance [0.13]: 0.04814042469703561 ,0
27,LOW,Cosine distance [0.13]: 0.017858579474674507 ,0
28,LOW,Cosine distance [0.13]: 0.03847605235917684 ,0
29,LOW,Cosine distance [0.13]: 0.041685152500090084 ,0
30,LOW,Cosine distance [0.13]: 0.033908216920704115 ,0
31,LOW,Cosine distance [0.13]: 0.023438944274382423 ,0
32,LOW,Cosine distance [0.13]: 0.041685152500090084 ,1
33,LOW,Cosine distance [0.13]: 0.0349269210337706 ,0
34,LOW,Cosine distance [0.13]: 0.0538902449022437 ,1
35,LOW,Cosine distance [0.13]: 0.008850658015822854 ,0
36,LOW,Cosine distance [0.13]: 0.01980394118039297 ,0
37,LOW,Cosine distance [0.13]: 0.04001634000834142 ,0
38,LOW,Cosine distance [0.13]: 0.06402902466654092 ,0
39,LOW,Cosine distance [0.13]: 0.06085352466172178 ,0
40,HIGH,Cosine distance [0.13]: 1.0 ,0
41,LOW,Cosine distance [0.13]: 0.0160287114540989 ,0
42,LOW,Cosine distance [0.13]: 0.0919747779265333 ,0
43,LOW,Cosine distance [0.13]: 0.0 ,0
44,LOW,Cosine distance [0.13]: 0.0 ,1
45,LOW,Cosine distance [0.13]: 0.0 ,0
46,LOW,Cosine distance [0.13]: 0.013857482804750298 ,0
47,LOW,Cosine distance [0.13]: 0.0 ,0
48,LOW,Cosine distance [0.13]: 0.0 ,0
49,LOW,Cosine distance [0.13]: 0.015062941045972167 ,0
50,LOW,Cosine distance [0.13]: 0.014206938314533568 ,0
51,LOW,Cosine distance [0.13]: 0.055001114803359674 ,0
52,LOW,Cosine distance [0.13]: 0.016913850050218615 ,0
53,LOW,Cosine distance [0.13]: 0.0 ,0
54,LOW,Cosine distance [0.13]: 0.0160287114540989 ,0
55,LOW,Cosine distance [0.13]: 0.0 ,0
56,LOW,Cosine distance [0.13]: 0.0 ,0
57,LOW,Cosine distance [0.13]: 0.004502412967857916 ,0
58,LOW,Cosine distance [0.13]: 0.0 ,0
59,LOW,Cosine distance [0.13]: 0.02666666666666684 ,0
60,LOW,Cosine distance [0.13]: 0.018292682926829285 ,0
61,LOW,Cosine distance [0.13]: 0.0160287114540989 ,0
62,LOW,Cosine distance [0.13]: 0.004486171637423375 ,0
63,LOW,Cosine distance [0.13]: 0.0 ,0
64,LOW,Cosine distance [0.13]: 0.0160287114540989 ,0
65,LOW,Cosine distance [0.13]: 0.0034047255262075193 ,0
66,LOW,Cosine distance [0.13]: 0.0 ,0
67,LOW,Cosine distance [0.13]: 0.0160287114540989 ,0
68,LOW,Cosine distance [0.13]: 0.012757019036213735 ,0
69,LOW,Cosine distance [0.13]: 0.01754385964912286 ,0
70,LOW,Cosine distance [0.13]: 0.0160287114540989 ,0
71,LOW,Cosine distance [0.13]: 0.0 ,0
72,LOW,Cosine distance [0.13]: 0.004146784971959416 ,0
73,LOW,Cosine distance [0.13]: 0.0 ,1
74,LOW,Cosine distance [0.13]: 0.016000000000000125 ,0
75,LOW,Cosine distance [0.13]: 0.0160287114540989 ,0
76,LOW,Cosine distance [0.13]: 0.0 ,0
77,LOW,Cosine distance [0.13]: 0.008486884769279057 ,0
78,LOW,Cosine distance [0.13]: 0.0 ,0
79,LOW,Cosine distance [0.13]: 0.014815633856221977 ,0
80,HIGH,Cosine distance [0.13]: 0.9315614089170845 ,0
