index,previous_filename,filename,base_tag,head_tag,base_tag_lines_txt,head_tag_lines_txt,edit_classification_truth,new_ct,obsolete_ct,reusable_ct,affected_cts,total_ct,edit_classification,decision_rationale,elapsed_time_ms
0,,src/RF001 - Autenticar Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 sysUser ""inicia a tela de login atraves da opcao de login no canto superior direito""
","+    step 1 sysUser ""inicia a tela de login atraves da opcao de Login no canto superior direito""
",LOW,0,14,0,"{'TC8', 'TC7', 'TC9', 'TC12', 'TC6', 'TC3', 'TC14', 'TC13', 'TC1', 'TC5', 'TC11', 'TC10', 'TC4', 'TC2'}",14,LOW,"The change only involves capitalizing the word 'login' to 'Login', which is a simple formatting modification that doesn't affect the functional meaning or behavior of the system",7507
1,,src/RF002 - Realizar logout.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 sysUser ""clica na opcao de logout atraves da opcao disponivel no canto superior direito""
","+    step 1 sysUser ""clica na opcao de Logout atraves da opcao disponivel no canto superior direito""
",LOW,0,1,0,{'TC1'},1,LOW,"The change only involves capitalizing the word 'logout' to 'Logout', which is purely a formatting modification that doesn't alter the requirement's meaning or functionality.",7138
2,,src/RF003 - Visualizar Permissoes do Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 2 system ""exibe a tela com a tabela das permissoes concedidas ao seu usuario""
","+    step 2 system ""exibe a tela com a tabela das Permissoes concedidas ao seu usuario""
",LOW,0,1,0,{'TC1'},1,LOW,"The change only involves capitalizing the first letter of a word ('permissoes' to 'Permissoes'), which is a formatting modification that doesn't affect the functional meaning or behavior of the system.",7269
3,,src/RF003 - Visualizar Permissoes do Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  postCondition ""Usuario visualiza a tabela das permissoes concedidas ao seu usuario""
","+  postCondition ""Usuario visualiza a tabela das Permissoes concedidas ao seu usuario""
",LOW,0,1,0,{'TC1'},1,LOW,"The change only involves capitalizing the word 'Permissoes', which is a formatting modification that doesn't affect the functionality or meaning of the use case. This type of stylistic change falls under low-impact edits as per the classification rules.",7587
4,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				tem permissao para gerenciar perfis de competencias.""
","+				tem permissao para gerenciar Perfis de Competencias.""
",LOW,0,11,0,"{'TC8', 'TC7', 'TC9', 'TC3', 'TC6', 'TC1', 'TC5', 'TC11', 'TC10', 'TC4', 'TC2'}",11,LOW,"The change only involves capitalization of terms ('perfis de competencias' to 'Perfis de Competencias'), which is a purely formatting modification that doesn't alter the requirement's meaning or system behavior.",6975
5,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 lider ""acessa a funcionalidade de gestao de perfis de competencias a partir do menu inicial"" af[4]
-    step 2 system ""exibe a listagem dos perfis de competencias cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
-    step 3 lider ""clica na opcao 'Novo' para criar um novo perfil"" af[1,2,3]
","+    step 1 lider ""acessa a funcionalidade de gestao de Perfis de Competencias a partir do menu inicial"" af[4]
+    step 2 system ""exibe a listagem dos Perfis de Competencias cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
+    step 3 lider ""clica na opcao 'Novo' para criar um Novo Perfil de Competencias"" af[1,2,3]
",LOW,0,4,7,"{'TC11', 'TC10', 'TC9', 'TC8'}",11,LOW,"The changes only involve capitalization of terms ('Perfis de Competencias') and minor rephrasing ('Novo Perfil de Competencias'), which fall under the low-impact category of formatting and clarity improvements. These modifications don't alter the functional behavior or requirements of the system.",5934
6,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				   retorna feedback correspondente"" ef[1,2,3]
","+				   retorna feedback correspondente"" ef[1,2]
",HIGH,0,2,9,"{'TC11', 'TC7'}",11,HIGH,"Removing an exception flow reference (ef[3]) modifies the functional behavior of the use case by eliminating an error handling scenario, requiring changes to implementation, testing, and potentially impacting system design.",8233
7,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 6 system ""exibe a listagem dos perfis de competencias sem o perfil de competencias excluido""
","+    step 6 system ""exibe a listagem dos Perfis de Competencias sem o perfil de competencias excluido"" ef[3]
",HIGH,0,1,10,{'TC3'},11,LOW,"The changes only involve text capitalization and the addition of a reference tag (ef[3]), which are formatting changes that don't affect system behavior or requirements implementation.",6550
8,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 6 system ""exibe a listagem dos perfis de competencias com o perfil de competencias excluido""
","+    step 6 system ""exibe a listagem dos Perfis de Competencias com o perfil de competencias excluido""
",LOW,0,1,10,{'TC2'},11,LOW,"The change only involves capitalization of terms ('perfis de competencias' to 'Perfis de Competencias'), which is a formatting change that doesn't alter the functional meaning or behavior of the requirement.",6034
9,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  	step 1 usuarioNA ""acessa a funcionalidade de gestao de perfis de competencias a partir do menu inicial""
-  	step 2 system ""exibe a listagem dos perfis de competencias cadastrados apenas para visualizacao com a opcao 'Ajuda'""
","+  	step 1 usuarioNA ""acessa a funcionalidade de gestao de Perfis de Competencias a partir do menu inicial""
+  	step 2 system ""exibe a listagem dos Perfis de Competencias cadastrados apenas para visualizacao com a opcao 'Ajuda'""
",LOW,0,1,10,{'TC1'},11,LOW,"The changes only involve capitalization of terms ('Perfis de Competencias') without any modification to the functionality, system behavior, or requirements meaning. This is purely a formatting change that doesn't require system modifications or additional testing.",7121
10,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 1 ""Falha ao Salvar o Novo Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar salvar o novo perfil, informando o campo ou a validacao que falhou""
","+  exception 1 ""Falha ao Salvar o Novo Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar salvar o novo Perfil de Competencias, informando o campo ou a validacao que falhou""
",LOW,0,2,9,"{'TC8', 'TC4'}",11,LOW,The changes only involve rephrasing and clarification of terminology (adding 'de Competencias' to specify the type of profile) without altering the functional behavior or requiring system modifications.,7140
11,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 2 ""Erro ao Editar Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar editar o perfil, informando o campo ou a validacao que falhou""
","+  exception 2 ""Erro ao Editar Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar editar o Perfil de Competencias, informando o campo ou a validacao que falhou""
",LOW,0,2,9,"{'TC9', 'TC5'}",11,LOW,"The changes only involve specification of the profile type ('Perfil de Competencias') in the error message and title, representing a clarification edit that doesn't affect system behavior or require additional development effort.",8995
12,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 3 ""Falha na Exclusao do Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar excluir o perfil""
","+  exception 3 ""Falha na Exclusao do Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar excluir o Perfil de Competencias""
",LOW,0,2,9,"{'TC6', 'TC10'}",11,LOW,The changes only add specificity to the term 'Perfil' by expanding it to 'Perfil de Competencias' without altering the functional behavior or system response. This is a clarity improvement that doesn't require system redesign or additional development effort.,8108
13,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  postCondition ""A gestao de perfis de competencias e realizada com sucesso.""
","+  postCondition ""A gestao de Perfis de Competencias e realizada com sucesso.""
",LOW,0,2,9,"{'TC11', 'TC7'}",11,LOW,"The change only involves capitalization of words ('Perfis' and 'Competencias'), which is a purely formatting change that doesn't alter the meaning or functionality of the post-condition.",7429
