index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,Cosine distance [0.13]: 0.019001279019163264 ,0
1,LOW,Cosine distance [0.13]: 0.016913850050218615 ,0
2,LOW,Cosine distance [0.13]: 0.02298850574712663 ,0
3,LOW,Cosine distance [0.13]: 0.01851851851851849 ,0
4,LOW,Cosine distance [0.13]: 0.05675778171620138 ,0
5,LOW,Cosine distance [0.13]: 0.042487269553306284 ,0
6,LOW,Cosine distance [0.13]: 0.01290376641435087 ,0
7,LOW,Cosine distance [0.13]: 0.037016990454128096 ,0
8,LOW,Cosine distance [0.13]: 0.026399550504913605 ,0
9,LOW,Cosine distance [0.13]: 0.030686368547638954 ,0
10,LOW,Cosine distance [0.13]: 0.09995052199640198 ,0
11,LOW,Cosine distance [0.13]: 0.11295846162887213 ,0
12,HIGH,Cosine distance [0.13]: 0.13794527096728193 ,0
13,LOW,Cosine distance [0.13]: 0.05254955925793292 ,0
14,HIGH,Cosine distance [0.13]: 0.876212541104223 ,0
15,HIGH,Cosine distance [0.13]: 0.3007941012198989 ,0
16,HIGH,Cosine distance [0.13]: 0.17578458743349246 ,0
17,HIGH,Cosine distance [0.13]: 0.27153560323205195 ,0
18,LOW,Cosine distance [0.13]: 0.01290376641435087 ,0
19,HIGH,Cosine distance [0.13]: 0.1511617846789215 ,0
20,HIGH,Cosine distance [0.13]: 0.14815265629545815 ,0
21,HIGH,Cosine distance [0.13]: 0.16656846204718123 ,0
22,HIGH,Cosine distance [0.13]: 0.24151878476445943 ,0
23,LOW,Cosine distance [0.13]: 0.0634920634920636 ,0
24,LOW,Cosine distance [0.13]: 0.03382749738318769 ,1
25,LOW,Cosine distance [0.13]: 0.0577684717414193 ,0
26,LOW,Cosine distance [0.13]: 0.01290376641435087 ,0
27,LOW,Cosine distance [0.13]: 0.08245191864468981 ,0
28,LOW,Cosine distance [0.13]: 0.09080841638981185 ,0
29,LOW,Cosine distance [0.13]: 0.11063607933914554 ,0
30,LOW,Cosine distance [0.13]: 0.09285592436235923 ,0
31,LOW,Cosine distance [0.13]: 0.10230534208464093 ,0
32,LOW,Cosine distance [0.13]: 0.03100401610452186 ,0
33,LOW,Cosine distance [0.13]: 0.051868091424310814 ,0
34,HIGH,Cosine distance [0.13]: 0.8990398443932746 ,1
35,HIGH,Cosine distance [0.13]: 0.9027556466358937 ,0
36,HIGH,Cosine distance [0.13]: 0.8899221535517067 ,0
37,HIGH,Cosine distance [0.13]: 0.909120010335236 ,1
38,HIGH,Cosine distance [0.13]: 0.898645820876138 ,0
39,LOW,Cosine distance [0.13]: 0.05598916182861868 ,1
40,LOW,Cosine distance [0.13]: 0.055655138565834594 ,0
41,LOW,Cosine distance [0.13]: 0.05423586622284504 ,0
42,LOW,Cosine distance [0.13]: 0.054773609215836516 ,1
43,LOW,Cosine distance [0.13]: 0.05423586622284504 ,0
44,LOW,Cosine distance [0.13]: 0.05011941063036052 ,0
45,LOW,Cosine distance [0.13]: 0.04514950196698042 ,0
46,HIGH,Cosine distance [0.13]: 0.8969390576965186 ,0
47,LOW,Cosine distance [0.13]: 0.11277667868141716 ,0
48,HIGH,Cosine distance [0.13]: 0.3818314932026301 ,0
49,HIGH,Cosine distance [0.13]: 0.8174258141649446 ,0
50,LOW,Cosine distance [0.13]: 0.013206283854686252 ,0
51,HIGH,Cosine distance [0.13]: 0.2910071818007245 ,1
52,LOW,Cosine distance [0.13]: 0.004263678003895821 ,0
53,HIGH,Cosine distance [0.13]: 0.8416367053745697 ,1
54,HIGH,Cosine distance [0.13]: 0.9024285759686295 ,0
55,LOW,Cosine distance [0.13]: 0.061028931933115094 ,0
56,LOW,Cosine distance [0.13]: 0.07427172220212674 ,0
57,LOW,Cosine distance [0.13]: 0.06053731695861142 ,0
58,LOW,Cosine distance [0.13]: 0.013928781173423221 ,0
59,LOW,Cosine distance [0.13]: 0.02606379873323794 ,0
60,LOW,Cosine distance [0.13]: 0.07675234226461558 ,0
61,LOW,Cosine distance [0.13]: 0.08599997833481388 ,0
62,LOW,Cosine distance [0.13]: 0.0 ,0
63,LOW,Cosine distance [0.13]: 0.0 ,0
64,LOW,Cosine distance [0.13]: 0.031972524288309434 ,1
65,LOW,Cosine distance [0.13]: 0.08550652477123333 ,0
66,LOW,Cosine distance [0.13]: 0.007234746568676731 ,0
67,LOW,Cosine distance [0.13]: 0.010471492746840227 ,0
68,LOW,Cosine distance [0.13]: 0.017193258616379326 ,0
69,LOW,Cosine distance [0.13]: 0.022872293516065234 ,0
70,LOW,Cosine distance [0.13]: 0.022872293516065234 ,0
71,LOW,Cosine distance [0.13]: 0.047505318015666265 ,0
72,LOW,Cosine distance [0.13]: 0.009983611079530719 ,0
73,LOW,Cosine distance [0.13]: 0.013240060099118045 ,0
74,LOW,Cosine distance [0.13]: 0.028555568124699504 ,0
75,LOW,Cosine distance [0.13]: 0.016453440643170114 ,0
76,LOW,Cosine distance [0.13]: 0.0 ,0
77,LOW,Cosine distance [0.13]: 0.03508634123065035 ,0
78,LOW,Cosine distance [0.13]: 0.03739296417935112 ,0
79,LOW,Cosine distance [0.13]: 0.06620527851482683 ,0
80,LOW,Cosine distance [0.13]: 0.053350093949856014 ,0
81,LOW,Cosine distance [0.13]: 0.02461702330853044 ,0
82,LOW,Cosine distance [0.13]: 0.015037593984962627 ,0
83,LOW,Cosine distance [0.13]: 0.013245033112582738 ,0
84,LOW,Cosine distance [0.13]: 0.013400598835384248 ,0
85,LOW,Cosine distance [0.13]: 0.021557412782777896 ,0
