index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,N-Gram distance [0.58]: 0.0136986301369863 ,3
1,LOW,N-Gram distance [0.58]: 0.01282051282051282 ,4
2,LOW,N-Gram distance [0.58]: 0.015151515151515152 ,2
3,LOW,N-Gram distance [0.58]: 0.014084507042253521 ,2
4,LOW,N-Gram distance [0.58]: 0.044444444444444446 ,0
5,LOW,N-Gram distance [0.58]: 0.08436213991769548 ,32
6,LOW,N-Gram distance [0.58]: 0.029411764705882353 ,1
7,LOW,N-Gram distance [0.58]: 0.060240963855421686 ,3
8,LOW,N-Gram distance [0.58]: 0.025 ,3
9,LOW,N-Gram distance [0.58]: 0.022222222222222223 ,19
10,LOW,N-Gram distance [0.58]: 0.1910828025477707 ,12
11,LOW,N-Gram distance [0.58]: 0.20408163265306123 ,9
12,LOW,N-Gram distance [0.58]: 0.2543103448275862 ,6
13,LOW,N-Gram distance [0.58]: 0.03225806451612903 ,1
14,HIGH,N-Gram distance [0.58]: 0.7003870513722731 ,8
15,LOW,N-Gram distance [0.58]: 0.34444444444444444 ,2
16,LOW,N-Gram distance [0.58]: 0.1751412429378531 ,25
17,LOW,N-Gram distance [0.58]: 0.4010989010989011 ,3
18,LOW,N-Gram distance [0.58]: 0.029411764705882353 ,1
19,LOW,N-Gram distance [0.58]: 0.23417721518987342 ,3
20,LOW,N-Gram distance [0.58]: 0.2012987012987013 ,3
21,LOW,N-Gram distance [0.58]: 0.17222222222222222 ,19
22,LOW,N-Gram distance [0.58]: 0.25 ,1
23,LOW,N-Gram distance [0.58]: 0.043478260869565216 ,2
24,LOW,N-Gram distance [0.58]: 0.0223463687150838 ,19
25,LOW,N-Gram distance [0.58]: 0.046052631578947366 ,4
26,LOW,N-Gram distance [0.58]: 0.029411764705882353 ,0
27,LOW,N-Gram distance [0.58]: 0.058823529411764705 ,36
28,LOW,N-Gram distance [0.58]: 0.058823529411764705 ,34
29,LOW,N-Gram distance [0.58]: 0.1 ,4
30,LOW,N-Gram distance [0.58]: 0.05982905982905983 ,33
31,LOW,N-Gram distance [0.58]: 0.06707317073170732 ,3
32,LOW,N-Gram distance [0.58]: 0.02197802197802198 ,21
33,LOW,N-Gram distance [0.58]: 0.031746031746031744 ,5
34,HIGH,N-Gram distance [0.58]: 0.708898534997287 ,10
35,HIGH,N-Gram distance [0.58]: 0.7048465829846583 ,8
36,HIGH,N-Gram distance [0.58]: 0.7103620474406991 ,1
