index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,Jaccard distance [0.33]: 0.0357142857142857 ,0
1,LOW,Jaccard distance [0.33]: 0.23931623931623935 ,0
2,LOW,Jaccard distance [0.33]: 0.12101910828025475 ,0
3,HIGH,Jaccard distance [0.33]: 0.8037383177570093 ,0
4,HIGH,Jaccard distance [0.33]: 0.9789473684210527 ,0
5,HIGH,Jaccard distance [0.33]: 0.9929577464788732 ,0
6,HIGH,Jaccard distance [0.33]: 0.9931506849315068 ,0
7,HIGH,Jaccard distance [0.33]: 0.9948051948051948 ,1
8,HIGH,Jaccard distance [0.33]: 0.9936908517350158 ,0
9,HIGH,Jaccard distance [0.33]: 0.5957446808510638 ,0
10,LOW,Jaccard distance [0.33]: 0.11504424778761058 ,0
11,LOW,Jaccard distance [0.33]: 0.018181818181818188 ,0
12,HIGH,Jaccard distance [0.33]: 0.9759036144578314 ,0
13,LOW,Jaccard distance [0.33]: 0.2075471698113207 ,0
14,LOW,Jaccard distance [0.33]: 0.32692307692307687 ,0
15,LOW,Jaccard distance [0.33]: 0.021739130434782594 ,0
16,HIGH,Jaccard distance [0.33]: 0.9878048780487805 ,0
17,LOW,Jaccard distance [0.33]: 0.020408163265306145 ,0
18,HIGH,Jaccard distance [0.33]: 1.0 ,0
19,LOW,Jaccard distance [0.33]: 0.08108108108108103 ,0
20,HIGH,Jaccard distance [0.33]: 0.9896907216494846 ,0
21,LOW,Jaccard distance [0.33]: 0.28358208955223885 ,0
22,LOW,Jaccard distance [0.33]: 0.28 ,0
23,LOW,Jaccard distance [0.33]: 0.3142857142857143 ,0
24,LOW,Jaccard distance [0.33]: 0.2857142857142857 ,0
25,LOW,Jaccard distance [0.33]: 0.27835051546391754 ,0
26,LOW,Jaccard distance [0.33]: 0.08695652173913049 ,0
27,LOW,Jaccard distance [0.33]: 0.05555555555555558 ,0
28,LOW,Jaccard distance [0.33]: 0.08823529411764708 ,0
29,LOW,Jaccard distance [0.33]: 0.09375 ,0
30,LOW,Jaccard distance [0.33]: 0.023809523809523836 ,0
31,LOW,Jaccard distance [0.33]: 0.052631578947368474 ,0
32,LOW,Jaccard distance [0.33]: 0.08333333333333337 ,0
33,LOW,Jaccard distance [0.33]: 0.05128205128205132 ,0
34,LOW,Jaccard distance [0.33]: 0.024390243902439046 ,0
35,LOW,Jaccard distance [0.33]: 0.01538461538461533 ,1
36,LOW,Jaccard distance [0.33]: 0.050000000000000044 ,0
37,LOW,Jaccard distance [0.33]: 0.08108108108108103 ,0
38,LOW,Jaccard distance [0.33]: 0.13095238095238093 ,0
39,LOW,Jaccard distance [0.33]: 0.011363636363636354 ,0
40,HIGH,Jaccard distance [0.33]: 1.0 ,0
41,LOW,Jaccard distance [0.33]: 0.05555555555555558 ,0
42,LOW,Jaccard distance [0.33]: 0.15217391304347827 ,0
43,LOW,Jaccard distance [0.33]: 0.0 ,0
44,LOW,Jaccard distance [0.33]: 0.0 ,0
45,LOW,Jaccard distance [0.33]: 0.0 ,0
46,LOW,Jaccard distance [0.33]: 0.036363636363636376 ,0
47,LOW,Jaccard distance [0.33]: 0.0 ,0
48,LOW,Jaccard distance [0.33]: 0.0 ,0
49,LOW,Jaccard distance [0.33]: 0.05660377358490565 ,0
50,LOW,Jaccard distance [0.33]: 0.054545454545454564 ,0
51,LOW,Jaccard distance [0.33]: 0.14473684210526316 ,0
52,LOW,Jaccard distance [0.33]: 0.048387096774193505 ,0
53,LOW,Jaccard distance [0.33]: 0.0 ,0
54,LOW,Jaccard distance [0.33]: 0.05555555555555558 ,0
55,LOW,Jaccard distance [0.33]: 0.0 ,0
56,LOW,Jaccard distance [0.33]: 0.0 ,0
57,LOW,Jaccard distance [0.33]: 0.010526315789473717 ,0
58,LOW,Jaccard distance [0.33]: 0.0 ,0
59,LOW,Jaccard distance [0.33]: 0.07999999999999996 ,0
60,LOW,Jaccard distance [0.33]: 0.09230769230769231 ,0
61,LOW,Jaccard distance [0.33]: 0.05555555555555558 ,0
62,LOW,Jaccard distance [0.33]: 0.0 ,0
63,LOW,Jaccard distance [0.33]: 0.0 ,0
64,LOW,Jaccard distance [0.33]: 0.05555555555555558 ,0
65,LOW,Jaccard distance [0.33]: 0.10526315789473684 ,1
66,LOW,Jaccard distance [0.33]: 0.0 ,0
67,LOW,Jaccard distance [0.33]: 0.05555555555555558 ,0
68,LOW,Jaccard distance [0.33]: 0.08333333333333337 ,0
69,LOW,Jaccard distance [0.33]: 0.05714285714285716 ,0
70,LOW,Jaccard distance [0.33]: 0.05555555555555558 ,0
71,LOW,Jaccard distance [0.33]: 0.0 ,0
72,LOW,Jaccard distance [0.33]: 0.010526315789473717 ,0
73,LOW,Jaccard distance [0.33]: 0.0 ,0
74,LOW,Jaccard distance [0.33]: 0.0625 ,0
75,LOW,Jaccard distance [0.33]: 0.05555555555555558 ,0
76,LOW,Jaccard distance [0.33]: 0.0 ,0
77,LOW,Jaccard distance [0.33]: 0.011111111111111072 ,0
78,LOW,Jaccard distance [0.33]: 0.0 ,0
79,LOW,Jaccard distance [0.33]: 0.032258064516129004 ,0
80,HIGH,Jaccard distance [0.33]: 0.9819819819819819 ,0
