model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_truth_class_low_priority_edits,total_truth_class_high_priority_edits,total_predicted_class_low_priority_edits,total_predicted_class_high_priority_edits,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
Claude-3.5-sonnet-CoTToT,0,"[[22  0]
 [12 66]]",22,0,12,66,100,0,0.88,0.846,1.0,0.917,78,22,66,34,314,77,214,23,170,0,44,0.794
Claude-3.5-sonnet-CoTToT,1,"[[22  0]
 [12 66]]",22,0,12,66,100,0,0.88,0.846,1.0,0.917,78,22,66,34,314,77,214,23,170,0,44,0.794
Claude-3.5-sonnet-CoTToT,2,"[[22  0]
 [12 66]]",22,0,12,66,100,0,0.88,0.846,1.0,0.917,78,22,66,34,314,77,214,23,170,0,44,0.794
Claude-3.5-sonnet-NaiveRAG,0,"[[20  2]
 [13 65]]",20,2,13,65,100,0,0.85,0.833,0.97,0.897,78,22,67,33,314,77,214,23,170,0,44,0.794
Claude-3.5-sonnet-NaiveRAG,1,"[[20  2]
 [13 65]]",20,2,13,65,100,0,0.85,0.833,0.97,0.897,78,22,67,33,314,77,214,23,170,0,44,0.794
Claude-3.5-sonnet-NaiveRAG,2,"[[19  3]
 [13 65]]",19,3,13,65,100,0,0.84,0.833,0.956,0.89,78,22,68,32,314,77,214,23,170,0,44,0.794
DeepSeek-V3-CoTToT,0,"[[22  0]
 [12 66]]",22,0,12,66,100,0,0.88,0.846,1.0,0.917,78,22,66,34,314,77,214,23,168,0,46,0.785
DeepSeek-V3-CoTToT,1,"[[22  0]
 [11 67]]",22,0,11,67,100,0,0.89,0.859,1.0,0.924,78,22,67,33,314,77,214,23,171,0,43,0.799
DeepSeek-V3-CoTToT,2,"[[22  0]
 [10 68]]",22,0,10,68,100,0,0.9,0.872,1.0,0.932,78,22,68,32,314,77,214,23,171,0,43,0.799
DeepSeek-V3-NaiveRAG,0,"[[17  5]
 [10 68]]",17,5,10,68,100,0,0.85,0.872,0.932,0.901,78,22,73,27,314,77,214,23,175,0,39,0.818
DeepSeek-V3-NaiveRAG,1,"[[15  7]
 [10 68]]",15,7,10,68,100,0,0.83,0.872,0.907,0.889,78,22,75,25,314,77,214,23,175,0,39,0.818
DeepSeek-V3-NaiveRAG,2,"[[15  7]
 [ 9 69]]",15,7,9,69,100,0,0.84,0.885,0.908,0.896,78,22,76,24,314,77,214,23,175,0,39,0.818
Gemini-2.0-flash-CoTToT,0,"[[ 7 11]
 [21 37]]",7,11,21,37,76,24,0.579,0.638,0.771,0.698,78,22,48,28,257,56,185,16,78,0,107,0.422
Gemini-2.0-flash-CoTToT,1,"[[ 7 11]
 [16 33]]",7,11,16,33,67,33,0.597,0.673,0.75,0.71,78,22,44,23,214,56,152,6,80,0,72,0.526
Gemini-2.0-flash-CoTToT,2,"[[ 7 11]
 [18 32]]",7,11,18,32,68,32,0.574,0.64,0.744,0.688,78,22,43,25,214,56,153,5,63,0,90,0.412
Gemini-2.0-flash-NaiveRAG,0,"[[11 11]
 [13 64]]",11,11,13,64,99,1,0.758,0.831,0.853,0.842,78,22,75,24,312,77,212,23,150,0,62,0.708
Gemini-2.0-flash-NaiveRAG,1,"[[17  5]
 [ 7 71]]",17,5,7,71,100,0,0.88,0.91,0.934,0.922,78,22,76,24,314,77,214,23,179,0,35,0.836
Gemini-2.0-flash-NaiveRAG,2,"[[17  5]
 [ 8 70]]",17,5,8,70,100,0,0.87,0.897,0.933,0.915,78,22,75,25,314,77,214,23,175,0,39,0.818
Gemma-2-CoTToT,0,"[[19  3]
 [13 65]]",19,3,13,65,100,0,0.84,0.833,0.956,0.89,78,22,68,32,314,77,214,23,154,0,60,0.72
Gemma-2-CoTToT,1,"[[19  3]
 [13 65]]",19,3,13,65,100,0,0.84,0.833,0.956,0.89,78,22,68,32,314,77,214,23,154,0,60,0.72
Gemma-2-CoTToT,2,"[[19  3]
 [13 65]]",19,3,13,65,100,0,0.84,0.833,0.956,0.89,78,22,68,32,314,77,214,23,154,0,60,0.72
Gemma-2-NaiveRAG,0,"[[16  6]
 [ 9 69]]",16,6,9,69,100,0,0.85,0.885,0.92,0.902,78,22,75,25,314,77,214,23,176,0,38,0.822
Gemma-2-NaiveRAG,1,"[[17  5]
 [ 9 69]]",17,5,9,69,100,0,0.86,0.885,0.932,0.908,78,22,74,26,314,77,214,23,176,0,38,0.822
Gemma-2-NaiveRAG,2,"[[16  6]
 [10 68]]",16,6,10,68,100,0,0.84,0.872,0.919,0.895,78,22,74,26,314,77,214,23,175,0,39,0.818
GPT-4o-CoTToT,0,"[[22  0]
 [14 64]]",22,0,14,64,100,0,0.86,0.821,1.0,0.901,78,22,64,36,314,77,214,23,165,0,49,0.771
GPT-4o-CoTToT,1,"[[22  0]
 [15 63]]",22,0,15,63,100,0,0.85,0.808,1.0,0.894,78,22,63,37,314,77,214,23,163,0,51,0.762
GPT-4o-CoTToT,2,"[[22  0]
 [15 63]]",22,0,15,63,100,0,0.85,0.808,1.0,0.894,78,22,63,37,314,77,214,23,165,0,49,0.771
GPT-4o-NaiveRAG,0,"[[18  4]
 [12 66]]",18,4,12,66,100,0,0.84,0.846,0.943,0.892,78,22,70,30,314,77,214,23,169,0,45,0.79
GPT-4o-NaiveRAG,1,"[[19  3]
 [11 67]]",19,3,11,67,100,0,0.86,0.859,0.957,0.905,78,22,70,30,314,77,214,23,171,0,43,0.799
GPT-4o-NaiveRAG,2,"[[18  4]
 [11 67]]",18,4,11,67,100,0,0.85,0.859,0.944,0.899,78,22,71,29,314,77,214,23,171,0,43,0.799
GPT-o1-mini-CoTToT,0,"[[22  0]
 [18 60]]",22,0,18,60,100,0,0.82,0.769,1.0,0.87,78,22,60,40,314,77,214,23,163,0,51,0.762
GPT-o1-mini-CoTToT,1,"[[22  0]
 [18 60]]",22,0,18,60,100,0,0.82,0.769,1.0,0.87,78,22,60,40,314,77,214,23,160,0,54,0.748
GPT-o1-mini-CoTToT,2,"[[22  0]
 [15 63]]",22,0,15,63,100,0,0.85,0.808,1.0,0.894,78,22,63,37,314,77,214,23,168,0,46,0.785
GPT-o1-mini-NaiveRAG,0,"[[19  3]
 [14 64]]",19,3,14,64,100,0,0.83,0.821,0.955,0.883,78,22,67,33,314,77,214,23,170,0,44,0.794
GPT-o1-mini-NaiveRAG,1,"[[20  2]
 [15 63]]",20,2,15,63,100,0,0.83,0.808,0.969,0.881,78,22,65,35,314,77,214,23,167,0,47,0.78
GPT-o1-mini-NaiveRAG,2,"[[18  4]
 [14 64]]",18,4,14,64,100,0,0.82,0.821,0.941,0.877,78,22,68,32,314,77,214,23,170,0,44,0.794
Llama-3.3-CoTToT,0,"[[19  3]
 [13 65]]",19,3,13,65,100,0,0.84,0.833,0.956,0.89,78,22,68,32,314,77,214,23,158,0,56,0.738
Llama-3.3-CoTToT,1,"[[18  4]
 [14 63]]",18,4,14,63,99,1,0.818,0.818,0.94,0.875,78,22,67,32,312,77,212,23,141,0,71,0.665
Llama-3.3-CoTToT,2,"[[18  4]
 [14 63]]",18,4,14,63,99,1,0.818,0.818,0.94,0.875,78,22,67,32,312,77,212,23,141,0,71,0.665
Llama-3.3-NaiveRAG,0,"[[17  5]
 [15 63]]",17,5,15,63,100,0,0.8,0.808,0.926,0.863,78,22,68,32,314,77,214,23,150,0,64,0.701
Llama-3.3-NaiveRAG,1,"[[17  5]
 [14 64]]",17,5,14,64,100,0,0.81,0.821,0.928,0.871,78,22,69,31,314,77,214,23,162,0,52,0.757
Llama-3.3-NaiveRAG,2,"[[19  3]
 [14 64]]",19,3,14,64,100,0,0.83,0.821,0.955,0.883,78,22,67,33,314,77,214,23,150,0,64,0.701
Mistral-CoTToT,0,"[[17  5]
 [15 63]]",17,5,15,63,100,0,0.8,0.808,0.926,0.863,78,22,68,32,314,77,214,23,138,0,76,0.645
Mistral-CoTToT,1,"[[17  5]
 [15 63]]",17,5,15,63,100,0,0.8,0.808,0.926,0.863,78,22,68,32,314,77,214,23,138,0,76,0.645
Mistral-CoTToT,2,"[[17  5]
 [15 63]]",17,5,15,63,100,0,0.8,0.808,0.926,0.863,78,22,68,32,314,77,214,23,138,0,76,0.645
Mistral-NaiveRAG,0,"[[20  2]
 [39 39]]",20,2,39,39,100,0,0.59,0.5,0.951,0.655,78,22,41,59,314,77,214,23,65,0,149,0.304
Mistral-NaiveRAG,1,"[[20  2]
 [39 39]]",20,2,39,39,100,0,0.59,0.5,0.951,0.655,78,22,41,59,314,77,214,23,68,0,146,0.318
