index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,Levenshtein distance [0.59]: 0.0136986301369863 ,1
1,LOW,Levenshtein distance [0.59]: 0.01282051282051282 ,1
2,LOW,Levenshtein distance [0.59]: 0.015151515151515152 ,0
3,LOW,Levenshtein distance [0.59]: 0.014084507042253521 ,0
4,LOW,Levenshtein distance [0.59]: 0.044444444444444446 ,0
5,LOW,Levenshtein distance [0.59]: 0.0823045267489712 ,14
6,LOW,Levenshtein distance [0.59]: 0.029411764705882353 ,0
7,LOW,Levenshtein distance [0.59]: 0.060240963855421686 ,2
8,LOW,Levenshtein distance [0.59]: 0.025 ,0
9,LOW,Levenshtein distance [0.59]: 0.022222222222222223 ,9
10,LOW,Levenshtein distance [0.59]: 0.18471337579617833 ,6
11,LOW,Levenshtein distance [0.59]: 0.19727891156462585 ,5
12,LOW,Levenshtein distance [0.59]: 0.25 ,3
13,LOW,Levenshtein distance [0.59]: 0.03225806451612903 ,0
14,HIGH,Levenshtein distance [0.59]: 0.9989444053483463 ,3
15,LOW,Levenshtein distance [0.59]: 0.3333333333333333 ,0
16,LOW,Levenshtein distance [0.59]: 0.1694915254237288 ,7
17,LOW,Levenshtein distance [0.59]: 0.3956043956043956 ,1
18,LOW,Levenshtein distance [0.59]: 0.029411764705882353 ,1
19,LOW,Levenshtein distance [0.59]: 0.22784810126582278 ,1
20,LOW,Levenshtein distance [0.59]: 0.19480519480519481 ,0
21,LOW,Levenshtein distance [0.59]: 0.16666666666666666 ,14
22,LOW,Levenshtein distance [0.59]: 0.24193548387096775 ,0
23,LOW,Levenshtein distance [0.59]: 0.043478260869565216 ,1
24,LOW,Levenshtein distance [0.59]: 0.0223463687150838 ,8
25,LOW,Levenshtein distance [0.59]: 0.039473684210526314 ,0
26,LOW,Levenshtein distance [0.59]: 0.029411764705882353 ,0
27,LOW,Levenshtein distance [0.59]: 0.05042016806722689 ,22
28,LOW,Levenshtein distance [0.59]: 0.05042016806722689 ,15
29,LOW,Levenshtein distance [0.59]: 0.09411764705882353 ,1
30,LOW,Levenshtein distance [0.59]: 0.05128205128205128 ,14
31,LOW,Levenshtein distance [0.59]: 0.06097560975609756 ,2
32,LOW,Levenshtein distance [0.59]: 0.02197802197802198 ,9
33,LOW,Levenshtein distance [0.59]: 0.031746031746031744 ,2
34,HIGH,Levenshtein distance [0.59]: 0.9983722192078134 ,3
35,HIGH,Levenshtein distance [0.59]: 0.9989539748953975 ,4
36,HIGH,Levenshtein distance [0.59]: 0.9962546816479401 ,1
37,HIGH,Levenshtein distance [0.59]: 0.9982598607888631 ,2
38,HIGH,Levenshtein distance [0.59]: 0.9976209357652657 ,1
39,LOW,Levenshtein distance [0.59]: 0.02127659574468085 ,2
40,LOW,Levenshtein distance [0.59]: 0.043478260869565216 ,5
41,LOW,Levenshtein distance [0.59]: 0.04477611940298507 ,5
42,LOW,Levenshtein distance [0.59]: 0.047058823529411764 ,1
43,LOW,Levenshtein distance [0.59]: 0.04477611940298507 ,4
44,LOW,Levenshtein distance [0.59]: 0.04878048780487805 ,1
45,LOW,Levenshtein distance [0.59]: 0.020833333333333332 ,1
46,HIGH,Levenshtein distance [0.59]: 0.9975308641975309 ,1
47,LOW,Levenshtein distance [0.59]: 0.43243243243243246 ,0
48,LOW,Levenshtein distance [0.59]: 0.5161290322580645 ,0
49,HIGH,Levenshtein distance [0.59]: 0.967391304347826 ,0
50,LOW,Levenshtein distance [0.59]: 0.012658227848101266 ,0
51,HIGH,Levenshtein distance [0.59]: 0.7587131367292225 ,9
52,LOW,Levenshtein distance [0.59]: 0.010362694300518135 ,10
53,HIGH,Levenshtein distance [0.59]: 0.9991268917345751 ,4
54,HIGH,Levenshtein distance [0.59]: 0.997164461247637 ,1
55,LOW,Levenshtein distance [0.59]: 0.0821917808219178 ,1
56,LOW,Levenshtein distance [0.59]: 0.1794871794871795 ,0
57,LOW,Levenshtein distance [0.59]: 0.024096385542168676 ,1
58,LOW,Levenshtein distance [0.59]: 0.015625 ,0
59,LOW,Levenshtein distance [0.59]: 0.0821917808219178 ,8
60,LOW,Levenshtein distance [0.59]: 0.047619047619047616 ,1
61,LOW,Levenshtein distance [0.59]: 0.0967741935483871 ,1
62,LOW,Levenshtein distance [0.59]: 0.0 ,0
63,LOW,Levenshtein distance [0.59]: 0.0 ,0
64,LOW,Levenshtein distance [0.59]: 0.10552763819095477 ,10
65,LOW,Levenshtein distance [0.59]: 0.11956521739130435 ,2
66,LOW,Levenshtein distance [0.59]: 0.016 ,20
67,LOW,Levenshtein distance [0.59]: 0.0379746835443038 ,2
68,LOW,Levenshtein distance [0.59]: 0.014925373134328358 ,1
69,LOW,Levenshtein distance [0.59]: 0.018867924528301886 ,1
70,LOW,Levenshtein distance [0.59]: 0.018867924528301886 ,0
71,LOW,Levenshtein distance [0.59]: 0.09345794392523364 ,4
72,LOW,Levenshtein distance [0.59]: 0.03571428571428571 ,2
73,LOW,Levenshtein distance [0.59]: 0.010638297872340425 ,2
74,LOW,Levenshtein distance [0.59]: 0.029850746268656716 ,1
75,LOW,Levenshtein distance [0.59]: 0.03571428571428571 ,2
76,LOW,Levenshtein distance [0.59]: 0.0 ,0
77,LOW,Levenshtein distance [0.59]: 0.08108108108108109 ,3
78,LOW,Levenshtein distance [0.59]: 0.2403846153846154 ,2
79,LOW,Levenshtein distance [0.59]: 0.13924050632911392 ,1
80,LOW,Levenshtein distance [0.59]: 0.020833333333333332 ,1
81,LOW,Levenshtein distance [0.59]: 0.01639344262295082 ,1
82,LOW,Levenshtein distance [0.59]: 0.015151515151515152 ,1
83,LOW,Levenshtein distance [0.59]: 0.011627906976744186 ,1
84,LOW,Levenshtein distance [0.59]: 0.010526315789473684 ,3
85,LOW,Levenshtein distance [0.59]: 0.018518518518518517 ,1
86,LOW,Levenshtein distance [0.59]: 0.018518518518518517 ,0
87,LOW,Levenshtein distance [0.59]: 0.012195121951219513 ,1
88,LOW,Levenshtein distance [0.59]: 0.09803921568627451 ,3
89,LOW,Levenshtein distance [0.59]: 0.04938271604938271 ,0
90,LOW,Levenshtein distance [0.59]: 0.02040816326530612 ,2
91,LOW,Levenshtein distance [0.59]: 0.0 ,0
92,LOW,Levenshtein distance [0.59]: 0.03468208092485549 ,8
93,LOW,Levenshtein distance [0.59]: 0.14507772020725387 ,9
94,LOW,Levenshtein distance [0.59]: 0.4135546334716459 ,104
95,HIGH,Levenshtein distance [0.59]: 0.9714285714285714 ,1
96,HIGH,Levenshtein distance [0.59]: 0.992 ,0
97,LOW,Levenshtein distance [0.59]: 0.056179775280898875 ,2
98,HIGH,Levenshtein distance [0.59]: 0.999031007751938 ,4
99,LOW,Levenshtein distance [0.59]: 0.05813953488372093 ,1
