index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,Levenshtein distance [0.59]: 0.0136986301369863 ,0
1,LOW,Levenshtein distance [0.59]: 0.01282051282051282 ,1
2,LOW,Levenshtein distance [0.59]: 0.015151515151515152 ,0
3,LOW,Levenshtein distance [0.59]: 0.014084507042253521 ,1
4,LOW,Levenshtein distance [0.59]: 0.044444444444444446 ,1
5,LOW,Levenshtein distance [0.59]: 0.0823045267489712 ,16
6,LOW,Levenshtein distance [0.59]: 0.029411764705882353 ,0
7,LOW,Levenshtein distance [0.59]: 0.060240963855421686 ,0
8,LOW,Levenshtein distance [0.59]: 0.025 ,1
9,LOW,Levenshtein distance [0.59]: 0.022222222222222223 ,9
10,LOW,Levenshtein distance [0.59]: 0.18471337579617833 ,5
11,LOW,Levenshtein distance [0.59]: 0.19727891156462585 ,4
12,LOW,Levenshtein distance [0.59]: 0.25 ,3
13,LOW,Levenshtein distance [0.59]: 0.03225806451612903 ,0
14,HIGH,Levenshtein distance [0.59]: 0.9989444053483463 ,2
15,LOW,Levenshtein distance [0.59]: 0.3333333333333333 ,1
16,LOW,Levenshtein distance [0.59]: 0.1694915254237288 ,8
17,LOW,Levenshtein distance [0.59]: 0.3956043956043956 ,2
18,LOW,Levenshtein distance [0.59]: 0.029411764705882353 ,0
19,LOW,Levenshtein distance [0.59]: 0.22784810126582278 ,1
20,LOW,Levenshtein distance [0.59]: 0.19480519480519481 ,1
21,LOW,Levenshtein distance [0.59]: 0.16666666666666666 ,8
22,LOW,Levenshtein distance [0.59]: 0.24193548387096775 ,1
23,LOW,Levenshtein distance [0.59]: 0.043478260869565216 ,0
24,LOW,Levenshtein distance [0.59]: 0.0223463687150838 ,8
25,LOW,Levenshtein distance [0.59]: 0.039473684210526314 ,1
26,LOW,Levenshtein distance [0.59]: 0.029411764705882353 ,0
27,LOW,Levenshtein distance [0.59]: 0.05042016806722689 ,15
28,LOW,Levenshtein distance [0.59]: 0.05042016806722689 ,15
29,LOW,Levenshtein distance [0.59]: 0.09411764705882353 ,2
30,LOW,Levenshtein distance [0.59]: 0.05128205128205128 ,15
31,LOW,Levenshtein distance [0.59]: 0.06097560975609756 ,2
32,LOW,Levenshtein distance [0.59]: 0.02197802197802198 ,9
33,LOW,Levenshtein distance [0.59]: 0.031746031746031744 ,1
34,HIGH,Levenshtein distance [0.59]: 0.9983722192078134 ,2
35,HIGH,Levenshtein distance [0.59]: 0.9989539748953975 ,4
36,HIGH,Levenshtein distance [0.59]: 0.9962546816479401 ,0
37,HIGH,Levenshtein distance [0.59]: 0.9982598607888631 ,2
38,HIGH,Levenshtein distance [0.59]: 0.9976209357652657 ,1
39,LOW,Levenshtein distance [0.59]: 0.02127659574468085 ,1
40,LOW,Levenshtein distance [0.59]: 0.043478260869565216 ,4
41,LOW,Levenshtein distance [0.59]: 0.04477611940298507 ,5
42,LOW,Levenshtein distance [0.59]: 0.047058823529411764 ,3
43,LOW,Levenshtein distance [0.59]: 0.04477611940298507 ,6
44,LOW,Levenshtein distance [0.59]: 0.04878048780487805 ,2
45,LOW,Levenshtein distance [0.59]: 0.020833333333333332 ,2
46,HIGH,Levenshtein distance [0.59]: 0.9975308641975309 ,1
47,LOW,Levenshtein distance [0.59]: 0.43243243243243246 ,1
48,LOW,Levenshtein distance [0.59]: 0.5161290322580645 ,0
49,HIGH,Levenshtein distance [0.59]: 0.967391304347826 ,0
50,LOW,Levenshtein distance [0.59]: 0.012658227848101266 ,1
51,HIGH,Levenshtein distance [0.59]: 0.7587131367292225 ,15
52,LOW,Levenshtein distance [0.59]: 0.010362694300518135 ,14
53,HIGH,Levenshtein distance [0.59]: 0.9991268917345751 ,5
54,HIGH,Levenshtein distance [0.59]: 0.997164461247637 ,0
55,LOW,Levenshtein distance [0.59]: 0.0821917808219178 ,1
56,LOW,Levenshtein distance [0.59]: 0.1794871794871795 ,1
57,LOW,Levenshtein distance [0.59]: 0.024096385542168676 ,1
58,LOW,Levenshtein distance [0.59]: 0.015625 ,2
59,LOW,Levenshtein distance [0.59]: 0.0821917808219178 ,5
60,LOW,Levenshtein distance [0.59]: 0.047619047619047616 ,0
61,LOW,Levenshtein distance [0.59]: 0.0967741935483871 ,1
62,LOW,Levenshtein distance [0.59]: 0.0 ,0
63,LOW,Levenshtein distance [0.59]: 0.0 ,0
64,LOW,Levenshtein distance [0.59]: 0.10552763819095477 ,9
65,LOW,Levenshtein distance [0.59]: 0.11956521739130435 ,1
66,LOW,Levenshtein distance [0.59]: 0.016 ,17
67,LOW,Levenshtein distance [0.59]: 0.0379746835443038 ,2
68,LOW,Levenshtein distance [0.59]: 0.014925373134328358 ,2
69,LOW,Levenshtein distance [0.59]: 0.018867924528301886 ,0
70,LOW,Levenshtein distance [0.59]: 0.018867924528301886 ,0
71,LOW,Levenshtein distance [0.59]: 0.09345794392523364 ,2
72,LOW,Levenshtein distance [0.59]: 0.03571428571428571 ,3
73,LOW,Levenshtein distance [0.59]: 0.010638297872340425 ,2
74,LOW,Levenshtein distance [0.59]: 0.029850746268656716 ,1
75,LOW,Levenshtein distance [0.59]: 0.03571428571428571 ,2
76,LOW,Levenshtein distance [0.59]: 0.0 ,0
77,LOW,Levenshtein distance [0.59]: 0.08108108108108109 ,2
78,LOW,Levenshtein distance [0.59]: 0.2403846153846154 ,1
79,LOW,Levenshtein distance [0.59]: 0.13924050632911392 ,2
80,LOW,Levenshtein distance [0.59]: 0.020833333333333332 ,2
81,LOW,Levenshtein distance [0.59]: 0.01639344262295082 ,1
82,LOW,Levenshtein distance [0.59]: 0.015151515151515152 ,1
83,LOW,Levenshtein distance [0.59]: 0.011627906976744186 ,2
84,LOW,Levenshtein distance [0.59]: 0.010526315789473684 ,2
85,LOW,Levenshtein distance [0.59]: 0.018518518518518517 ,1
86,LOW,Levenshtein distance [0.59]: 0.018518518518518517 ,0
87,LOW,Levenshtein distance [0.59]: 0.012195121951219513 ,1
88,LOW,Levenshtein distance [0.59]: 0.09803921568627451 ,3
89,LOW,Levenshtein distance [0.59]: 0.04938271604938271 ,2
90,LOW,Levenshtein distance [0.59]: 0.02040816326530612 ,3
91,LOW,Levenshtein distance [0.59]: 0.0 ,0
92,LOW,Levenshtein distance [0.59]: 0.03468208092485549 ,7
93,LOW,Levenshtein distance [0.59]: 0.14507772020725387 ,9
94,LOW,Levenshtein distance [0.59]: 0.4135546334716459 ,101
95,HIGH,Levenshtein distance [0.59]: 0.9714285714285714 ,0
96,HIGH,Levenshtein distance [0.59]: 0.992 ,0
97,LOW,Levenshtein distance [0.59]: 0.056179775280898875 ,2
98,HIGH,Levenshtein distance [0.59]: 0.999031007751938 ,4
99,LOW,Levenshtein distance [0.59]: 0.05813953488372093 ,1
