filename,base_tag,head_tag,new_cts,obsolete_cts_low_low,obsolete_cts_low_high,obsolete_cts_high,obsolete_cts_low_low_size,obsolete_cts_low_high_size,obsolete_cts_high_size,new_cts_size,obsolete_cts_size,reusable_cts_size,total_cts_size,low_impacted_size,high_impacted_size,mixed_impacted_size
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v0.1,exp01_rgp-diarias_v0.2,,"{'TC66', 'TC32', 'TC95', 'TC62', 'TC58', 'TC11', 'TC90', 'TC29', 'TC60', 'TC27', 'TC59', 'TC64', 'TC57', 'TC16', 'TC49', 'TC99', 'TC97', 'TC22', 'TC78', 'TC55', 'TC44', 'TC65', 'TC100', 'TC98', 'TC26', 'TC30', 'TC23', 'TC33', 'TC94', 'TC96', 'TC72', 'TC24', 'TC89', 'TC31', 'TC28', 'TC38', 'TC92', 'TC91', 'TC25', 'TC93', 'TC56', 'TC63', 'TC83', 'TC5', 'TC61'}",,"{'TC36', 'TC32', 'TC95', 'TC3', 'TC62', 'TC13', 'TC58', 'TC68', 'TC75', 'TC11', 'TC29', 'TC60', 'TC64', 'TC10', 'TC59', 'TC45', 'TC49', 'TC50', 'TC76', 'TC20', 'TC19', 'TC35', 'TC22', 'TC42', 'TC55', 'TC65', 'TC52', 'TC4', 'TC98', 'TC70', 'TC69', 'TC30', 'TC33', 'TC94', 'TC72', 'TC24', 'TC8', 'TC43', 'TC89', 'TC31', 'TC28', 'TC77', 'TC38', 'TC81', 'TC92', 'TC47', 'TC91', 'TC40', 'TC93', 'TC39', 'TC56', 'TC34', 'TC51', 'TC84', 'TC83', 'TC88', 'TC12', 'TC17', 'TC61', 'TC66', 'TC15', 'TC48', 'TC46', 'TC90', 'TC16', 'TC57', 'TC7', 'TC27', 'TC53', 'TC87', 'TC71', 'TC21', 'TC85', 'TC37', 'TC14', 'TC99', 'TC97', 'TC73', 'TC74', 'TC41', 'TC78', 'TC44', 'TC100', 'TC26', 'TC23', 'TC96', 'TC82', 'TC80', 'TC1', 'TC9', 'TC86', 'TC54', 'TC79', 'TC25', 'TC18', 'TC6', 'TC2', 'TC63', 'TC5'}",45,0,99,0,99,1,100,0,54,45
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v0.2,exp01_rgp-diarias_v1.0.1,,"{'TC30', 'TC36', 'TC25', 'TC20', 'TC15', 'TC46', 'TC41', 'TC5', 'TC10'}",,,9,0,0,0,9,37,46,9,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.0.2,exp01_rgp-diarias_v1.0.3,,,,"{'TC26', 'TC30', 'TC36', 'TC32', 'TC33', 'TC15', 'TC3', 'TC13', 'TC43', 'TC28', 'TC46', 'TC11', 'TC16', 'TC29', 'TC1', 'TC27', 'TC45', 'TC20', 'TC19', 'TC14', 'TC18', 'TC35', 'TC34', 'TC2', 'TC42', 'TC5', 'TC44', 'TC4', 'TC12', 'TC17'}",0,0,30,0,30,16,46,0,30,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,,,,"{'TC26', 'TC30', 'TC23', 'TC15', 'TC24', 'TC3', 'TC13', 'TC8', 'TC31', 'TC28', 'TC11', 'TC16', 'TC29', 'TC1', 'TC7', 'TC27', 'TC10', 'TC9', 'TC25', 'TC20', 'TC19', 'TC14', 'TC18', 'TC6', 'TC22', 'TC2', 'TC5', 'TC4', 'TC12', 'TC17'}",0,0,30,0,30,1,31,0,30,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,"{'TC36', 'TC32', 'TC15', 'TC3', 'TC13', 'TC11', 'TC16', 'TC29', 'TC7', 'TC27', 'TC10', 'TC21', 'TC37', 'TC20', 'TC19', 'TC14', 'TC35', 'TC22', 'TC4', 'TC26', 'TC30', 'TC23', 'TC33', 'TC24', 'TC8', 'TC31', 'TC28', 'TC1', 'TC9', 'TC25', 'TC18', 'TC6', 'TC34', 'TC2', 'TC5', 'TC12', 'TC17'}",,,,0,0,0,37,0,0,37,0,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,,,,"{'TC36', 'TC32', 'TC15', 'TC3', 'TC13', 'TC11', 'TC16', 'TC29', 'TC7', 'TC27', 'TC10', 'TC21', 'TC37', 'TC20', 'TC19', 'TC14', 'TC35', 'TC22', 'TC4', 'TC26', 'TC30', 'TC23', 'TC33', 'TC24', 'TC8', 'TC31', 'TC28', 'TC1', 'TC9', 'TC18', 'TC6', 'TC34', 'TC2', 'TC5', 'TC12', 'TC17'}",0,0,36,0,36,1,37,0,36,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,"{'TC26', 'TC23', 'TC36', 'TC15', 'TC24', 'TC3', 'TC13', 'TC58', 'TC48', 'TC46', 'TC16', 'TC57', 'TC60', 'TC27', 'TC59', 'TC1', 'TC50', 'TC49', 'TC38', 'TC47', 'TC37', 'TC25', 'TC14', 'TC35', 'TC34', 'TC2', 'TC5', 'TC4', 'TC12', 'TC61'}",,,,0,0,0,30,0,37,67,0,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.4,exp01_rgp-diarias_v1.2.5,,"{'TC36', 'TC32', 'TC3', 'TC13', 'TC62', 'TC58', 'TC11', 'TC29', 'TC60', 'TC64', 'TC10', 'TC45', 'TC49', 'TC59', 'TC50', 'TC20', 'TC19', 'TC35', 'TC22', 'TC42', 'TC55', 'TC4', 'TC52', 'TC65', 'TC30', 'TC33', 'TC24', 'TC8', 'TC43', 'TC31', 'TC28', 'TC38', 'TC47', 'TC40', 'TC39', 'TC56', 'TC34', 'TC51', 'TC12', 'TC61', 'TC17', 'TC66', 'TC15', 'TC48', 'TC46', 'TC57', 'TC16', 'TC7', 'TC27', 'TC53', 'TC21', 'TC37', 'TC14', 'TC41', 'TC44', 'TC26', 'TC23', 'TC67', 'TC1', 'TC9', 'TC54', 'TC25', 'TC18', 'TC6', 'TC2', 'TC63', 'TC5'}",,"{'TC33', 'TC67', 'TC56', 'TC27', 'TC22', 'TC11', 'TC16', 'TC5', 'TC44', 'TC50', 'TC38', 'TC61'}",67,0,12,0,67,0,67,55,0,12
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.5,exp01_rgp-diarias_v1.3,,,,"{'TC66', 'TC36', 'TC32', 'TC15', 'TC3', 'TC48', 'TC11', 'TC16', 'TC60', 'TC27', 'TC59', 'TC10', 'TC50', 'TC49', 'TC21', 'TC37', 'TC20', 'TC14', 'TC22', 'TC42', 'TC55', 'TC44', 'TC4', 'TC65', 'TC26', 'TC33', 'TC67', 'TC43', 'TC31', 'TC38', 'TC9', 'TC54', 'TC25', 'TC56', 'TC5', 'TC61'}",0,0,36,0,36,31,67,0,36,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.5,exp01_rgp-diarias_v1.3,"{'TC36', 'TC3', 'TC13', 'TC62', 'TC46', 'TC11', 'TC90', 'TC29', 'TC64', 'TC53', 'TC45', 'TC71', 'TC21', 'TC37', 'TC20', 'TC19', 'TC99', 'TC97', 'TC73', 'TC55', 'TC4', 'TC98', 'TC30', 'TC72', 'TC82', 'TC89', 'TC28', 'TC80', 'TC38', 'TC81', 'TC54', 'TC47', 'TC2', 'TC63', 'TC88', 'TC12'}",,,,0,0,0,36,0,67,103,0,0,0
