model,avg_low_impact_predicted,avg_high_impact_predicted,avg_low_perc,avg_high_perc
Claude-3.5-sonnet-CoTToT,78,22,0.0,0.0
Claude-3.5-sonnet-NaiveRAG,78,22,0.0,0.0
Cosine-DF,78,22,0.0,0.0
DeepSeek-V3-CoTToT,78,22,0.0,0.0
DeepSeek-V3-NaiveRAG,78,22,0.0,0.0
GPT-4o-CoTToT,78,22,0.0,0.0
GPT-4o-NaiveRAG,78,22,0.0,0.0
GPT-o1-mini-CoTToT,78,22,0.0,0.0
GPT-o1-mini-NaiveRAG,78,22,0.0,0.0
Gemini-2.0-flash-NaiveRAG,78,22,0.0,0.0
Gemma-2-CoTToT,78,22,0.0,0.0
Gemma-2-NaiveRAG,78,22,0.0,0.0
Jaccard-DF,78,22,0.0,0.0
Levenshtein-DF,78,22,0.0,0.0
Llama-3.3-NaiveRAG,78,22,0.0,0.0
Mistral-CoTToT,78,22,0.0,0.0
Mistral-NaiveRAG,78,22,0.0,0.0
Mixtral-CoTToT,78,22,0.0,0.0
Mixtral-NaiveRAG,78,22,0.0,0.0
NGram-DF,78,22,0.0,0.0
Openchat-3.5-CoTToT,78,22,0.0,0.0
Openchat-3.5-NaiveRAG,78,22,0.0,0.0
Phi4-CoTToT,78,22,0.0,0.0
Phi4-NaiveRAG,78,22,0.0,0.0
SorensenDice-DF,78,22,0.0,0.0
Llama-3.3-CoTToT,77,22,1.3,0.0
Zephyr-Beta-CoTToT,77,22,1.3,0.0
Zephyr-Beta-NaiveRAG,76,22,2.6,0.0
Qwen-QWQ-NaiveRAG,74,22,5.1,0.0
Qwen-QWQ-CoTToT,66,19,15.4,13.6
Gemini-2.0-flash-CoTToT,52,18,33.3,18.2
