filename,base_tag,head_tag,new_cts,obsolete_cts_low_low,obsolete_cts_low_high,obsolete_cts_high,obsolete_cts_low_low_size,obsolete_cts_low_high_size,obsolete_cts_high_size,new_cts_size,obsolete_cts_size,reusable_cts_size,total_cts_size,low_impacted_size,high_impacted_size,mixed_impacted_size
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v0.1,exp01_rgp-diarias_v0.2,,"{'TC98', 'TC80', 'TC26', 'TC30', 'TC35', 'TC34', 'TC72', 'TC100', 'TC93', 'TC38', 'TC45', 'TC37', 'TC63', 'TC61', 'TC48', 'TC64', 'TC76', 'TC75', 'TC66', 'TC7', 'TC24', 'TC62', 'TC41', 'TC10', 'TC77', 'TC81', 'TC59', 'TC86', 'TC55', 'TC33', 'TC99', 'TC46', 'TC22', 'TC56', 'TC44', 'TC49', 'TC18', 'TC70', 'TC69', 'TC85', 'TC9', 'TC47', 'TC90', 'TC16', 'TC97', 'TC5', 'TC28', 'TC8', 'TC1', 'TC57', 'TC96', 'TC78', 'TC40', 'TC92', 'TC74', 'TC19', 'TC3', 'TC68', 'TC12', 'TC4', 'TC95', 'TC65', 'TC2', 'TC88', 'TC36', 'TC42', 'TC15', 'TC91', 'TC11', 'TC82', 'TC29', 'TC31', 'TC25', 'TC27', 'TC60', 'TC14', 'TC51', 'TC53', 'TC54', 'TC32', 'TC23', 'TC21', 'TC83', 'TC79', 'TC87', 'TC58', 'TC13', 'TC94', 'TC43', 'TC71', 'TC89', 'TC52', 'TC20'}",,"{'TC98', 'TC80', 'TC26', 'TC30', 'TC35', 'TC34', 'TC72', 'TC100', 'TC93', 'TC38', 'TC45', 'TC37', 'TC63', 'TC61', 'TC48', 'TC64', 'TC84', 'TC76', 'TC75', 'TC66', 'TC7', 'TC24', 'TC41', 'TC62', 'TC10', 'TC77', 'TC81', 'TC59', 'TC86', 'TC55', 'TC33', 'TC46', 'TC22', 'TC99', 'TC44', 'TC56', 'TC50', 'TC49', 'TC18', 'TC70', 'TC69', 'TC85', 'TC9', 'TC47', 'TC90', 'TC16', 'TC97', 'TC5', 'TC28', 'TC8', 'TC6', 'TC1', 'TC57', 'TC96', 'TC78', 'TC40', 'TC74', 'TC92', 'TC19', 'TC3', 'TC68', 'TC12', 'TC4', 'TC95', 'TC39', 'TC65', 'TC2', 'TC88', 'TC36', 'TC42', 'TC15', 'TC91', 'TC11', 'TC82', 'TC29', 'TC31', 'TC25', 'TC27', 'TC60', 'TC73', 'TC14', 'TC51', 'TC53', 'TC54', 'TC32', 'TC21', 'TC23', 'TC83', 'TC79', 'TC87', 'TC58', 'TC17', 'TC13', 'TC43', 'TC94', 'TC71', 'TC89', 'TC52', 'TC20'}",93,0,99,0,99,1,100,0,6,93
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v0.2,exp01_rgp-diarias_v1.0.1,,"{'TC25', 'TC5', 'TC41', 'TC36', 'TC15', 'TC10', 'TC30', 'TC46', 'TC20'}",,,9,0,0,0,9,37,46,9,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.0.2,exp01_rgp-diarias_v1.0.3,,,,"{'TC16', 'TC27', 'TC28', 'TC5', 'TC1', 'TC14', 'TC26', 'TC30', 'TC32', 'TC33', 'TC35', 'TC46', 'TC44', 'TC19', 'TC3', 'TC34', 'TC12', 'TC4', 'TC17', 'TC2', 'TC13', 'TC18', 'TC43', 'TC45', 'TC15', 'TC42', 'TC36', 'TC20', 'TC11', 'TC29'}",0,0,30,0,30,16,46,0,30,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1,exp01_rgp-diarias_v1.1.1,,"{'TC26', 'TC31', 'TC5', 'TC15', 'TC10', 'TC20'}",,,6,0,0,0,6,25,31,6,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,,,,"{'TC31', 'TC16', 'TC25', 'TC7', 'TC5', 'TC28', 'TC24', 'TC27', 'TC8', 'TC6', 'TC1', 'TC10', 'TC14', 'TC26', 'TC30', 'TC19', 'TC3', 'TC22', 'TC23', 'TC12', 'TC4', 'TC17', 'TC2', 'TC13', 'TC18', 'TC15', 'TC20', 'TC9', 'TC11', 'TC29'}",0,0,30,0,30,1,31,0,30,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,"{'TC26', 'TC7', 'TC32', 'TC13', 'TC19', 'TC1'}",,,,0,0,0,6,0,31,37,0,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,,,,"{'TC16', 'TC5', 'TC28', 'TC8', 'TC6', 'TC1', 'TC26', 'TC30', 'TC35', 'TC19', 'TC3', 'TC34', 'TC12', 'TC4', 'TC2', 'TC36', 'TC15', 'TC37', 'TC11', 'TC29', 'TC31', 'TC7', 'TC24', 'TC27', 'TC10', 'TC14', 'TC32', 'TC33', 'TC22', 'TC23', 'TC21', 'TC17', 'TC13', 'TC18', 'TC9', 'TC20'}",0,0,36,0,36,1,37,0,36,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,"{'TC26', 'TC30', 'TC35', 'TC34', 'TC38', 'TC37', 'TC63', 'TC48', 'TC61', 'TC67', 'TC64', 'TC66', 'TC7', 'TC24', 'TC62', 'TC41', 'TC10', 'TC59', 'TC55', 'TC33', 'TC46', 'TC22', 'TC44', 'TC56', 'TC50', 'TC18', 'TC49', 'TC9', 'TC47', 'TC16', 'TC5', 'TC28', 'TC8', 'TC6', 'TC1', 'TC57', 'TC40', 'TC19', 'TC3', 'TC12', 'TC4', 'TC39', 'TC65', 'TC2', 'TC36', 'TC42', 'TC15', 'TC11', 'TC29', 'TC31', 'TC25', 'TC27', 'TC60', 'TC14', 'TC51', 'TC53', 'TC54', 'TC32', 'TC23', 'TC21', 'TC58', 'TC17', 'TC13', 'TC43', 'TC52', 'TC20'}",,,,0,0,0,66,0,1,67,0,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.4,exp01_rgp-diarias_v1.2.5,,"{'TC26', 'TC30', 'TC35', 'TC34', 'TC38', 'TC45', 'TC37', 'TC63', 'TC48', 'TC61', 'TC67', 'TC64', 'TC66', 'TC7', 'TC24', 'TC62', 'TC41', 'TC10', 'TC59', 'TC55', 'TC33', 'TC46', 'TC22', 'TC44', 'TC56', 'TC50', 'TC18', 'TC49', 'TC9', 'TC47', 'TC16', 'TC5', 'TC28', 'TC8', 'TC6', 'TC1', 'TC57', 'TC40', 'TC19', 'TC3', 'TC12', 'TC4', 'TC39', 'TC65', 'TC2', 'TC36', 'TC42', 'TC15', 'TC11', 'TC29', 'TC31', 'TC25', 'TC27', 'TC60', 'TC14', 'TC51', 'TC53', 'TC54', 'TC32', 'TC23', 'TC21', 'TC58', 'TC17', 'TC13', 'TC43', 'TC52', 'TC20'}","{'TC51', 'TC17', 'TC39', 'TC28', 'TC62', 'TC6'}","{'TC50', 'TC56', 'TC38', 'TC16', 'TC27', 'TC5', 'TC33', 'TC22', 'TC11', 'TC61', 'TC67', 'TC44'}",67,6,12,0,67,0,67,49,0,18
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.5,exp01_rgp-diarias_v1.3,,,,"{'TC16', 'TC5', 'TC26', 'TC3', 'TC4', 'TC38', 'TC65', 'TC36', 'TC42', 'TC15', 'TC37', 'TC11', 'TC48', 'TC61', 'TC67', 'TC31', 'TC66', 'TC25', 'TC27', 'TC10', 'TC60', 'TC14', 'TC59', 'TC54', 'TC55', 'TC32', 'TC33', 'TC21', 'TC22', 'TC44', 'TC56', 'TC50', 'TC49', 'TC43', 'TC9', 'TC20'}",0,0,36,0,36,31,67,0,36,0
