model,avg_low_impact_predicted,avg_high_impact_predicted,avg_low_perc,avg_high_perc
Claude-3.5-sonnet-CoTToT,63,18,0.0,0.0
Claude-3.5-sonnet-NaiveRAG,63,18,0.0,0.0
DeepSeek-V3-CoTToT,63,18,0.0,0.0
DeepSeek-V3-NaiveRAG,63,18,0.0,0.0
GPT-4o-CoTToT,63,18,0.0,0.0
GPT-4o-NaiveRAG,63,18,0.0,0.0
GPT-o1-mini-CoTToT,63,18,0.0,0.0
GPT-o1-mini-NaiveRAG,63,18,0.0,0.0
Gemma-2-CoTToT,63,18,0.0,0.0
Gemma-2-NaiveRAG,63,18,0.0,0.0
Llama-3.3-CoTToT,63,18,0.0,0.0
Llama-3.3-NaiveRAG,63,18,0.0,0.0
Mistral-CoTToT,63,18,0.0,0.0
Mistral-NaiveRAG,63,18,0.0,0.0
Mixtral-CoTToT,63,18,0.0,0.0
Mixtral-NaiveRAG,63,18,0.0,0.0
Openchat-3.5-CoTToT,63,18,0.0,0.0
Openchat-3.5-NaiveRAG,63,18,0.0,0.0
Phi4-CoTToT,63,18,0.0,0.0
Phi4-NaiveRAG,63,18,0.0,0.0
Gemini-1.5-flash-NaiveRAG,62,17,1.6,5.6
Zephyr-Beta-NaiveRAG,62,17,1.6,5.6
Qwen-QWQ-CoTToT,62,16,1.6,11.1
Qwen-QWQ-NaiveRAG,61,18,3.2,0.0
Zephyr-Beta-CoTToT,60,17,4.8,5.6
Gemini-1.5-flash-CoTToT,33,16,47.6,11.1
