filename,base_tag,head_tag,new_cts,obsolete_cts_low_low,obsolete_cts_low_high,obsolete_cts_high,obsolete_cts_low_low_size,obsolete_cts_low_high_size,obsolete_cts_high_size,new_cts_size,obsolete_cts_size,reusable_cts_size,total_cts_size,low_impacted_size,high_impacted_size,mixed_impacted_size
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v0.1,exp01_rgp-diarias_v0.2,,,"{'TC58', 'TC72', 'TC90', 'TC95', 'TC22', 'TC83', 'TC65', 'TC26', 'TC61', 'TC94', 'TC91', 'TC89', 'TC63', 'TC97', 'TC49', 'TC78', 'TC44', 'TC64', 'TC93', 'TC25', 'TC98', 'TC27', 'TC62', 'TC96', 'TC28', 'TC38', 'TC30', 'TC55', 'TC23', 'TC92', 'TC16', 'TC59', 'TC32', 'TC66', 'TC56', 'TC33', 'TC24', 'TC100', 'TC29', 'TC31', 'TC5', 'TC11', 'TC57', 'TC60', 'TC99'}","{'TC58', 'TC90', 'TC6', 'TC95', 'TC2', 'TC65', 'TC26', 'TC61', 'TC82', 'TC75', 'TC94', 'TC48', 'TC89', 'TC84', 'TC19', 'TC43', 'TC9', 'TC17', 'TC14', 'TC64', 'TC12', 'TC93', 'TC68', 'TC98', 'TC37', 'TC62', 'TC41', 'TC27', 'TC25', 'TC28', 'TC53', 'TC69', 'TC30', 'TC55', 'TC23', 'TC1', 'TC16', 'TC66', 'TC7', 'TC86', 'TC18', 'TC54', 'TC56', 'TC33', 'TC73', 'TC24', 'TC5', 'TC44', 'TC47', 'TC57', 'TC60', 'TC99', 'TC87', 'TC72', 'TC21', 'TC42', 'TC71', 'TC20', 'TC39', 'TC8', 'TC10', 'TC22', 'TC15', 'TC83', 'TC4', 'TC91', 'TC79', 'TC63', 'TC97', 'TC40', 'TC49', 'TC36', 'TC52', 'TC50', 'TC46', 'TC3', 'TC13', 'TC78', 'TC38', 'TC45', 'TC76', 'TC74', 'TC92', 'TC51', 'TC81', 'TC34', 'TC77', 'TC59', 'TC32', 'TC70', 'TC85', 'TC80', 'TC100', 'TC29', 'TC31', 'TC35', 'TC88', 'TC11', 'TC96'}",0,45,99,0,99,1,100,0,54,45
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v0.2,exp01_rgp-diarias_v1.0.1,,"{'TC36', 'TC20', 'TC30', 'TC46', 'TC5', 'TC15', 'TC10', 'TC25', 'TC41'}",,,9,0,0,0,9,37,46,9,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.0.2,exp01_rgp-diarias_v1.0.3,,,,"{'TC42', 'TC20', 'TC30', 'TC2', 'TC15', 'TC1', 'TC26', 'TC45', 'TC34', 'TC4', 'TC16', 'TC32', 'TC36', 'TC18', 'TC33', 'TC46', 'TC19', 'TC3', 'TC13', 'TC43', 'TC5', 'TC29', 'TC35', 'TC12', 'TC14', 'TC44', 'TC17', 'TC11', 'TC27', 'TC28'}",0,0,30,0,30,16,46,0,30,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,,,,"{'TC20', 'TC6', 'TC30', 'TC23', 'TC8', 'TC10', 'TC22', 'TC2', 'TC15', 'TC1', 'TC26', 'TC4', 'TC16', 'TC7', 'TC18', 'TC11', 'TC19', 'TC3', 'TC13', 'TC9', 'TC24', 'TC17', 'TC5', 'TC29', 'TC14', 'TC31', 'TC12', 'TC25', 'TC27', 'TC28'}",0,0,30,0,30,1,31,0,30,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.1.1,exp01_rgp-diarias_v1.2,"{'TC21', 'TC20', 'TC6', 'TC2', 'TC8', 'TC10', 'TC22', 'TC15', 'TC26', 'TC4', 'TC36', 'TC19', 'TC3', 'TC13', 'TC9', 'TC17', 'TC14', 'TC12', 'TC37', 'TC25', 'TC27', 'TC28', 'TC30', 'TC23', 'TC1', 'TC34', 'TC16', 'TC32', 'TC7', 'TC18', 'TC33', 'TC24', 'TC5', 'TC29', 'TC35', 'TC31', 'TC11'}",,,,0,0,0,37,0,0,37,0,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,,,,"{'TC21', 'TC20', 'TC6', 'TC2', 'TC8', 'TC10', 'TC22', 'TC15', 'TC26', 'TC4', 'TC36', 'TC19', 'TC3', 'TC13', 'TC9', 'TC17', 'TC14', 'TC12', 'TC37', 'TC27', 'TC28', 'TC30', 'TC23', 'TC1', 'TC34', 'TC16', 'TC32', 'TC7', 'TC18', 'TC33', 'TC24', 'TC5', 'TC29', 'TC35', 'TC31', 'TC11'}",0,0,36,0,36,1,37,0,36,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2,exp01_rgp-diarias_v1.2.1,"{'TC58', 'TC25', 'TC23', 'TC2', 'TC15', 'TC1', 'TC26', 'TC61', 'TC4', 'TC34', 'TC48', 'TC16', 'TC59', 'TC49', 'TC36', 'TC50', 'TC46', 'TC3', 'TC13', 'TC24', 'TC5', 'TC35', 'TC14', 'TC47', 'TC12', 'TC38', 'TC37', 'TC27', 'TC57', 'TC60'}",,,,0,0,0,30,0,37,67,0,0,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.4,exp01_rgp-diarias_v1.2.5,,"{'TC58', 'TC6', 'TC2', 'TC65', 'TC26', 'TC61', 'TC48', 'TC19', 'TC43', 'TC9', 'TC17', 'TC14', 'TC64', 'TC12', 'TC37', 'TC25', 'TC27', 'TC62', 'TC41', 'TC28', 'TC53', 'TC30', 'TC55', 'TC23', 'TC1', 'TC16', 'TC66', 'TC7', 'TC18', 'TC56', 'TC54', 'TC33', 'TC24', 'TC67', 'TC5', 'TC44', 'TC47', 'TC57', 'TC60', 'TC21', 'TC42', 'TC20', 'TC39', 'TC8', 'TC10', 'TC22', 'TC15', 'TC4', 'TC49', 'TC63', 'TC40', 'TC36', 'TC52', 'TC50', 'TC46', 'TC3', 'TC13', 'TC38', 'TC45', 'TC51', 'TC34', 'TC59', 'TC32', 'TC29', 'TC35', 'TC31', 'TC11'}",,"{'TC27', 'TC56', 'TC50', 'TC33', 'TC11', 'TC67', 'TC5', 'TC22', 'TC61', 'TC44', 'TC38', 'TC16'}",67,0,12,0,67,0,67,55,0,12
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.5,exp01_rgp-diarias_v1.3,,,,"{'TC21', 'TC42', 'TC20', 'TC10', 'TC22', 'TC15', 'TC65', 'TC26', 'TC61', 'TC4', 'TC48', 'TC49', 'TC36', 'TC50', 'TC3', 'TC43', 'TC9', 'TC14', 'TC44', 'TC37', 'TC38', 'TC25', 'TC27', 'TC55', 'TC16', 'TC59', 'TC32', 'TC66', 'TC56', 'TC54', 'TC33', 'TC67', 'TC5', 'TC31', 'TC11', 'TC60'}",0,0,36,0,36,31,67,0,36,0
src/UC001_Solicitar_Diarias.claret,exp01_rgp-diarias_v1.2.5,exp01_rgp-diarias_v1.3,"{'TC72', 'TC21', 'TC71', 'TC20', 'TC90', 'TC2', 'TC4', 'TC82', 'TC89', 'TC63', 'TC97', 'TC36', 'TC46', 'TC19', 'TC3', 'TC13', 'TC47', 'TC64', 'TC12', 'TC38', 'TC37', 'TC98', 'TC45', 'TC62', 'TC28', 'TC53', 'TC30', 'TC55', 'TC81', 'TC54', 'TC80', 'TC73', 'TC29', 'TC88', 'TC11', 'TC99'}",,,,0,0,0,36,0,67,103,0,0,0
