model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_truth_class_low_priority_edits,total_truth_class_high_priority_edits,total_predicted_class_low_priority_edits,total_predicted_class_high_priority_edits,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
Claude-3.5-sonnet-CoTToT,0,"[[18  0]
 [ 5 58]]",18,0,5,58,81,0,0.938,0.921,1.0,0.959,63,18,58,23,735,125,386,224,135,187,64,0.35
Claude-3.5-sonnet-CoTToT,1,"[[18  0]
 [ 4 59]]",18,0,4,59,81,0,0.951,0.937,1.0,0.967,63,18,59,22,735,125,386,224,140,187,59,0.363
Claude-3.5-sonnet-CoTToT,2,"[[17  1]
 [ 6 57]]",17,1,6,57,81,0,0.914,0.905,0.983,0.942,63,18,58,23,735,125,386,224,134,187,65,0.347
Claude-3.5-sonnet-NaiveRAG,0,"[[14  4]
 [ 5 58]]",14,4,5,58,81,0,0.889,0.921,0.935,0.928,63,18,62,19,735,125,386,224,126,187,73,0.326
Claude-3.5-sonnet-NaiveRAG,1,"[[15  3]
 [ 4 59]]",15,3,4,59,81,0,0.914,0.937,0.952,0.944,63,18,62,19,735,125,386,224,127,187,72,0.329
Claude-3.5-sonnet-NaiveRAG,2,"[[14  4]
 [ 4 59]]",14,4,4,59,81,0,0.901,0.937,0.937,0.937,63,18,63,18,735,125,386,224,124,187,75,0.321
DeepSeek-V3-CoTToT,0,"[[17  1]
 [ 4 59]]",17,1,4,59,81,0,0.938,0.937,0.983,0.959,63,18,60,21,735,125,386,224,139,187,60,0.36
DeepSeek-V3-CoTToT,1,"[[18  0]
 [ 6 57]]",18,0,6,57,81,0,0.926,0.905,1.0,0.95,63,18,57,24,735,125,386,224,133,187,66,0.345
DeepSeek-V3-CoTToT,2,"[[17  1]
 [ 5 58]]",17,1,5,58,81,0,0.926,0.921,0.983,0.951,63,18,59,22,735,125,386,224,138,187,61,0.358
DeepSeek-V3-NaiveRAG,0,"[[13  5]
 [ 6 57]]",13,5,6,57,81,0,0.864,0.905,0.919,0.912,63,18,62,19,735,125,386,224,122,187,77,0.316
DeepSeek-V3-NaiveRAG,1,"[[13  5]
 [ 7 56]]",13,5,7,56,81,0,0.852,0.889,0.918,0.903,63,18,61,20,735,125,386,224,121,187,78,0.313
DeepSeek-V3-NaiveRAG,2,"[[13  5]
 [ 5 58]]",13,5,5,58,81,0,0.877,0.921,0.921,0.921,63,18,63,18,735,125,386,224,123,187,76,0.319
Gemini-1.5-flash-CoTToT,0,"[[13  3]
 [ 6 33]]",13,3,6,33,55,26,0.836,0.846,0.917,0.88,63,18,36,19,531,89,316,126,38,151,127,0.12
Gemini-1.5-flash-CoTToT,1,"[[ 8  8]
 [ 3 27]]",8,8,3,27,46,35,0.761,0.9,0.771,0.831,63,18,35,11,511,89,296,126,86,151,59,0.291
Gemini-1.5-flash-CoTToT,2,"[[ 7  9]
 [ 8 22]]",7,9,8,22,46,35,0.63,0.733,0.71,0.721,63,18,31,15,511,89,296,126,36,151,109,0.122
Gemini-1.5-flash-NaiveRAG,0,"[[10  6]
 [ 9 51]]",10,6,9,51,76,5,0.803,0.85,0.895,0.872,63,18,57,19,565,89,350,126,96,151,103,0.274
Gemini-1.5-flash-NaiveRAG,1,"[[12  6]
 [ 7 56]]",12,6,7,56,81,0,0.84,0.889,0.903,0.896,63,18,62,19,735,125,386,224,123,187,76,0.319
Gemini-1.5-flash-NaiveRAG,2,"[[12  5]
 [ 7 56]]",12,5,7,56,80,1,0.85,0.889,0.918,0.903,63,18,61,19,632,89,386,157,123,187,76,0.319
Gemma-2-CoTToT,0,"[[15  3]
 [10 53]]",15,3,10,53,81,0,0.84,0.841,0.946,0.891,63,18,56,25,735,125,386,224,119,187,80,0.308
Gemma-2-CoTToT,1,"[[15  3]
 [10 53]]",15,3,10,53,81,0,0.84,0.841,0.946,0.891,63,18,56,25,735,125,386,224,119,187,80,0.308
Gemma-2-CoTToT,2,"[[15  3]
 [10 53]]",15,3,10,53,81,0,0.84,0.841,0.946,0.891,63,18,56,25,735,125,386,224,119,187,80,0.308
Gemma-2-NaiveRAG,0,"[[13  5]
 [ 7 56]]",13,5,7,56,81,0,0.852,0.889,0.918,0.903,63,18,61,20,735,125,386,224,123,187,76,0.319
Gemma-2-NaiveRAG,1,"[[13  5]
 [ 7 56]]",13,5,7,56,81,0,0.852,0.889,0.918,0.903,63,18,61,20,735,125,386,224,123,187,76,0.319
Gemma-2-NaiveRAG,2,"[[13  5]
 [ 7 56]]",13,5,7,56,81,0,0.852,0.889,0.918,0.903,63,18,61,20,735,125,386,224,123,187,76,0.319
GPT-4o-CoTToT,0,"[[18  0]
 [11 52]]",18,0,11,52,81,0,0.864,0.825,1.0,0.904,63,18,52,29,735,125,386,224,116,187,83,0.301
GPT-4o-CoTToT,1,"[[18  0]
 [ 9 54]]",18,0,9,54,81,0,0.889,0.857,1.0,0.923,63,18,54,27,735,125,386,224,119,187,80,0.308
GPT-4o-CoTToT,2,"[[18  0]
 [12 51]]",18,0,12,51,81,0,0.852,0.81,1.0,0.895,63,18,51,30,735,125,386,224,110,187,89,0.285
GPT-4o-NaiveRAG,0,"[[11  7]
 [11 52]]",11,7,11,52,81,0,0.778,0.825,0.881,0.852,63,18,59,22,735,125,386,224,116,187,83,0.301
GPT-4o-NaiveRAG,1,"[[12  6]
 [ 8 55]]",12,6,8,55,81,0,0.827,0.873,0.902,0.887,63,18,61,20,735,125,386,224,123,187,76,0.319
GPT-4o-NaiveRAG,2,"[[13  5]
 [ 8 55]]",13,5,8,55,81,0,0.84,0.873,0.917,0.894,63,18,60,21,735,125,386,224,123,187,76,0.319
GPT-o1-mini-CoTToT,0,"[[18  0]
 [ 9 54]]",18,0,9,54,81,0,0.889,0.857,1.0,0.923,63,18,54,27,735,125,386,224,117,187,82,0.303
