Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Efficient Dynamic Model Based Testing,"Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-031-35355-0_11,P. H. M. van Spaendonck,2023,http://link.springer.com/chapter/10.1007/978-3-031-35355-0_11,Chapter
Compositionality in Model-Based Testing,Testing Software and Systems,,,,10.1007/978-3-031-43240-8_13,Gijs van CuyckLars van ArragonJan Tretmans,2023,http://link.springer.com/chapter/10.1007/978-3-031-43240-8_13,Chapter
Model-based Player Experience Testing with Emotion Pattern Verification,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-031-30826-0_9,Saba Gholizadeh AnsariI. S. W. B. PrasetyaDavide PrandiFitsum Meshesha KifetewMehdi DastaniFrank DignumGabriele Keller,2023,http://link.springer.com/chapter/10.1007/978-3-031-30826-0_9,Chapter
Towards a Dynamic Testing Approach for Checking the Correctness of Ethereum Smart Contracts,Risks and Security of Internet and Systems,,,,10.1007/978-3-031-31108-6_7,Mohamed Amin HammamiMariam LahamiAfef Jmal Maâlej,2023,http://link.springer.com/chapter/10.1007/978-3-031-31108-6_7,Chapter
Towards Online Testing Under Uncertainty Using Model-Based Reinforcement Learning,Software Architecture. ECSA 2022 Tracks and Workshops,,,,10.1007/978-3-031-36889-9_17,Matteo CamilliRaffaela MirandolaPatrizia ScandurraCatia Trubiani,2023,http://link.springer.com/chapter/10.1007/978-3-031-36889-9_17,Chapter
Conformance in the Railway Industry: Single-Input-Change Testing a EULYNX Controller,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-031-43681-9_14,Djurre van der WalMarcus GerholdMariëlle Stoelinga,2023,http://link.springer.com/chapter/10.1007/978-3-031-43681-9_14,Chapter
Towards Automated Load Testing Through the User Interface,Human-Computer Interaction – INTERACT 2023,,,,10.1007/978-3-031-42283-6_28,Bruno TeixeiraJosé Creissac Campos,2023,http://link.springer.com/chapter/10.1007/978-3-031-42283-6_28,Chapter
A Systematic Literature Review on Prioritizing Software Test Cases Using Markov Chains,Testing Software and Systems,,,,10.1007/978-3-031-43240-8_20,G. BarbosaÉ. SouzaL. RebeloM. SilvaJ. BaleraN. Vijaykumar,2023,http://link.springer.com/chapter/10.1007/978-3-031-43240-8_20,Chapter
Using GUI Change Detection for Delta Testing,Research Challenges in Information Science: Information Science and the Connected World,,,,10.1007/978-3-031-33080-3_32,Fernando Pastor RicósRick NeeftBeatriz MarínTanja E. J. VosPekka Aho,2023,http://link.springer.com/chapter/10.1007/978-3-031-33080-3_32,Chapter
Protocol Conformance with Choreographic PlusCal,Theoretical Aspects of Software Engineering,,,,10.1007/978-3-031-35257-7_8,Darius FooAndreea CosteaWei-Ngan Chin,2023,http://link.springer.com/chapter/10.1007/978-3-031-35257-7_8,Chapter
A Modulatory Elongated Model for Delineating Retinal Microvasculature in OCTA Images,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,,,,10.1007/978-3-031-43990-2_67,Mohsin ChalloobYongsheng GaoAndrew BuschWeichuan Zhang,2023,http://link.springer.com/chapter/10.1007/978-3-031-43990-2_67,Chapter
Performance Evaluation of Global Trust Management in MANETs Routing Protocols,Computer Performance Engineering and Stochastic Modelling,,,,10.1007/978-3-031-43185-2_26,Hassan JariNigel Thomas,2023,http://link.springer.com/chapter/10.1007/978-3-031-43185-2_26,Chapter
Verifying Open Data Portals Completeness in Compliance to a Grounding Framework,Electronic Government,,,,10.1007/978-3-031-41138-0_16,Flavia BernardiniCatherine Fortes Thedim CostaShaiana PereiraVictor Antunes VieiraDaniela TrevisanJosé Viterbo,2023,http://link.springer.com/chapter/10.1007/978-3-031-41138-0_16,Chapter
"Relating Reversible Petri Nets and Reversible Event Structures, Categorically","Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-031-35355-0_13,Hernán MelgrattiClaudio Antares MezzinaG. Michele Pinna,2023,http://link.springer.com/chapter/10.1007/978-3-031-35355-0_13,Chapter
Research on Feature Picking of Domestic Waste Sorting Based on Neural Network Training,"Application of Big Data, Blockchain, and Internet of Things for Education Informatization",,,,10.1007/978-3-031-23944-1_52,Yufei HuangZhengjie LuJixin SunBo WangShude Liao,2023,http://link.springer.com/chapter/10.1007/978-3-031-23944-1_52,Chapter
Spanning Trees with Few Branch Vertices in Graphs of Bounded Neighborhood Diversity,Structural Information and Communication Complexity,,,,10.1007/978-3-031-32733-9_22,Luisa GarganoAdele A. Rescigno,2023,http://link.springer.com/chapter/10.1007/978-3-031-32733-9_22,Chapter
Minimal Generating Sets for Semiflows,"Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-031-35355-0_12,Gerard Memmi,2023,http://link.springer.com/chapter/10.1007/978-3-031-35355-0_12,Chapter
Model-Based Testing of Internet of Things Protocols,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-031-15008-1_12,Xavier Manuel van DommelenMachiel van der BijlAndy Pimentel,2022,http://link.springer.com/chapter/10.1007/978-3-031-15008-1_12,Chapter
Investigating The Effectiveness of Model-Based Testing on Testing Skill Acquisition,The Practice of Enterprise Modeling,,,,10.1007/978-3-031-21488-2_1,Felix CammaertsCharlotte VerbruggenMonique Snoeck,2022,http://link.springer.com/chapter/10.1007/978-3-031-21488-2_1,Chapter
libfsmtest An Open Source Library for FSM-Based Testing,Testing Software and Systems,,,,10.1007/978-3-031-04673-5_1,Moritz BergenthalNiklas KrafczykJan PeleskaRobert Sachtleben,2022,http://link.springer.com/chapter/10.1007/978-3-031-04673-5_1,Chapter
Towards Substructural Property-Based Testing,Logic-Based Program Synthesis and Transformation,,,,10.1007/978-3-030-98869-2_6,Marco MantovaniAlberto Momigliano,2022,http://link.springer.com/chapter/10.1007/978-3-030-98869-2_6,Chapter
Towards Causal Model-Based Engineering in Automotive System Safety,Model-Based Safety and Assessment,,,,10.1007/978-3-031-15842-1_9,Robert MaierLisa GrabingerDavid UrlhartJürgen Mottok,2022,http://link.springer.com/chapter/10.1007/978-3-031-15842-1_9,Chapter
Locality-Based Test Selection for Autonomous Agents,Testing Software and Systems,,,,10.1007/978-3-031-04673-5_6,Sina EntekhabiWojciech MostowskiMohammad Reza MousaviThomas Arts,2022,http://link.springer.com/chapter/10.1007/978-3-031-04673-5_6,Chapter
Temporal Multi-view Contracts for Efficient Test Models,Digital Business and Intelligent Systems,,,,10.1007/978-3-031-09850-5_10,Jishu GuinJüri VainLeonidas TsiopoulosGert Valdek,2022,http://link.springer.com/chapter/10.1007/978-3-031-09850-5_10,Chapter
Is NLP-based Test Automation Cheaper Than Programmable and Capture &Replay?,Quality of Information and Communications Technology,,,,10.1007/978-3-031-14179-9_6,Maurizio LeottaFilippo RiccaSimone StoppaAlessandro Marchetto,2022,http://link.springer.com/chapter/10.1007/978-3-031-14179-9_6,Chapter
Testing Against Non-deterministic FSMs: A Probabilistic Approach for Test Suite Minimization,Testing Software and Systems,,,,10.1007/978-3-031-04673-5_4,Natalia KushikNina YevtushenkoJorge López,2022,http://link.springer.com/chapter/10.1007/978-3-031-04673-5_4,Chapter
Learning Deterministic One-Clock Timed Automata via Mutation Testing,Automated Technology for Verification and Analysis,,,,10.1007/978-3-031-19992-9_15,Xiaochen TangWei ShenMiaomiao ZhangJie AnBohua ZhanNaijun Zhan,2022,http://link.springer.com/chapter/10.1007/978-3-031-19992-9_15,Chapter
Towards Continuous Quality Control in the Context of Language-Driven Engineering,"Leveraging Applications of Formal Methods, Verification and Validation. Software Engineering",,,,10.1007/978-3-031-19756-7_22,Alexander BainczykSteve BoßelmannMarvin KrauseMarco KrumreyDominic WirknerBernhard Steffen,2022,http://link.springer.com/chapter/10.1007/978-3-031-19756-7_22,Chapter
A Survey-driven Feature Model for Software Traceability Approaches,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-99429-7_2,Edouard Romari BatotSebastien GérardJordi Cabot,2022,http://link.springer.com/chapter/10.1007/978-3-030-99429-7_2,Chapter
Modeling and Model Transformation as a Service: Towards an Agile Approach to Model-Driven Development,Lean and Agile Software Development,,,,10.1007/978-3-030-94238-0_7,Adel VahdatiRaman Ramsin,2022,http://link.springer.com/chapter/10.1007/978-3-030-94238-0_7,Chapter
A New Approach for Active Automata Learning Based on Apartness,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-030-99524-9_12,Frits VaandragerBharat GarhewalJurriaan RotThorsten Wißmann,2022,http://link.springer.com/chapter/10.1007/978-3-030-99524-9_12,Chapter
Algebraic Virtual Machine Project,ICTERI 2021 Workshops,,,,10.1007/978-3-031-14841-5_23,Oleksandr LetychevskyiVolodymyr PeschanenkoVladislav Volkov,2022,http://link.springer.com/chapter/10.1007/978-3-031-14841-5_23,Chapter
Algebraic Virtual Machine and Its Applications,"Information and Communication Technologies in Education, Research, and Industrial Applications",,,,10.1007/978-3-031-20834-8_2,Oleksandr LetychevskyiVolodymyr PeschanenkoVlad Volkov,2022,http://link.springer.com/chapter/10.1007/978-3-031-20834-8_2,Chapter
Digital Twin for IoT Environments: A Testing and Simulation Tool,Quality of Information and Communications Technology,,,,10.1007/978-3-031-14179-9_14,Luong NguyenMariana SegoviaWissam MallouliEdgardo Montes de OcaAna R. Cavalli,2022,http://link.springer.com/chapter/10.1007/978-3-031-14179-9_14,Chapter
Safe and Secure Future AI-Driven Railway Technologies: Challenges for Formal Methods in Railway,"Leveraging Applications of Formal Methods, Verification and Validation. Practice",,,,10.1007/978-3-031-19762-8_20,Monika SeisenbergerMaurice H. ter BeekXiuyi FanAlessio FerrariAnne E. HaxthausenPhillip JamesAndrew LawrenceBas LuttikJaco van de PolSimon Wimmer,2022,http://link.springer.com/chapter/10.1007/978-3-031-19762-8_20,Chapter
State Model Inference Through the GUI Using Run-Time Test Generation,Research Challenges in Information Science,,,,10.1007/978-3-031-05760-1_32,Ad MuldersOlivia Rodriguez ValdesFernando Pastor RicósPekka AhoBeatriz MarínTanja E. J. Vos,2022,http://link.springer.com/chapter/10.1007/978-3-031-05760-1_32,Chapter
Visual Smart Contracts for DAML,Graph Transformation,,,,10.1007/978-3-031-09843-7_8,Reiko HeckelZobia ErumNitia RahmiAlbert Pul,2022,http://link.springer.com/chapter/10.1007/978-3-031-09843-7_8,Chapter
Scriptless Testing for Extended Reality Systems,Research Challenges in Information Science,,,,10.1007/978-3-031-05760-1_56,Fernando Pastor Ricós,2022,http://link.springer.com/chapter/10.1007/978-3-031-05760-1_56,Chapter
Computational Discovery of Transaction-Based Financial Crime via Grammatical Evolution: The Case of Ponzi Schemes,"Coordination, Organizations, Institutions, Norms, and Ethics for Governance of Multi-Agent Systems XV",,,,10.1007/978-3-031-20845-4_7,Peter FratričGiovanni SilenoTom van EngersSander Klous,2022,http://link.springer.com/chapter/10.1007/978-3-031-20845-4_7,Chapter
Verified Security for the Morello Capability-enhanced Prototype Arm Architecture,Programming Languages and Systems,,,,10.1007/978-3-030-99336-8_7,Thomas BauereissBrian CampbellThomas SewellAlasdair ArmstrongLawrence EsswoodIan StarkGraeme BarnesRobert N. M. WatsonPeter Sewell,2022,http://link.springer.com/chapter/10.1007/978-3-030-99336-8_7,Chapter
Designing Functional Prototypes Combining BCI and AR for Home Automation,Virtual Reality and Mixed Reality,,,,10.1007/978-3-031-16234-3_1,Hakim Si-MohammedCoralie HaumontAlexandre SanchezCyril PlapousFoued BouchnakJean-Philippe JavaudinAnatole Lécuyer,2022,http://link.springer.com/chapter/10.1007/978-3-031-16234-3_1,Chapter
Bi-directional Contrastive Learning for Domain Adaptive Semantic Segmentation,Computer Vision – ECCV 2022,,,,10.1007/978-3-031-20056-4_3,Geon LeeChanho EomWonkyung LeeHyekang ParkBumsub Ham,2022,http://link.springer.com/chapter/10.1007/978-3-031-20056-4_3,Chapter
Learning Audio-Video Modalities from Image Captions,Computer Vision – ECCV 2022,,,,10.1007/978-3-031-19781-9_24,Arsha NagraniPaul Hongsuck SeoBryan SeyboldAnja HauthSantiago ManenChen SunCordelia Schmid,2022,http://link.springer.com/chapter/10.1007/978-3-031-19781-9_24,Chapter
"Specification and Verification with the TLA+ Trifecta: TLC, Apalache, and TLAPS","Leveraging Applications of Formal Methods, Verification and Validation. Verification Principles",,,,10.1007/978-3-031-19849-6_6,Igor KonnovMarkus KuppeStephan Merz,2022,http://link.springer.com/chapter/10.1007/978-3-031-19849-6_6,Chapter
A Model-Based Approach for Quality Assessment of Insulin Infusion Pump Systems,ITNG 2022 19th International Conference on Information Technology-New Generations,,,,10.1007/978-3-030-97652-1_8,Tássio Fernandes CostaÁlvaro SobrinhoLenardo Chaves e SilvaLeandro Dias da SilvaAngelo Perkusich,2022,http://link.springer.com/chapter/10.1007/978-3-030-97652-1_8,Chapter
Exploring Fine-Grained Audiovisual Categorization with the SSW60 Dataset,Computer Vision – ECCV 2022,,,,10.1007/978-3-031-20074-8_16,Grant Van HornRui QianKimberly WilberHartwig AdamOisin Mac AodhaSerge Belongie,2022,http://link.springer.com/chapter/10.1007/978-3-031-20074-8_16,Chapter
Data Quality Model-Based Testing of Information Systems: Two-Level Testing of the Insurance System,Information Technology for Management: Towards Business Excellence,,,,10.1007/978-3-030-71846-6_2,Anastasija NikiforovaJanis BicevskisZane BicevskaIvo Oditis,2021,http://link.springer.com/chapter/10.1007/978-3-030-71846-6_2,Chapter
Aspect-Oriented Model-Based Testing with UPPAAL Timed Automata,Model and Data Engineering,,,,10.1007/978-3-030-78428-7_10,Jüri VainLeonidas TsiopoulosGert Kanter,2021,http://link.springer.com/chapter/10.1007/978-3-030-78428-7_10,Chapter
Search-Based Automated Play Testing of Computer Games: A Model-Based Approach,Search-Based Software Engineering,,,,10.1007/978-3-030-88106-1_5,Raihana FerdousFitsum KifetewDavide PrandiI. S. W. B. PrasetyaSamira ShirzadehhajimahmoodAngelo Susi,2021,http://link.springer.com/chapter/10.1007/978-3-030-88106-1_5,Chapter
Towards a Model-Based Approach to Support Physical Test Process of Aircraft Hydraulic Systems,Model and Data Engineering,,,,10.1007/978-3-030-78428-7_3,Ouissem Mesli-KesraouiYassine OuhammouOlga GoubaliPascal BerruetPatrick GirardEmmanuel Grolleau,2021,http://link.springer.com/chapter/10.1007/978-3-030-78428-7_3,Chapter
"A Proposal for the Classification of Methods for Verification and Validation of Safety, Cybersecurity, and Privacy of Automated Systems",Quality of Information and Communications Technology,,,,10.1007/978-3-030-85347-1_24,Jose Luis de la VaraThomas BauerBernhard FischerMustafa KaracaHenrique MadeiraMartin MatschnigSilvia MazziniGiann Spilere NandiFabio PatroneDavid PereiraJosé ProençaRupert SchlickStefano TonettaUgur YayanBehrooz Sangchoolie,2021,http://link.springer.com/chapter/10.1007/978-3-030-85347-1_24,Chapter
An OWASP Top Ten Driven Survey on Web Application Protection Methods,Risks and Security of Internet and Systems,,,,10.1007/978-3-030-68887-5_14,Ouissem Ben FredjOmar CheikhrouhouMoez KrichenHabib HamamAbdelouahid Derhab,2021,http://link.springer.com/chapter/10.1007/978-3-030-68887-5_14,Chapter
Relation Between Test Coverage and Timed Automata Model Structure,Tools and Methods of Program Analysis,,,,10.1007/978-3-030-71472-7_9,Lukáš KrejčíJan SobotkaJiří Novák,2021,http://link.springer.com/chapter/10.1007/978-3-030-71472-7_9,Chapter
Realizing Digital Systems Engineering—Aerospace and Defence Use Case,Complex Systems Design & Management,,,,10.1007/978-3-030-73539-5_29,Eran Gery,2021,http://link.springer.com/chapter/10.1007/978-3-030-73539-5_29,Chapter
Abstract Test Execution for Early Testing Activities in Model-Driven Scenarios,Model-Driven Engineering and Software Development,,,,10.1007/978-3-030-67445-8_12,Reinhard PröllNoël HagemannBernhard Bauer,2021,http://link.springer.com/chapter/10.1007/978-3-030-67445-8_12,Chapter
30 Years of Automated GUI Testing: A Bibliometric Analysis,Quality of Information and Communications Technology,,,,10.1007/978-3-030-85347-1_34,Olivia Rodríguez-ValdésTanja E. J. VosPekka AhoBeatriz Marín,2021,http://link.springer.com/chapter/10.1007/978-3-030-85347-1_34,Chapter
A Formalisation of SysML State Machines in mCRL2,"Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-030-78089-0_3,Mark BouwmanBas LuttikDjurre van der Wal,2021,http://link.springer.com/chapter/10.1007/978-3-030-78089-0_3,Chapter
Formal Analysis of the UNISIG Safety Application Intermediate Sub-layer,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-85248-1_11,Davide BasileAlessandro FantechiIrene Rosadi,2021,http://link.springer.com/chapter/10.1007/978-3-030-85248-1_11,Chapter
Ontology-Driven Audit Using the REA-Ontology,Advanced Information Systems Engineering Workshops,,,,10.1007/978-3-030-79022-6_10,Graham GalMonique SnoeckWim Laurier,2021,http://link.springer.com/chapter/10.1007/978-3-030-79022-6_10,Chapter
An Automated Modeling Method and Visualization Implementation of Smart Contracts,Blockchain and Trustworthy Systems,,,,10.1007/978-981-16-7993-3_30,Jie MengZheng LiRuiliang ZhaoYing Shang,2021,http://link.springer.com/chapter/10.1007/978-981-16-7993-3_30,Chapter
Understanding Digital Twins for Cyber-Physical Systems: A Conceptual Model,"Leveraging Applications of Formal Methods, Verification and Validation: Tools and Trends",,,,10.1007/978-3-030-83723-5_5,Tao YuePaolo ArcainiShaukat Ali,2021,http://link.springer.com/chapter/10.1007/978-3-030-83723-5_5,Chapter
On Education and Training in Formal Methods for Industrial Critical Systems,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-85248-1_6,Bernd Westphal,2021,http://link.springer.com/chapter/10.1007/978-3-030-85248-1_6,Chapter
Privacy Design Strategies and the GDPR: A Systematic Literature Review,"HCI for Cybersecurity, Privacy and Trust",,,,10.1007/978-3-030-77392-2_16,Marco SaltarellaGiuseppe DesoldaRosa Lanzilotti,2021,http://link.springer.com/chapter/10.1007/978-3-030-77392-2_16,Chapter
Testing Autogenerated OPC UA NodeSet Models for Product Variants in Industry,Software Quality: Future Perspectives on Software Engineering Quality,,,,10.1007/978-3-030-65854-0_2,Claus KlammerThomas WetzlmaierMichael PfeifferThomas SteinerMatthias Konnerth,2021,http://link.springer.com/chapter/10.1007/978-3-030-65854-0_2,Chapter
Model-Based Testing Under Parametric Variability of Uncertain Beliefs,Software Engineering and Formal Methods,,,,10.1007/978-3-030-58768-0_10,Matteo CamilliBarbara Russo,2020,http://link.springer.com/chapter/10.1007/978-3-030-58768-0_10,Chapter
TesCaV: An Approach for Learning Model-Based Testing and Coverage in Practice,Research Challenges in Information Science,,,,10.1007/978-3-030-50316-1_18,Beatriz MarínSofía AlarcónGiovanni GiachettiMonique Snoeck,2020,http://link.springer.com/chapter/10.1007/978-3-030-50316-1_18,Chapter
Multi-path Coverage of All Final States for Model-Based Testing Theory Using Spark In-memory Design,Verification and Evaluation of Computer and Communication Systems,,,,10.1007/978-3-030-65955-4_14,Wilfried Yves Hamilton AdoniMoez KrichenTarik NahhalAbdeltif Elbyed,2020,http://link.springer.com/chapter/10.1007/978-3-030-65955-4_14,Chapter
Giving a Model-Based Testing Language a Formal Semantics via Partial MAX-SAT,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_3,Bernhard K. AichernigChristian Burghard,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_3,Chapter
Model-Based Testing for MQTT Applications,Knowledge-Based Software Engineering: 2020,,,,10.1007/978-3-030-53949-8_5,Kotaro TanabeYoshinori TanabeMasami Hagiya,2020,http://link.springer.com/chapter/10.1007/978-3-030-53949-8_5,Chapter
Automated Requirements-Based Testing of Black-Box Reactive Systems,NASA Formal Methods,,,,10.1007/978-3-030-55754-6_9,Massimo NarizzanoLuca PulinaArmando TacchellaSimone Vuotto,2020,http://link.springer.com/chapter/10.1007/978-3-030-55754-6_9,Chapter
Interoperability and Integration Testing Methods for IoT Systems: A Systematic Mapping Study,Software Engineering and Formal Methods,,,,10.1007/978-3-030-58768-0_6,Miroslav BuresMatej KlimaVaclav RechtbergerXavier BellekensChristos TachtatzisRobert AtkinsonBestoun S. Ahmed,2020,http://link.springer.com/chapter/10.1007/978-3-030-58768-0_6,Chapter
Improving and Optimizing Verification and Testing Techniques for Distributed Information Systems,Enterprise Information Systems,,,,10.1007/978-3-030-40783-4_22,Moez Krichen,2020,http://link.springer.com/chapter/10.1007/978-3-030-40783-4_22,Chapter
On the Automation of Security Testing for IoT Constrained Scenarios,Information Security Applications,,,,10.1007/978-3-030-39303-8_22,Sara N. MatheuSalvador PérezJosé L. Hernández RamosAntonio Skarmeta,2020,http://link.springer.com/chapter/10.1007/978-3-030-39303-8_22,Chapter
Teaching Software Testing to Industrial Practitioners Using Distance and Web-Based Learning,Frontiers in Software Engineering Education,,,,10.1007/978-3-030-57663-9_6,Eduard Paul Enoiu,2020,http://link.springer.com/chapter/10.1007/978-3-030-57663-9_6,Chapter
Benchmarking Combinations of Learning and Testing Algorithms for Active Automata Learning,Tests and Proofs,,,,10.1007/978-3-030-50995-8_1,Bernhard K. AichernigMartin TapplerFelix Wallner,2020,http://link.springer.com/chapter/10.1007/978-3-030-50995-8_1,Chapter
Flexible Formality Practical Experience with Agile Formal Methods,Trends in Functional Programming,,,,10.1007/978-3-030-57761-2_5,Philipp KantKevin HammondDuncan CouttsJames ChapmanNicholas ClarkeJared CorduanNeil DaviesJavier DíazMatthias GüdemannWolfgang JeltschMarcin SzamotulskiPolina Vinogradova,2020,http://link.springer.com/chapter/10.1007/978-3-030-57761-2_5,Chapter
From Requirements to Automated Acceptance Tests with the RSL Language,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-030-40223-5_3,Ana C. R. PaivaDaniel MacielAlberto Rodrigues da Silva,2020,http://link.springer.com/chapter/10.1007/978-3-030-40223-5_3,Chapter
From Passive to Active: Learning Timed Automata Efficiently,NASA Formal Methods,,,,10.1007/978-3-030-55754-6_1,Bernhard K. AichernigAndrea PferscherMartin Tappler,2020,http://link.springer.com/chapter/10.1007/978-3-030-55754-6_1,Chapter
Aplib: Tactical Agents for Testing Computer Games,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-66534-0_2,I. S. W. B. PrasetyaMehdi DastaniRui PradaTanja E. J. VosFrank DignumFitsum Kifetew,2020,http://link.springer.com/chapter/10.1007/978-3-030-66534-0_2,Chapter
Test Automation with the Gauge Framework: Experience and Best Practices,Computational Science and Its Applications – ICCSA 2020,,,,10.1007/978-3-030-58802-1_33,Vahid GarousiAlper Buğra KeleşYunus BalamanZeynep Özdemir Güler,2020,http://link.springer.com/chapter/10.1007/978-3-030-58802-1_33,Chapter
"A Model-Based Approach to the Design, Verification and Deployment of Railway Interlocking System","Leveraging Applications of Formal Methods, Verification and Validation: Applications",,,,10.1007/978-3-030-61467-6_16,Arturo AmendolaAnna BecchiRoberto CavadaAlessandro CimattiAlberto GriggioGiuseppe ScaglioneAngelo SusiAlberto TacchellaMatteo Tessi,2020,http://link.springer.com/chapter/10.1007/978-3-030-61467-6_16,Chapter
Test4Enforcers: Test Case Generation for Software Enforcers,Runtime Verification,,,,10.1007/978-3-030-60508-7_15,Michell GuzmanOliviero RiganelliDaniela MicucciLeonardo Mariani,2020,http://link.springer.com/chapter/10.1007/978-3-030-60508-7_15,Chapter
Trace Analysis Using an Event-Driven Interval Temporal Logic,Logic-Based Program Synthesis and Transformation,,,,10.1007/978-3-030-45260-5_11,María-del-Mar GallardoLaura Panizo,2020,http://link.springer.com/chapter/10.1007/978-3-030-45260-5_11,Chapter
The 2020 Expert Survey on Formal Methods,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-58298-2_1,Hubert GaravelMaurice H. ter BeekJaco van de Pol,2020,http://link.springer.com/chapter/10.1007/978-3-030-58298-2_1,Chapter
A General Framework for Decentralized Combinatorial Testing of Access Control Engine: Examples of Application,Information Systems Security and Privacy,,,,10.1007/978-3-030-49443-8_10,Said DaoudaghFrancesca LonettiEda Marchetti,2020,http://link.springer.com/chapter/10.1007/978-3-030-49443-8_10,Chapter
An Architecture for Automated Security Test Case Generation for MQTT Systems,Database and Expert Systems Applications,,,,10.1007/978-3-030-59028-4_5,Hannes SochorFlavio FerrarottiRudolf Ramler,2020,http://link.springer.com/chapter/10.1007/978-3-030-59028-4_5,Chapter
"Uncertainty, Modeling and Safety Assurance: Towards a Unified Framework","Verified Software. Theories, Tools, and Experiments",,,,10.1007/978-3-030-41600-3_2,Marsha ChechikSahar KokalyMona RahimiRick SalayTorin Viger,2020,http://link.springer.com/chapter/10.1007/978-3-030-41600-3_2,Chapter
Learning Abstracted Non-deterministic Finite State Machines,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_4,Andrea PferscherBernhard K. Aichernig,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_4,Chapter
Language Inclusion for Finite Prime Event Structures,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-030-39322-9_15,Andreas FellnerThorsten TarrachGeorg Weissenbacher,2020,http://link.springer.com/chapter/10.1007/978-3-030-39322-9_15,Chapter
Interrogating Virtual Agents: In Quest of Security Vulnerabilities,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_2,Josip BozicFranz Wotawa,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_2,Chapter
A Modular SystemC RTOS Model for Uncertainty Analysis,Cyber Physical Systems. Model-Based Design,,,,10.1007/978-3-030-41131-2_1,Lorenzo LazzaraGiulio Mosé MancusoFabio CremonaAlessandro Ulisse,2020,http://link.springer.com/chapter/10.1007/978-3-030-41131-2_1,Chapter
Model-Driven Chatbot Development,Conceptual Modeling,,,,10.1007/978-3-030-62522-1_15,Sara Pérez-SolerEsther GuerraJuan de Lara,2020,http://link.springer.com/chapter/10.1007/978-3-030-62522-1_15,Chapter
Coverage Analysis of Net Inscriptions in Coloured Petri Net Models,Verification and Evaluation of Computer and Communication Systems,,,,10.1007/978-3-030-65955-4_6,Faustin AhishakiyeJosé Ignacio Requeno JaraboLars Michael KristensenVolker Stolz,2020,http://link.springer.com/chapter/10.1007/978-3-030-65955-4_6,Chapter
