index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,SorensenDice distance [0.47]: 0.018181818181818188 ,0
1,LOW,SorensenDice distance [0.47]: 0.13592233009708743 ,0
2,LOW,SorensenDice distance [0.47]: 0.06440677966101693 ,0
3,HIGH,SorensenDice distance [0.47]: 0.671875 ,0
4,HIGH,SorensenDice distance [0.47]: 0.9587628865979382 ,0
5,HIGH,SorensenDice distance [0.47]: 0.986013986013986 ,1
6,HIGH,SorensenDice distance [0.47]: 0.9863945578231292 ,0
7,HIGH,SorensenDice distance [0.47]: 0.9896640826873385 ,0
8,HIGH,SorensenDice distance [0.47]: 0.987460815047022 ,0
9,LOW,SorensenDice distance [0.47]: 0.4242424242424242 ,0
10,LOW,SorensenDice distance [0.47]: 0.06103286384976525 ,0
11,LOW,SorensenDice distance [0.47]: 0.00917431192660545 ,0
12,HIGH,SorensenDice distance [0.47]: 0.9529411764705882 ,0
13,LOW,SorensenDice distance [0.47]: 0.11578947368421055 ,0
14,LOW,SorensenDice distance [0.47]: 0.1954022988505747 ,0
15,LOW,SorensenDice distance [0.47]: 0.01098901098901095 ,0
16,HIGH,SorensenDice distance [0.47]: 0.9759036144578314 ,0
17,LOW,SorensenDice distance [0.47]: 0.010309278350515427 ,0
18,HIGH,SorensenDice distance [0.47]: 1.0 ,0
19,LOW,SorensenDice distance [0.47]: 0.04225352112676062 ,0
20,HIGH,SorensenDice distance [0.47]: 0.9795918367346939 ,0
21,LOW,SorensenDice distance [0.47]: 0.16521739130434787 ,0
22,LOW,SorensenDice distance [0.47]: 0.16279069767441856 ,0
23,LOW,SorensenDice distance [0.47]: 0.18644067796610164 ,0
24,LOW,SorensenDice distance [0.47]: 0.16666666666666663 ,0
25,LOW,SorensenDice distance [0.47]: 0.16167664670658688 ,0
26,LOW,SorensenDice distance [0.47]: 0.045454545454545414 ,0
27,LOW,SorensenDice distance [0.47]: 0.02857142857142858 ,0
28,LOW,SorensenDice distance [0.47]: 0.0461538461538461 ,0
29,LOW,SorensenDice distance [0.47]: 0.049180327868852514 ,0
30,LOW,SorensenDice distance [0.47]: 0.012048192771084376 ,0
31,LOW,SorensenDice distance [0.47]: 0.027027027027026973 ,0
32,LOW,SorensenDice distance [0.47]: 0.04347826086956519 ,0
33,LOW,SorensenDice distance [0.47]: 0.02631578947368418 ,0
34,LOW,SorensenDice distance [0.47]: 0.012345679012345734 ,0
35,LOW,SorensenDice distance [0.47]: 0.007751937984496138 ,0
36,LOW,SorensenDice distance [0.47]: 0.02564102564102566 ,0
37,LOW,SorensenDice distance [0.47]: 0.04225352112676062 ,1
38,LOW,SorensenDice distance [0.47]: 0.07006369426751591 ,0
39,LOW,SorensenDice distance [0.47]: 0.005714285714285672 ,0
40,HIGH,SorensenDice distance [0.47]: 1.0 ,0
41,LOW,SorensenDice distance [0.47]: 0.02857142857142858 ,0
42,LOW,SorensenDice distance [0.47]: 0.08235294117647063 ,0
43,LOW,SorensenDice distance [0.47]: 0.0 ,0
44,LOW,SorensenDice distance [0.47]: 0.0 ,0
45,LOW,SorensenDice distance [0.47]: 0.0 ,0
46,LOW,SorensenDice distance [0.47]: 0.01851851851851849 ,0
47,LOW,SorensenDice distance [0.47]: 0.0 ,0
48,LOW,SorensenDice distance [0.47]: 0.0 ,0
49,LOW,SorensenDice distance [0.47]: 0.029126213592232997 ,0
50,LOW,SorensenDice distance [0.47]: 0.028037383177570097 ,0
51,LOW,SorensenDice distance [0.47]: 0.07801418439716312 ,0
52,LOW,SorensenDice distance [0.47]: 0.024793388429752095 ,0
53,LOW,SorensenDice distance [0.47]: 0.0 ,0
54,LOW,SorensenDice distance [0.47]: 0.02857142857142858 ,1
55,LOW,SorensenDice distance [0.47]: 0.0 ,0
56,LOW,SorensenDice distance [0.47]: 0.0 ,0
57,LOW,SorensenDice distance [0.47]: 0.005291005291005346 ,0
58,LOW,SorensenDice distance [0.47]: 0.0 ,0
59,LOW,SorensenDice distance [0.47]: 0.04166666666666663 ,0
60,LOW,SorensenDice distance [0.47]: 0.048387096774193505 ,0
61,LOW,SorensenDice distance [0.47]: 0.02857142857142858 ,0
62,LOW,SorensenDice distance [0.47]: 0.0 ,0
63,LOW,SorensenDice distance [0.47]: 0.0 ,0
64,LOW,SorensenDice distance [0.47]: 0.02857142857142858 ,0
65,LOW,SorensenDice distance [0.47]: 0.05555555555555558 ,1
66,LOW,SorensenDice distance [0.47]: 0.0 ,0
67,LOW,SorensenDice distance [0.47]: 0.02857142857142858 ,0
68,LOW,SorensenDice distance [0.47]: 0.04347826086956519 ,0
69,LOW,SorensenDice distance [0.47]: 0.02941176470588236 ,0
70,LOW,SorensenDice distance [0.47]: 0.02857142857142858 ,0
71,LOW,SorensenDice distance [0.47]: 0.0 ,0
72,LOW,SorensenDice distance [0.47]: 0.005291005291005346 ,0
73,LOW,SorensenDice distance [0.47]: 0.0 ,0
74,LOW,SorensenDice distance [0.47]: 0.032258064516129004 ,0
75,LOW,SorensenDice distance [0.47]: 0.02857142857142858 ,0
76,LOW,SorensenDice distance [0.47]: 0.0 ,0
77,LOW,SorensenDice distance [0.47]: 0.005586592178770999 ,0
78,LOW,SorensenDice distance [0.47]: 0.0 ,0
79,LOW,SorensenDice distance [0.47]: 0.016393442622950838 ,0
80,HIGH,SorensenDice distance [0.47]: 0.9646017699115044 ,0
