index,previous_filename,filename,base_tag,head_tag,base_tag_lines_txt,head_tag_lines_txt,edit_classification_truth,new_ct,obsolete_ct,reusable_ct,affected_cts,total_ct,edit_classification,decision_rationale,elapsed_time_ms
0,,src/RF001 - Autenticar Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 sysUser ""inicia a tela de login atraves da opcao de login no canto superior direito""
","+    step 1 sysUser ""inicia a tela de login atraves da opcao de Login no canto superior direito""
",LOW,0,14,0,"{'TC5', 'TC13', 'TC9', 'TC8', 'TC14', 'TC1', 'TC2', 'TC11', 'TC6', 'TC7', 'TC10', 'TC4', 'TC12', 'TC3'}",14,LOW,"The change from 'login' to 'Login' is a textual update, specifically a capitalization change, which does not alter the system's expected behavior.",607
1,,src/RF002 - Realizar logout.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 sysUser ""clica na opcao de logout atraves da opcao disponivel no canto superior direito""
","+    step 1 sysUser ""clica na opcao de Logout atraves da opcao disponivel no canto superior direito""
",LOW,0,1,0,{'TC1'},1,LOW,"The change from 'logout' to 'Logout' is a textual update, specifically a capitalization change, which does not alter the system's expected behavior.",742
2,,src/RF003 - Visualizar Permissoes do Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 2 system ""exibe a tela com a tabela das permissoes concedidas ao seu usuario""
","+    step 2 system ""exibe a tela com a tabela das Permissoes concedidas ao seu usuario""
",LOW,0,1,0,{'TC1'},1,LOW,"The change from 'permissoes' to 'Permissoes' is a textual update, specifically a capitalization change, which does not alter the system's expected behavior.",910
3,,src/RF003 - Visualizar Permissoes do Usuario.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  postCondition ""Usuario visualiza a tabela das permissoes concedidas ao seu usuario""
","+  postCondition ""Usuario visualiza a tabela das Permissoes concedidas ao seu usuario""
",LOW,0,1,0,{'TC1'},1,LOW,"The change from 'permissoes' to 'Permissoes' is a textual update, specifically a capitalization change, which does not alter the system's expected behavior.",837
4,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				tem permissao para gerenciar perfis de competencias.""
","+				tem permissao para gerenciar Perfis de Competencias.""
",LOW,0,11,0,"{'TC5', 'TC9', 'TC8', 'TC1', 'TC2', 'TC11', 'TC6', 'TC7', 'TC10', 'TC4', 'TC3'}",11,LOW,"The change from 'perfis de competencias' to 'Perfis de Competencias' is a textual update involving capitalization, which does not alter the system's expected behavior.",839
5,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 1 lider ""acessa a funcionalidade de gestao de perfis de competencias a partir do menu inicial"" af[4]
-    step 2 system ""exibe a listagem dos perfis de competencias cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
-    step 3 lider ""clica na opcao 'Novo' para criar um novo perfil"" af[1,2,3]
","+    step 1 lider ""acessa a funcionalidade de gestao de Perfis de Competencias a partir do menu inicial"" af[4]
+    step 2 system ""exibe a listagem dos Perfis de Competencias cadastrados com opcoes de 'Novo', 'Editar', 'Excluir' e 'Ajuda'"" 
+    step 3 lider ""clica na opcao 'Novo' para criar um Novo Perfil de Competencias"" af[1,2,3]
",LOW,0,4,7,"{'TC9', 'TC11', 'TC8', 'TC10'}",11,LOW,"The changes made are textual updates, including capitalizing 'Perfis de Competencias' and adding 'de Competencias' to 'Novo Perfil', which do not alter the system's expected behavior.",735
6,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-				   retorna feedback correspondente"" ef[1,2,3]
","+				   retorna feedback correspondente"" ef[1,2]
",HIGH,0,2,9,"{'TC7', 'TC11'}",11,HIGH,"The update removes exception flow reference ef[3], which changes the system's expected behavior by altering the exception handling, thus qualifying as a high-impact change.",683
7,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 6 system ""exibe a listagem dos perfis de competencias sem o perfil de competencias excluido""
","+    step 6 system ""exibe a listagem dos Perfis de Competencias sem o perfil de competencias excluido"" ef[3]
",HIGH,0,1,10,{'TC3'},11,HIGH,"The updated snippet introduces an exception flow reference (ef[3]) that was not present in the original snippet, which changes the system's expected behavior.",613
8,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-    step 6 system ""exibe a listagem dos perfis de competencias com o perfil de competencias excluido""
","+    step 6 system ""exibe a listagem dos Perfis de Competencias com o perfil de competencias excluido""
",LOW,0,1,10,{'TC2'},11,LOW,"The change from 'perfis de competencias' to 'Perfis de Competencias' is a textual update involving capitalization, which does not alter the system's expected behavior.",988
9,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  	step 1 usuarioNA ""acessa a funcionalidade de gestao de perfis de competencias a partir do menu inicial""
-  	step 2 system ""exibe a listagem dos perfis de competencias cadastrados apenas para visualizacao com a opcao 'Ajuda'""
","+  	step 1 usuarioNA ""acessa a funcionalidade de gestao de Perfis de Competencias a partir do menu inicial""
+  	step 2 system ""exibe a listagem dos Perfis de Competencias cadastrados apenas para visualizacao com a opcao 'Ajuda'""
",LOW,0,1,10,{'TC1'},11,LOW,"The changes made are syntactic edits, specifically capitalizing 'Perfis de Competencias' and 'Perfil de Competencias' in steps 1 and 2, which does not alter the system's expected behavior.",1082
10,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 1 ""Falha ao Salvar o Novo Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar salvar o novo perfil, informando o campo ou a validacao que falhou""
","+  exception 1 ""Falha ao Salvar o Novo Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar salvar o novo Perfil de Competencias, informando o campo ou a validacao que falhou""
",LOW,0,2,9,"{'TC8', 'TC4'}",11,LOW,"The change is a textual update, renaming 'Novo Perfil' to 'Novo Perfil de Competencias' in the exception flow, which does not alter the system's expected behavior.",677
11,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 2 ""Erro ao Editar Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar editar o perfil, informando o campo ou a validacao que falhou""
","+  exception 2 ""Erro ao Editar Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar editar o Perfil de Competencias, informando o campo ou a validacao que falhou""
",LOW,0,2,9,"{'TC5', 'TC9'}",11,LOW,"The change is a textual update, renaming 'Erro ao Editar Perfil' to 'Erro ao Editar Perfil de Competencias' and adjusting the system message to reflect this change, which does not alter the system's expected behavior.",2220
12,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  exception 3 ""Falha na Exclusao do Perfil"" {
-    step 1 system ""exibe uma mensagem de erro ao tentar excluir o perfil""
","+  exception 3 ""Falha na Exclusao do Perfil de Competencias"" {
+    step 1 system ""exibe uma mensagem de erro ao tentar excluir o Perfil de Competencias""
",LOW,0,2,9,"{'TC10', 'TC6'}",11,LOW,"The update only involves textual changes, specifically renaming 'Perfil' to 'Perfil de Competencias' in the exception flow, without introducing or deleting any requirements, features, or steps. This is a syntactic edit that does not alter the system's expected behavior.",813
13,,src/RF006 - Gerenciar Perfis de Competencias.claret,exp01_gti-competencias_v0.1,exp01_gti-competencias_v1.0,"-  postCondition ""A gestao de perfis de competencias e realizada com sucesso.""
","+  postCondition ""A gestao de Perfis de Competencias e realizada com sucesso.""
",LOW,0,2,9,"{'TC7', 'TC11'}",11,LOW,"The change from 'perfis de competencias' to 'Perfis de Competencias' is a textual update involving capitalization, which does not alter the system's expected behavior.",687
