model,average_accuracy
Claude-3.5-sonnet-CoTToT,0.93
DeepSeek-V3-CoTToT,0.93
Claude-3.5-sonnet-NaiveRAG,0.9
GPT-o1-mini-CoTToT,0.9
Mixtral-CoTToT,0.87
Llama-3.3-NaiveRAG,0.87
Mixtral-NaiveRAG,0.87
Llama-3.3-CoTToT,0.87
GPT-4o-CoTToT,0.87
DeepSeek-V3-NaiveRAG,0.86
Gemma-2-NaiveRAG,0.85
GPT-o1-mini-NaiveRAG,0.84
Gemma-2-CoTToT,0.84
Qwen-QWQ-CoTToT,0.83
Gemini-1.5-flash-NaiveRAG,0.83
Mistral-CoTToT,0.83
Qwen-QWQ-NaiveRAG,0.82
GPT-4o-NaiveRAG,0.81
Phi4-CoTToT,0.81
Openchat-3.5-CoTToT,0.79
Phi4-NaiveRAG,0.79
Zephyr-Beta-CoTToT,0.78
Zephyr-Beta-NaiveRAG,0.76
Mistral-NaiveRAG,0.75
Openchat-3.5-NaiveRAG,0.75
Gemini-1.5-flash-CoTToT,0.74
